business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Reliance SMART Bazaar,Supermarket,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Health food store, Indian grocery store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-kanjirappally-kanjirapally-376689/Home?utm_source=locator&utm_medium=googleplaces,3.8,214.0,"Shop No 11/219A, Unity Tower 26Th Mile Junction, Kottayam - Kumily Rd, near Tharavdu Hotel, Kanjirapally, Kanjirappally, Keralam 686518",Kanjirapally,9.560471999999999,76.809944,ChIJWXhMLwA1BjsRwmApcrRYHr8,https://www.google.com/maps/place/?q=place_id:ChIJWXhMLwA1BjsRwmApcrRYHr8,part_301,2026-09-20 20:16:36
FRIENDS BAKARY SUPER MARKET,Supermarket,Supermarket,Supermarket,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98478 76561,N/A,4.8,8.0,"NO 89, PARAKANDTHIL BUILDING, MUNDAKAYAM RD, near CNC CUTTING, Kanjirappally, Kerala 686507",686518,9.560692099999999,76.80032849999999,ChIJr-IPPVk1BjsRW8VJaGXFRJo,https://www.google.com/maps/place/?q=place_id:ChIJr-IPPVk1BjsRW8VJaGXFRJo,part_301,2026-09-20 20:16:36
Varkey's supermarket,Supermarket,Grocery store,Grocery store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97458 82897,N/A,3.7,3.0,"HR4M+3W7, Parathodu Edakkunnam Road, Edakkunnam, Keralam 686512",686518,9.555152099999999,76.8348034,ChIJ_TqHg6VJBjsRm8xWQyOWP0A,https://www.google.com/maps/place/?q=place_id:ChIJ_TqHg6VJBjsRm8xWQyOWP0A,part_301,2026-09-20 20:16:36
puthenkada mini super market & Bakery,Supermarket,Grocery store,Grocery store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97455 31445,N/A,4.2,15.0,"Kuruvamoozhy, Erumeli North, Keralam 686509",686518,9.5006047,76.838363,ChIJ7186PztIBjsRwDSADKquonY,https://www.google.com/maps/place/?q=place_id:ChIJ7186PztIBjsRwDSADKquonY,part_301,2026-09-20 20:16:36
More Supermarket - Kanjirappally,Supermarket,Grocery store,"Grocery store, Discount supermarket, Gourmet grocery store, Grocery delivery service",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 75106 64999,https://more.in/,3.8,570.0,"Madukkakakuzhy Arcade, Kanjirappally, Keralam 686507",686518,9.5551558,76.7905834,ChIJPfWmxH43BjsRDg4HLyMe_eo,https://www.google.com/maps/place/?q=place_id:ChIJPfWmxH43BjsRDg4HLyMe_eo,part_301,2026-09-20 20:16:36
Sky mart,Supermarket,Grocery store,Grocery store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,1.0,1.0,"HQ8R+MF5, Parakkadavu, Kanjirappally, Keralam 686507",Parakkadavu,9.566637,76.79121959999999,ChIJ65ZBXgA1BjsRHIz7F_rTHhs,https://www.google.com/maps/place/?q=place_id:ChIJ65ZBXgA1BjsRHIz7F_rTHhs,part_301,2026-09-20 20:16:36
Parathodu Fisheries,Supermarket,Supermarket,"Supermarket, Grocery store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94469 35821,N/A,3.6,151.0,"Near Post.Office Jun. Parathodu Kottayam-Kumily Road, Parathodu - Pinnakkanad Rd, Keralam 686512",686518,9.5731507,76.8254359,ChIJhf4eMvY1BjsR0OF5_F2oack,https://www.google.com/maps/place/?q=place_id:ChIJhf4eMvY1BjsR0OF5_F2oack,part_301,2026-09-20 20:16:36
Minnuzz,Supermarket,Supermarket,Supermarket,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,1.0,"HR5H+VH6, Parathodu Edakkunnam Road, Edakkunnam, Keralam 686512",686518,9.5597697,76.82998119999999,ChIJw5Z0KgBLBjsRO211dk8Dvso,https://www.google.com/maps/place/?q=place_id:ChIJw5Z0KgBLBjsRO211dk8Dvso,part_301,2026-09-20 20:16:36
Vishal Mega Mart,Supermarket,Hypermarket,"Hypermarket, Baby clothing store, Clothing store, Formal Clothing Store, Grocery store, Men's clothing store, T-shirt store, Tuxedo shop, Women's clothing store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 85939 86481,https://stores.vishalmegamart.com/shopping-mart-kottayam-kanjirappally-48563/home?utm_source=GBP,3.2,28.0,"Kottayam - Kumily Rd, opposite Fire Station, South Town, Kottayam, Kanjirappally, Keralam 686507",South Town,9.560602,76.79988399999999,ChIJYxu9MQA1BjsRtRAIXUNBUrs,https://www.google.com/maps/place/?q=place_id:ChIJYxu9MQA1BjsRtRAIXUNBUrs,part_301,2026-09-20 20:16:36
New Grand Super Bazar Edakkunnam,Supermarket,Grocery store,Grocery store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62823 65510,N/A,4.5,2.0,"Edakkunnam, Keralam 686512",686518,9.5529314,76.8374891,ChIJ218wTPFJBjsR4sksmpdDE_g,https://www.google.com/maps/place/?q=place_id:ChIJ218wTPFJBjsR4sksmpdDE_g,part_301,2026-09-20 20:16:36
