business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Souparnika RCM Happiness Centre Chotti,Yoga Center,Yoga studio,Yoga studio,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79026 05824,https://souparnikarcm.lovable.app/,5.0,,"Chotty, Keralam 686512",686518,9.5757428,76.8555666,ChIJgY2QidxLBjsR4f4-Vu8bWuA,https://www.google.com/maps/place/?q=place_id:ChIJgY2QidxLBjsR4f4-Vu8bWuA,part_301,2026-09-20 20:16:49
Pathanjali pranayoga vidyapeedom,Yoga Center,Yoga instructor,Yoga instructor,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62381 77202,N/A,4.1,,"school junction, Parathodu Edakkunnam Road, Edakkunnam, Keralam 686512",686518,9.5516975,76.8382455,ChIJvZVdXe5JBjsRATtOpTNGPCI,https://www.google.com/maps/place/?q=place_id:ChIJvZVdXe5JBjsRATtOpTNGPCI,part_301,2026-09-20 20:16:49
Swasthi School of Yoga,Yoga Center,Yoga studio,Yoga studio,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94477 66004,N/A,4.9,,"Swasthi School of Yoga, Ponkunnam, Keralam 686506",686518,9.5643715,76.757289,ChIJ1fvR-TY1BjsRkoK1jSV3V9E,https://www.google.com/maps/place/?q=place_id:ChIJ1fvR-TY1BjsRkoK1jSV3V9E,part_301,2026-09-20 20:16:49
Japanese Reiki Healing And Training Center (YLH),Yoga Center,Yoga instructor,Yoga instructor,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,,"Thrikaala Yogashala Foundation, kanakappalam p.o estate, Erumeli, Cheruvally, Kerala 686509",kanakappalam p.o estate,9.4814473,76.80184179999999,ChIJA7KLNwA3BjsRlQA5Hc07zjE,https://www.google.com/maps/place/?q=place_id:ChIJA7KLNwA3BjsRlQA5Hc07zjE,part_301,2026-09-20 20:16:49
Suranjana Naturopathy & Yoga Clinic,Yoga Center,Naturopathic practitioner,Naturopathic practitioner,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 70341 72518,N/A,5.0,,"26th mile behind Auto stand road, 26th Mile Bridge, Pulkkunnu, Keralam 686518",686518,9.565947999999999,76.80729459999999,ChIJX7PsMps1BjsR7Qo4Fa22uk8,https://www.google.com/maps/place/?q=place_id:ChIJX7PsMps1BjsR7Qo4Fa22uk8,part_301,2026-09-20 20:16:49
Santhi Yogashram,Yoga Center,Yoga Retreat Center,Yoga Retreat Center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94973 07458,http://www.santhiyogashram.com/,4.8,,"Hosanna Mount Rd, Edamattom, Keralam 686578",686518,9.6886414,76.7295164,ChIJn0f0Ks3NBzsRaqSXzI0V9aw,https://www.google.com/maps/place/?q=place_id:ChIJn0f0Ks3NBzsRaqSXzI0V9aw,part_301,2026-09-20 20:16:49
Prana Hills Of Yoga,Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Service establishment",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 96055 78006,http://www.pranahillsofyoga.com/,5.0,,"Prana Hills Of Yoga, 686518, India",686518,20.5503195,78.96358169999999,ChIJA9QVVLlIMgkRzAwLXJc5Zwg,https://www.google.com/maps/place/?q=place_id:ChIJA9QVVLlIMgkRzAwLXJc5Zwg,part_301,2026-09-20 20:16:49
Bishop Kurialacherry Nature Cure & Yoga Center,Yoga Center,Yoga studio,"Yoga studio, Nature preserve",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 481 249 4348,http://bknaturecure.in/,3.9,,"GP76+9X9, Karukachal Manimala Rd, Edayarikkapuzha, Kangazha, Kerala 686541",Edayarikkapuzha,9.5134168,76.7124882,ChIJK4XZcNgwBjsR0T5CJoo_A1U,https://www.google.com/maps/place/?q=place_id:ChIJK4XZcNgwBjsR0T5CJoo_A1U,part_301,2026-09-20 20:16:49
Atma Retreat centre,Yoga Center,Yoga Retreat Center,Yoga Retreat Center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,,"Kavungumpaalam, Keralam 686503",686518,9.6120553,76.69261999999999,ChIJgzcwiQYzBjsRrReDBQ3k378,https://www.google.com/maps/place/?q=place_id:ChIJgzcwiQYzBjsRrReDBQ3k378,part_301,2026-09-20 20:16:49
Strong whale fitness,Yoga Center,Fitness center,Fitness center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.9,,"Strong whale fitness, Erumeli, Kerala 686509",686518,9.4818502,76.84931089999999,ChIJga2ycPNJBjsR3axpF7_0jCM,https://www.google.com/maps/place/?q=place_id:ChIJga2ycPNJBjsR3axpF7_0jCM,part_301,2026-09-20 20:16:49
JV Fitness Centre,Yoga Center,Gym,Gym,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,,"HRC8+239, Podimattom, Keralam 686512",686518,9.5700614,76.81521029999999,ChIJIV1MVgA1BjsRr9YWEA3xoEM,https://www.google.com/maps/place/?q=place_id:ChIJIV1MVgA1BjsRr9YWEA3xoEM,part_301,2026-09-20 20:16:49
Lift and Fit Unisex Gym,Yoga Center,Gym,Gym,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97442 56491,N/A,5.0,,"Chenappady, Kochi, Keralam 686520",686518,9.507591999999999,76.79591479999999,ChIJ09BrON83BjsRoaBKa3bySkM,https://www.google.com/maps/place/?q=place_id:ChIJ09BrON83BjsRoaBKa3bySkM,part_301,2026-09-20 20:16:49
Healthy Family Yoga & Wellness Center,Yoga Center,Fitness center,"Fitness center, Dietitian, Yoga instructor, Health consultant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94964 91979,https://business.hrstride.com/healthy-family-yoga-wellness-center/,4.9,,"1st Floor, N, B.S Building, Manorama Junction, Kottayam - Kumily Rd, Kottayam, Keralam 686001",686518,9.588643099999999,76.5297604,ChIJVX_aEzsrBjsR23odLMI75-g,https://www.google.com/maps/place/?q=place_id:ChIJVX_aEzsrBjsR23odLMI75-g,part_301,2026-09-20 20:16:49
AATHMA YOGA CENTER,Yoga Center,Yoga studio,Yoga studio,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94008 19460,N/A,4.9,,"Oravackal - 7th Mile Rd., Amayannoor, Keralam 686019",Amayannoor,9.611219,76.6064525,ChIJzYLL3P4tBjsRvO5WmUSgukY,https://www.google.com/maps/place/?q=place_id:ChIJzYLL3P4tBjsRvO5WmUSgukY,part_301,2026-09-20 20:16:49
Nithyananda Yoga Kendra,Yoga Center,Yoga studio,Yoga studio,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94955 38233,N/A,4.8,,"JG8P+RVG, Kumaranalloor, Kottayam, Perumbaikad, Keralam 686016",Kumaranalloor,9.617065199999999,76.5371947,ChIJ5zzmNEMrBjsRu50QFxyYtjw,https://www.google.com/maps/place/?q=place_id:ChIJ5zzmNEMrBjsRu50QFxyYtjw,part_301,2026-09-20 20:16:49
Yogasree Yoga Patana Kendram,Yoga Center,Yoga studio,Yoga studio,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 92497 98980,https://yogasree.in/,5.0,,"RM25+W44 Yogasree Yoga Patana Kendram, Ramapuram, Keralam 686576",686518,9.8022631,76.6578371,ChIJ6-Lmk4PPBzsRJGvE1g0vjrw,https://www.google.com/maps/place/?q=place_id:ChIJ6-Lmk4PPBzsRJGvE1g0vjrw,part_301,2026-09-20 20:16:49
Ashwins Wellness Centre,Yoga Center,Wellness center,Wellness center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99800 89170,N/A,5.0,,"Malikayil Building, Eranjal Rd, opp. Mount carmel A V L P School, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.589126199999999,76.5419817,ChIJyZkcL-0rBjsR5pgXJLhzr60,https://www.google.com/maps/place/?q=place_id:ChIJyZkcL-0rBjsR5pgXJLhzr60,part_301,2026-09-20 20:16:49
Martial arts and yoga federation,Yoga Center,Martial arts school,Martial arts school,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.mayfkungfuschool.com/,,,"Cheruvally, Ponkunnam, Keralam 686519",686518,9.5174298,76.7669207,ChIJ6d-Js443BjsR1mGL9Cbkb3Q,https://www.google.com/maps/place/?q=place_id:ChIJ6d-Js443BjsR1mGL9Cbkb3Q,part_301,2026-09-20 20:16:49
ATMA NATURAL WELLNESS,Yoga Center,Wellness center,Wellness center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94969 79815,https://www.atmanaturalwellness.com/,4.8,153.0,Kerala 686533,686518,9.522879399999999,76.54511889999999,ChIJMZxUYE0pBjsRrr68bJ3S-vg,https://www.google.com/maps/place/?q=place_id:ChIJMZxUYE0pBjsRrr68bJ3S-vg,part_301,2026-09-20 20:16:50
Bells International Gym,Yoga Center,Fitness center,Fitness center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99881 13833,http://bellsintergym.com/,4.2,86.0,"HPFX+3J3, Pala - Ponkunnam Rd, Ponkunnam, Keralam 686506",686518,9.5726362,76.7490607,ChIJSbXn2BM0BjsR8n9zzXlfxr8,https://www.google.com/maps/place/?q=place_id:ChIJSbXn2BM0BjsR8n9zzXlfxr8,part_301,2026-09-20 20:16:50
Santhi Yoga International Teachers Training & Research Foundation,Yoga Center,Yoga Retreat Center,Yoga Retreat Center,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 96050 91441,https://www.santhiyogainternational.com/,4.9,270.0,"Edathala Aluva, Kochi, Keralam 683561",686518,10.075528799999999,76.3944321,ChIJNQ6PNszNBzsRls-A2XPpAl4,https://www.google.com/maps/place/?q=place_id:ChIJNQ6PNszNBzsRls-A2XPpAl4,part_301,2026-09-20 20:16:50
Nalla Samarayan Aashramam,Yoga Center,Ashram,Ashram,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.5,73.0,"HQGJ+C72, Kanjirappalli Elikkulam Rd, Kerala 686506",686518,9.5760201,76.780626,ChIJoUr6Jcs1BjsRLh8AqKXarNQ,https://www.google.com/maps/place/?q=place_id:ChIJoUr6Jcs1BjsRLh8AqKXarNQ,part_301,2026-09-20 20:16:50
KERALA AYURVEDA YOGA,Yoga Center,Herbalist,Herbalist,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94478 70346,http://www.keralaayurvedayoga.com/,,,"Rajkumar Estate, Naduknai, Edakkunnam, Kanjirappally, Keralam 686512",Naduknai,9.5405381,76.8450082,ChIJ3T0mjetJBjsReY_Vxa5-7OE,https://www.google.com/maps/place/?q=place_id:ChIJ3T0mjetJBjsReY_Vxa5-7OE,part_301,2026-09-20 20:16:50
International Fitness Systems,Yoga Center,Gym,"Gym, Exercise equipment store, Fitness Equipment Wholesaler, Manufacturer, Physical fitness program, Sporting goods store, Wholesaler",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94471 22065,https://www.internationalfitnesssystems.com/,4.6,49.0,"Bharananganam Pravithanam Rd, Choondacherry, Keralam 686579",686518,9.7275168,76.72478029999999,ChIJyWWCvR3NBzsRInikwEYl9Lc,https://www.google.com/maps/place/?q=place_id:ChIJyWWCvR3NBzsRInikwEYl9Lc,part_301,2026-09-20 20:16:51
