business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BRASS DIGITAL SYSTEMS,Computer Sales and Laptop Repair,Computer store,Computer store,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 99470 44005,N/A,4.5,33.0,"Pala - Ponkunnam Rd, Chirakkadavu, Ponkunnam, Keralam 686506",686519,9.567314099999999,76.75411079999999,ChIJG4QXghc0BjsRm_wKaFIldGc,https://www.google.com/maps/place/?q=place_id:ChIJG4QXghc0BjsRm_wKaFIldGc,part_301,2026-09-20 20:17:50
i to i Technologies,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",N/A,N/A,3.6,40.0,"Panchayath Shopping Complex, Ponkunnam, Keralam 686506",686519,9.564962699999999,76.7560149,ChIJN1WlZBg0BjsRLIPbHs_DU-w,https://www.google.com/maps/place/?q=place_id:ChIJN1WlZBg0BjsRLIPbHs_DU-w,part_301,2026-09-20 20:17:50
Coastal Enterprises,Computer Sales and Laptop Repair,Computer store,Computer store,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 94966 81625,http://www.coastalenterprises.co.in/,4.5,118.0,"Ground Floor, HGQF+72G Triveni Complex, Tourist Banglow Rd, near Bhima Jewellery, Kottayam, Keralam 686001",686519,9.588180099999999,76.5224539,ChIJxd77EtVCVBARf1y0YxNMQgw,https://www.google.com/maps/place/?q=place_id:ChIJxd77EtVCVBARf1y0YxNMQgw,part_301,2026-09-20 20:17:50
Dell Exclusive Store - Kottayam,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 80 4800 7111,https://www.dellretailstores.in/kerala-kottayam-nagampadam-1210?utm_source=GMB_Lead&campaign=GMB&nav=contact,4.3,349.0,"State Highway 1, MC Rd, inside Kaippallil Buildings, near Tonico Cafe, Nagampadam, Kottayam, Keralam 686001",Nagampadam,9.5958051,76.5235058,ChIJR3cUYwsrBjsRaLA_I83cN1g,https://www.google.com/maps/place/?q=place_id:ChIJR3cUYwsrBjsRaLA_I83cN1g,part_301,2026-09-20 20:17:50
NEXUS Mobile service centre,Computer Sales and Laptop Repair,Computer service,"Computer service, Cell phone store, Mobile phone repair shop",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",N/A,N/A,4.9,32.0,"CMP Building, Ponkunnam, Keralam 686506",686519,9.565714,76.7548676,ChIJW33v6ww1BjsRz3ryoGPTm-U,https://www.google.com/maps/place/?q=place_id:ChIJW33v6ww1BjsRz3ryoGPTm-U,part_301,2026-09-20 20:17:50
IBIZ TECHNOLOGY,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer Hardware Company, Computer networking service, Computer store, Computer support and services",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 99612 40002,https://www.ibiztechnology.in/,4.9,,"Pullanapallil Building, 710A3/ IX, S.H. Mount, P. O, Kumaranalloor, Kottayam, Keralam 686006","S.H. Mount, P. O, Kumaranalloor",9.6083632,76.5321644,ChIJgQoBWoErBjsRLgEsUohzyAs,https://www.google.com/maps/place/?q=place_id:ChIJgQoBWoErBjsRLgEsUohzyAs,part_301,2026-09-20 20:17:50
Galaxy Computers,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer store, Computer service, Printer ink refill store, Printer repair service",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 93495 10083,N/A,4.2,,"Mulavana Building, Good Shepherd St, Kottayam, Keralam 686001",686519,9.589877399999999,76.5305942,ChIJ5QhldXIrBjsR5Qu1un5H7Mw,https://www.google.com/maps/place/?q=place_id:ChIJ5QhldXIrBjsR5Qu1un5H7Mw,part_301,2026-09-20 20:17:50
Fox Developers & Systems,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer service",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 93871 07703,N/A,5.0,,"SH Mount Rd, Choottuveli, Jn, Kottayam, Keralam 686006","Choottuveli, Jn",9.6042461,76.5319633,ChIJ_wCLWsRcVBAROE6BMf2x278,https://www.google.com/maps/place/?q=place_id:ChIJ_wCLWsRcVBAROE6BMf2x278,part_301,2026-09-20 20:17:50
"Apple Authorised Service Provider – iCare, Kottayam",Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Mobile phone repair shop, Computer service, Electronics repair shop, Phone repair service, Screen repair service",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 8071 326 573,https://appleauthorisedservicecentre.icareservice.co.in/icare/apple-service-center-in-kottayam/apple-service-center-in-kalathipady/apple-authorised-service-provider-icare-in-kalathipady-kottayam--2b548ef4-d90a-42e9-82ad-b05769349d05/home,4.0,,"55D, Erakkathil Building, Vijayapuram Ward XVII, Kottayam - Kumily Rd, Kalathipady, Keralam 686010",Kalathipady,9.5883675,76.5506905,ChIJv5ObEX8sBjsR7Hj4miQQxLE,https://www.google.com/maps/place/?q=place_id:ChIJv5ObEX8sBjsR7Hj4miQQxLE,part_301,2026-09-20 20:17:50
iCareFon,Computer Sales and Laptop Repair,Mobile phone repair shop,Mobile phone repair shop,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 79026 77774,https://www.icarefon.com/apple-service-center-kottayam.php,5.0,,"Darsana, Lal Bahadur Shastri Rd, Baker Hill, Kottayam, Keralam 686001",Baker Hill,9.5922669,76.5273923,ChIJtycGwmQrBjsRoD7yoV10l2U,https://www.google.com/maps/place/?q=place_id:ChIJtycGwmQrBjsRoD7yoV10l2U,part_301,2026-09-20 20:17:50
