business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AUTO TUB CAR WASH,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 97469 99545,N/A,4.6,86.0,"Auto Tub Car Wash, Poraloor, Pampady, Keralam 686502",Poraloor,9.5701378,76.6443043,ChIJDccUTGgzBjsRav111-NDNu4,https://www.google.com/maps/place/?q=place_id:ChIJDccUTGgzBjsRav111-NDNu4,part_301,2026-09-20 20:19:01
Cars,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",N/A,N/A,5.0,6.0,"Velloor Road, Pampady, Kottayam, Keralam 686501",686521,9.5937473,76.6119008,ChIJlbVkksEtBjsRVOcZ7KkD320,https://www.google.com/maps/place/?q=place_id:ChIJlbVkksEtBjsRVOcZ7KkD320,part_301,2026-09-20 20:19:01
Ambrayil car wash,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 90485 05186,N/A,4.5,17.0,"Alampally, Kollam - Theni Hwy, opposite Sreekrishna Temple, Pampady, Keralam 686502",686521,9.5632635,76.6475811,ChIJ-XbcxIQzBjsRHrNyZbP4xh8,https://www.google.com/maps/place/?q=place_id:ChIJ-XbcxIQzBjsRHrNyZbP4xh8,part_301,2026-09-20 20:19:01
Olivia Automatic Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 85929 41034,N/A,3.7,89.0,"Building no. 637D, Kalachanda, Kottayam-Kumily Rd, Pampady, Kottayam, Kottayam, Keralam 686502",686521,9.568982,76.63629399999999,ChIJS9LGEfQtBjsR9KJZ3NWoTLE,https://www.google.com/maps/place/?q=place_id:ChIJS9LGEfQtBjsR9KJZ3NWoTLE,part_301,2026-09-20 20:19:01
XTREME AUTOMOTIVE,Car Wash and Auto Detailing,Car wash,"Car wash, Auto body shop, Auto bodywork mechanic, Auto restoration service",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 89439 08246,https://instagram.com/xtremeautomotivekarukachal?igshid=YmMyMTA2M2Y=,4.5,127.0,"Karukachal - Vazhoor Rd, Karukachal, Keralam 686540",686521,9.506355899999999,76.63949319999999,ChIJv9n8dXUvBjsRSiFhhxjhdNE,https://www.google.com/maps/place/?q=place_id:ChIJv9n8dXUvBjsRSiFhhxjhdNE,part_301,2026-09-20 20:19:01
CLEAN RIDE,Car Wash and Auto Detailing,Car wash,"Car wash, Service establishment",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 97476 86521,N/A,4.9,27.0,"CLEAN RIDE, 686521, India",686521,9.5505126,76.6150018,ChIJP2zdq0CkFiARWWiQmUyvO2c,https://www.google.com/maps/place/?q=place_id:ChIJP2zdq0CkFiARWWiQmUyvO2c,part_301,2026-09-20 20:19:01
Elegant Auto Spa,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 89212 10103,N/A,4.4,,"Elegant Auto Spa, Vattamood Elipulikkat Bridge Road, East, Nattassery, Kottayam, Keralam 686004",Nattassery,9.5990047,76.5365753,ChIJVdDFoNIrBjsRTSZKukR35A0,https://www.google.com/maps/place/?q=place_id:ChIJVdDFoNIrBjsRTSZKukR35A0,part_301,2026-09-20 20:19:02
Mr wash. (Car Washing and detailng ),Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94966 69098,N/A,4.8,,"Kummanam, Kottayam, Chengalam South, Keralam 686005",Kummanam,9.5961119,76.5024067,ChIJPQP7bIYrBjsR1SS6PlNgqXE,https://www.google.com/maps/place/?q=place_id:ChIJPQP7bIYrBjsR1SS6PlNgqXE,part_301,2026-09-20 20:19:02
MAGIC WASHH Car Detailing. Carwash Kottayam,Car Wash and Auto Detailing,Car wash,"Car wash, Corporate office",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 87144 85353,https://m.facebook.com/MAGIC-WASHH-CAR-Detailing-266648183847310/?ref=bookmarks,4.5,,"Koodalloor Rd, Kidangoor, Keralam 686572",686521,9.6900473,76.6035284,ChIJ2XGIq1HSBzsRYPrqsYCz6b0,https://www.google.com/maps/place/?q=place_id:ChIJ2XGIq1HSBzsRYPrqsYCz6b0,part_301,2026-09-20 20:19:02
MOBILE CAR WASH KOTTAYAM,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 97457 79158,N/A,4.9,,"Nagampadam, Kottayam, Keralam 686001",Nagampadam,9.592036199999999,76.5220928,ChIJ5-rHUm4rBjsR-VTN7g8fDTI,https://www.google.com/maps/place/?q=place_id:ChIJ5-rHUm4rBjsR-VTN7g8fDTI,part_301,2026-09-20 20:19:02
Brite Makers Kottayam & Club Detroit,Car Wash and Auto Detailing,Car wash,"Car wash, Auto painting, Auto restoration service",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 86980 00200,https://britemakers.com/,4.8,,"Parolickal Rd, Ettumanoor, Keralam 686562",686521,9.6578732,76.5511003,ChIJYRObfQrTBzsRr7pP0TGsrCE,https://www.google.com/maps/place/?q=place_id:ChIJYRObfQrTBzsRr7pP0TGsrCE,part_301,2026-09-20 20:19:02
Auto Pool Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 99626 48503,N/A,4.0,105.0,"Gandhi Nagar, Inside P .M. Cherian & Co.(Petrol Pump), Kottayam, Keralam 686008",Gandhi Nagar,9.6287377,76.5375919,ChIJPc5x_lErBjsRA6HQKa73nbs,https://www.google.com/maps/place/?q=place_id:ChIJPc5x_lErBjsRA6HQKa73nbs,part_301,2026-09-20 20:19:03
Proline,Car Wash and Auto Detailing,Car wash,"Car wash, Auto painting, Auto repair shop, Auto restoration service, Cleaning Services",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 75580 01666,http://bit.ly/3XbgYvL,4.7,83.0,"Mariathuruthu P. O, Kudayampady, Kummanam, Kottayam, Keralam 686017","Kudayampady, Kummanam",9.611603299999999,76.5082127,ChIJwYvL1RErBjsRYc99n87SyHk,https://www.google.com/maps/place/?q=place_id:ChIJwYvL1RErBjsRYc99n87SyHk,part_301,2026-09-20 20:19:03
