business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Blue Dart Pampady,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 80750 76321,N/A,4.3,15.0,"Kallupalam Building, near Kerala Gramin Bank, Pampady, Keralam 686502",South Pampady,9.5687614,76.6407443,ChIJ57wtF38tBjsRUmyyzKEUd4s,https://www.google.com/maps/place/?q=place_id:ChIJ57wtF38tBjsRUmyyzKEUd4s,part_301,2026-09-20 20:19:21
The Professional Couriers,Courier and Cargo Service,Courier service,"Courier service, Delivery service",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 481 256 9271,N/A,2.5,60.0,"Vattamala Building, KK Road, Opposite Public Library, Pampady, Keralam 686502",686521,9.5696157,76.6398486,ChIJb87mv_UtBjsRFkoYIWUSy2Y,https://www.google.com/maps/place/?q=place_id:ChIJb87mv_UtBjsRFkoYIWUSy2Y,part_301,2026-09-20 20:19:21
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",N/A,https://www.bluedart.com/,2.5,170.0,"P.O, Kanayakkattu Plaza, Manthuruthy, Karukachal, Keralam 686542",Manthuruthy,9.526947999999999,76.64488229999999,ChIJQfPydgwxBjsRqLsVx4hwwmw,https://www.google.com/maps/place/?q=place_id:ChIJQfPydgwxBjsRqLsVx4hwwmw,part_301,2026-09-20 20:19:21
"Courier World | International Courier Service in Kottayam, Kerala",Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 99618 93333,https://courierworld.in/,4.9,53.0,"ROAD, ARATHY, Eerayil Kadavu, Kottayam, Keralam 686001","ARATHY, Eerayil Kadavu",9.5878277,76.528779,ChIJEXkPvPgrBjsR-EQfHUOctVI,https://www.google.com/maps/place/?q=place_id:ChIJEXkPvPgrBjsR-EQfHUOctVI,part_301,2026-09-20 20:19:21
SREE GOKULAM SPEED AND SAFE COUIERS,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 481 256 7567,https://www.gokulamspeedandsafe.com/,2.3,74.0,"Kandathil Building, near BENNIS INN HOTEL, PAIKADAS LINE, Kottayam, Keralam 686001",PAIKADAS LINE,9.5913326,76.5239702,ChIJuzJ0A-ErBjsRaK2hN7wgvDA,https://www.google.com/maps/place/?q=place_id:ChIJuzJ0A-ErBjsRaK2hN7wgvDA,part_301,2026-09-20 20:19:21
DTDC International Courier & Cargo Service Nattakom Kottayam,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 88489 54893,N/A,4.2,11.0,"Cement, Junction, MC Rd, P O, Nattakom, Kottayam, Keralam 686013","P O, Moolavattom",9.562678199999999,76.5162285,ChIJcYrGa0crBjsRVR5WLJkXZG4,https://www.google.com/maps/place/?q=place_id:ChIJcYrGa0crBjsRVR5WLJkXZG4,part_301,2026-09-20 20:19:21
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",N/A,https://www.bluedart.com/,3.0,1618.0,"GROUND FLOOR, VARISSERY JUNCTION, ESQUIRE COMMERCIAL BUILDING, Kottayam Medical College Bypass Rd, near VARISSERIL STEEL, Kottayam, Keralam 686017",Kumaranalloor,9.6055911,76.51439719999999,ChIJhQcAiqcrBjsRIEte6oV3lVc,https://www.google.com/maps/place/?q=place_id:ChIJhQcAiqcrBjsRIEte6oV3lVc,part_301,2026-09-20 20:19:21
Garudavega Ettumanoor Kottayam,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 90744 62949,https://www.garudavega.com/,4.9,112.0,"St Mary's Forane Church, Ettumanoor, Athirampuzha, Keralam 686562",686521,9.6683975,76.53666199999999,ChIJzfSQ3nBoCikRowcm0evfNrE,https://www.google.com/maps/place/?q=place_id:ChIJzfSQ3nBoCikRowcm0evfNrE,part_301,2026-09-20 20:19:21
DTDC EXPRESS LTD. - Domestic and International Courier and Cargo Service,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94476 02479,http://dtdc.com/,2.5,91.0,"Kanivelil Shopping Complex(Parking Area), Central Junction, Kaduthuruthy, Opp. St.Mary's Church, Thaazhathupalli, Kaduthuruthy, Kottayam, Keralam 686604",686521,9.764676,76.492419,ChIJ_1PPL7bXBzsRjalFhI-YxQw,https://www.google.com/maps/place/?q=place_id:ChIJ_1PPL7bXBzsRjalFhI-YxQw,part_301,2026-09-20 20:19:21
Air Winch International Courier Kottayam,Courier and Cargo Service,Courier service,Courier service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 87148 89252,N/A,4.9,106.0,"Caritas Hospital Rd, opp. Elba Traders, P O, Thellakom, Keralam 686016","P O, Thellakom",9.646289399999999,76.5474031,ChIJFb5ypVDVBzsRdsrrbOPOLjY,https://www.google.com/maps/place/?q=place_id:ChIJFb5ypVDVBzsRdsrrbOPOLjY,part_301,2026-09-20 20:19:21
