business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MOBILE ZONE,IT and Telecom Services,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop, Money transfer service, Prepaid SIM card store",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94465 38474,N/A,4.2,37.0,"Central Junction, Pampady, Keralam 686502",686521,9.5689248,76.6357474,ChIJq_G0ML4tBjsREu-4Wv1OoC8,https://www.google.com/maps/place/?q=place_id:ChIJq_G0ML4tBjsREu-4Wv1OoC8,part_301,2026-09-20 20:19:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94950 20854,https://bsnl.co.in/,,,"KOCHIYIL,VATTUKALAM, S.N. PURAM P.O, Pampady Kooroppada Road, Pampady, Keralam 686502",686521,9.5696526,76.6396668,ChIJR8EAvqUtBjsR6JrIJLtKyNk,https://www.google.com/maps/place/?q=place_id:ChIJR8EAvqUtBjsR6JrIJLtKyNk,part_301,2026-09-20 20:19:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 80789 46814,https://bsnl.co.in/,,,"Karackakuzhiyil, Pampady, Keralam 686502",Karackakuzhiyil,9.5690324,76.63579589999999,ChIJTW0XyvQtBjsROXDcp5uzIU0,https://www.google.com/maps/place/?q=place_id:ChIJTW0XyvQtBjsROXDcp5uzIU0,part_301,2026-09-20 20:19:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94958 16194,https://bsnl.co.in/,,,"KEYGEES ARCADE, Pampady, Keralam 686502",686521,9.569609999999999,76.63928,ChIJ30xnQS8tBjsR0gPGRN_EqqU,https://www.google.com/maps/place/?q=place_id:ChIJ30xnQS8tBjsR0gPGRN_EqqU,part_301,2026-09-20 20:19:19
Ashgrid Web Services,IT and Telecom Services,Computer support and services,"Computer support and services, BPO Company, Computer networking service, Computer repair service, Internet service provider, Web hosting company, Website designer",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 62355 53030,https://www.mi-aws.co.in/,5.0,6.0,"Mekkattu Building, near Khadi board Mini Industrial Estate, Pampady, Keralam 686502",686521,9.5674998,76.6490081,ChIJX0jovHQzBjsRkS8Pz4eSyio,https://www.google.com/maps/place/?q=place_id:ChIJX0jovHQzBjsRkS8Pz4eSyio,part_301,2026-09-20 20:19:19
Bharath Sanchar Nigam Limited Telecom Quarters,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Government office",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 1800 345 1500,http://www.bsnl.co.in/,4.7,9.0,"HHF3+P4X, Near Narasimha Swami Temple, Manganam, Kottayam, Muttambalam, Keralam 686018",Manganam,9.5743717,76.5528448,ChIJaV2mOHQsBjsRLb2Odc5xpO4,https://www.google.com/maps/place/?q=place_id:ChIJaV2mOHQsBjsRLb2Odc5xpO4,part_301,2026-09-20 20:19:19
Infonet systems(mobile& computer services & accessories),IT and Telecom Services,Computer service,"Computer service, Cell phone store",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 97454 51817,N/A,5.0,2.0,"Thottackadu kavala, road, Kottayam - Kozhenchery Rd, opposite ambalakavala, Thengana, Thottakkadu, Keralam 686539",686521,9.5303849,76.6041721,ChIJ_Q-3OgAvBjsR8qAyst4MFqw,https://www.google.com/maps/place/?q=place_id:ChIJ_Q-3OgAvBjsR8qAyst4MFqw,part_301,2026-09-20 20:19:19
BSNL Customer Care Centre Pampady,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Telephone company",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94974 30030,N/A,3.7,63.0,"HJ9Q+6P7, Kaduvumbhagom complex Dindigul, Kottarakkara - Kottayam Road, Hwy, Pampady, Keralam 686502",Hwy,9.5680423,76.6392839,ChIJ05Aa7_UtBjsRZfawULApGpM,https://www.google.com/maps/place/?q=place_id:ChIJ05Aa7_UtBjsRZfawULApGpM,part_301,2026-09-20 20:19:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94006 34245,https://bsnl.co.in/,,,"VZON MOBILE, NECHIKKATTU BUILDING, near GURUMANDIRAM, Karukachal, South Pampady, Keralam 686540",686521,9.534341,76.64531,ChIJ44YvgzsxBjsRwo0l_JBRC00,https://www.google.com/maps/place/?q=place_id:ChIJ44YvgzsxBjsRwo0l_JBRC00,part_301,2026-09-20 20:19:19
Anv mobiles service,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 70122 67794,N/A,,,"Alampally, Kottayam - Kumily Rd, Alampally, Pampady, Keralam 686502",Alampally,9.563229399999999,76.6455891,ChIJcQdin6ozBjsRVGRpjCFoiIM,https://www.google.com/maps/place/?q=place_id:ChIJcQdin6ozBjsRVGRpjCFoiIM,part_301,2026-09-20 20:19:19
PS COMMUNICATIONS,IT and Telecom Services,Internet service provider,Internet service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 81118 92772,N/A,4.4,8.0,"Kottayam, Keralam 686630",686521,9.6425093,76.5457368,ChIJJWh01hfVBzsRlflf1Z1DIhU,https://www.google.com/maps/place/?q=place_id:ChIJJWh01hfVBzsRlflf1Z1DIhU,part_301,2026-09-20 20:19:19
TNET Communications,IT and Telecom Services,Internet service provider,Internet service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94473 44663,https://www.facebook.com/tnetcommunications/,5.0,2.0,"1st floor, BSNL Telephone exchange, opposite Medical College Junction, Gandhi Nagar, Arpookara, Keralam 686008",Gandhi Nagar,9.6313706,76.5208789,ChIJHfo219grBjsRBveYVh22HGM,https://www.google.com/maps/place/?q=place_id:ChIJHfo219grBjsRBveYVh22HGM,part_301,2026-09-20 20:19:19
PAMPADY,IT and Telecom Services,Cable company,Cable company,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",N/A,N/A,,,"HJ8V+Q66, Alampally road, Pampady, Kerala 686502",686521,9.566906399999999,76.6430008,ChIJ8xBCJgAzBjsR4PMFJYkkWzU,https://www.google.com/maps/place/?q=place_id:ChIJ8xBCJgAzBjsR4PMFJYkkWzU,part_301,2026-09-20 20:19:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94479 55283,https://bsnl.co.in/,,,"YANCHICKALAYA KOLLAKARAYIL, Manthuruthy PO Rd, Manthuruthy, Keralam 686542",Manthuruthy,9.5264331,76.6446418,ChIJsbnqmjUxBjsRyAINH-XV5vU,https://www.google.com/maps/place/?q=place_id:ChIJsbnqmjUxBjsRyAINH-XV5vU,part_301,2026-09-20 20:19:19
