business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bright Fab,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Aluminium Supplier, Aluminum frames supplier, Aluminum welder, Aluminum window, Glazier, PVC windows supplier, Sign shop, Window installation service, Window supplier",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 89437 74518,N/A,4.8,21.0,"Thuravoor, Cherthala, Thuravoor Thekku, Keralam 688540",Thuravoor,9.7670082,76.2821383,ChIJ8W3kXml7CDsRq3ZL9NFEVPc,https://www.google.com/maps/place/?q=place_id:ChIJ8W3kXml7CDsRq3ZL9NFEVPc,part_301,2026-09-20 20:23:22
Glazers Aluminium Fabrication,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Interior designer",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 99476 42505,N/A,5.0,4.0,"Thekkenada, Haripad, Keralam 690514",686534,9.2786488,76.44998269999999,ChIJ27Rb6ZKhCDsRXH-kbDnHd1U,https://www.google.com/maps/place/?q=place_id:ChIJ27Rb6ZKhCDsRXH-kbDnHd1U,part_301,2026-09-20 20:23:22
Grand Aluminium Centre,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 95390 63795,https://grandalucentre.wixsite.com/india,3.8,5.0,"Chengannur, Mazhukeer, Keralam 689124",686534,9.3448307,76.5969476,ChIJu-oYeggjBjsRG0cV7l6jC2Q,https://www.google.com/maps/place/?q=place_id:ChIJu-oYeggjBjsRG0cV7l6jC2Q,part_301,2026-09-20 20:23:22
Friends Aluminium Fabrication,Aluminium Fabrication,Aluminium Fabrication,Aluminium Fabrication,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 95262 46985,N/A,5.0,1.0,"6G62+M98, Bhagavathipady - Kareelakulangara Rd, Kannamangalam, Pathiyoor, Kerala 690572",Kannamangalam,9.2116534,76.5009563,ChIJ8aWH6mIeBjsRLVmIfEr2Jtw,https://www.google.com/maps/place/?q=place_id:ChIJ8aWH6mIeBjsRLVmIfEr2Jtw,part_301,2026-09-20 20:23:22
Kerala Metals (കേരള മെറ്റൽസ്),Aluminium Fabrication,Hardware store,"Hardware store, Aluminum frames supplier",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94954 39478,N/A,4.9,8.0,"NH 47, opposite HDFC Bank, Eramalloor, Keralam 688537","Neendakara, Eramalloor",9.8225415,76.3111764,ChIJ5T-A7OFxCDsRKBGpK-m7mNE,https://www.google.com/maps/place/?q=place_id:ChIJ5T-A7OFxCDsRKBGpK-m7mNE,part_301,2026-09-20 20:23:22
Kairali Aluminium Centre,Aluminium Fabrication,Aluminum frames supplier,Aluminum frames supplier,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 478 287 5093,N/A,3.5,2.0,"Q869+V2Q, Thuravoor, Thuravoor Thekku, Keralam 688532",Thuravoor,9.7622114,76.3176099,ChIJGy-IAFZ6CDsRbrmu5gQyzzs,https://www.google.com/maps/place/?q=place_id:ChIJGy-IAFZ6CDsRbrmu5gQyzzs,part_301,2026-09-20 20:23:22
EMPIRE ALUMINIUM,Aluminium Fabrication,Aluminium Fabrication,Aluminium Fabrication,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",N/A,N/A,5.0,2.0,"7C57+J4G, Thattarambalam - Thrikkunnapuzha Rd, Thrikkunnapuzha, Kumarapuram, Keralam 690515",686534,9.259054599999999,76.4128436,ChIJM-bz90qgCDsRsyPjBZM1MF8,https://www.google.com/maps/place/?q=place_id:ChIJM-bz90qgCDsRsyPjBZM1MF8,part_301,2026-09-20 20:23:22
Sintex Craft,Aluminium Fabrication,Door shop,"Door shop, Door manufacturer, Door supplier, Window supplier",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94463 47826,https://www.tatapravesh.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-tata_pravesh,4.3,6.0,"Kalarcode, Thookkukulam, Alappuzha, Paravur, Keralam 688003","Kalarcode, Thookkukulam",9.4596644,76.34421069999999,ChIJH_QC28CFCDsRvBN7fammB3M,https://www.google.com/maps/place/?q=place_id:ChIJH_QC28CFCDsRvBN7fammB3M,part_301,2026-09-20 20:23:22
Ideal aluminium centre,Aluminium Fabrication,Aluminum frames supplier,Aluminum frames supplier,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 99959 59884,N/A,4.3,4.0,"Providence Rd, jn, Nedumbrakkad, Cherthala, Kerala 688524","jn, Nedumbrakkad",9.684355199999999,76.3342174,ChIJQcU85ZR9CDsRgI3hlb4R0Uc,https://www.google.com/maps/place/?q=place_id:ChIJQcU85ZR9CDsRgI3hlb4R0Uc,part_301,2026-09-20 20:23:22
Paris Steel and Aluminium,Aluminium Fabrication,Home goods store,Home goods store,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 98467 31892,N/A,4.0,1.0,"Venmoney Chengannur Rd, Venmony, Keralam 689509",686534,9.248135399999999,76.6154143,ChIJJ5eZblsZBjsRiTTY8mDdpkI,https://www.google.com/maps/place/?q=place_id:ChIJJ5eZblsZBjsRiTTY8mDdpkI,part_301,2026-09-20 20:23:22
