business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Elegance Event Home,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",N/A,N/A,5.0,,"Kareelakulangara, Keerikkad, Keralam 690508",686534,9.2001786,76.4787996,ChIJb-vBNwAfBjsRpsljZiaS7vk,https://www.google.com/maps/place/?q=place_id:ChIJb-vBNwAfBjsRpsljZiaS7vk,part_301,2026-09-20 20:23:08
Sabaris Convention Center,Marriage Hall / Kalyana Mandapam,Convention center,Convention center,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 92077 73677,N/A,4.3,,"Vellanayil Jn, Haripad, Keralam 690514",686534,9.293304599999999,76.4560254,ChIJTZhOb02fCDsRwxGV-cHxth4,https://www.google.com/maps/place/?q=place_id:ChIJTZhOb02fCDsRwxGV-cHxth4,part_301,2026-09-20 20:23:08
Manasameera Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 477 227 2643,N/A,3.8,,"SH 12, Ambalapuzha, Keralam 688561",686534,9.3831357,76.3632119,ChIJX1uKc_abCDsRLvXBH2iZOn4,https://www.google.com/maps/place/?q=place_id:ChIJX1uKc_abCDsRLvXBH2iZOn4,part_301,2026-09-20 20:23:08
Brethren Believers' Campus (BBC) Auditorium,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",N/A,N/A,3.9,,"Kallissery, Prayar Rd, Chengannur, Keralam 689124",686534,9.337493199999999,76.5993623,ChIJMbqaPwEjBjsRd6QH70x3n-k,https://www.google.com/maps/place/?q=place_id:ChIJMbqaPwEjBjsRd6QH70x3n-k,part_301,2026-09-20 20:23:08
Raiban Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 477 225 1931,N/A,3.5,,"F8RP+JV9, Municipal Stadium Ward, Vellakkinar, Alappuzha, Keralam 688001","Municipal Stadium Ward, Vellakkinar",9.4915411,76.3372244,ChIJ1f2Dg_OECDsRXPQZN7QQUVE,https://www.google.com/maps/place/?q=place_id:ChIJ1f2Dg_OECDsRXPQZN7QQUVE,part_301,2026-09-20 20:23:08
Anjali Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 477 226 7855,N/A,3.7,,"F88Q+FV6, Salem-Kanyakumari Highway, Kalarcode, Thookkukulam, Alappuzha, Paravur, Kerala 688003","Kalarcode, Thookkukulam",9.4661653,76.3396285,ChIJG2h0mseECDsRrYT7EwMQ5Mo,https://www.google.com/maps/place/?q=place_id:ChIJG2h0mseECDsRrYT7EwMQ5Mo,part_301,2026-09-20 20:23:08
Anaswara Auditorium A/c,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 97471 60815,N/A,3.8,,"Thattarambalam Thrikkunnapuzha Road, Kulam cross road, Muttom, Keralam 690511",686534,9.2516968,76.4893745,ChIJgR4yQLAfBjsRTGwYXOoC0KA,https://www.google.com/maps/place/?q=place_id:ChIJgR4yQLAfBjsRTGwYXOoC0KA,part_301,2026-09-20 20:23:08
Dhanya Auditorium.,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",N/A,N/A,3.9,,"7C4G+W6P, Thattarambalam - Thrikkunnapuzha Rd, Mahadevikadu, Keralam 690516",686534,9.2573349,76.4255779,ChIJo8opkkagCDsRfJxu9a9Z-Hc,https://www.google.com/maps/place/?q=place_id:ChIJo8opkkagCDsRfJxu9a9Z-Hc,part_301,2026-09-20 20:23:09
Aiswarya Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94951 33946,N/A,3.5,,"99J4+95P, Vandanam Ambalapuzha Rd, Komana, Ambalapuzha, Keralam 688561",Komana,9.3809738,76.35546289999999,ChIJo6xRAPGbCDsRSkzZr4fA7Ro,https://www.google.com/maps/place/?q=place_id:ChIJo6xRAPGbCDsRSkzZr4fA7Ro,part_301,2026-09-20 20:23:09
Veliyil castle,Marriage Hall / Kalyana Mandapam,Motel,"Motel, Hotel supply store, Resort hotel",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94003 20789,https://veliyilcastles.com/,4.1,,"Cherthala - Arookutty Rd, Pallipuram, Keralam 688541",686534,9.7419426,76.3622592,ChIJ07j8qyd7CDsRE_KQ_M1sYkg,https://www.google.com/maps/place/?q=place_id:ChIJ07j8qyd7CDsRE_KQ_M1sYkg,part_301,2026-09-20 20:23:09
Mangalya Decorations,Marriage Hall / Kalyana Mandapam,Event planner,Event planner,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94007 11618,http://www.facebook.com/mangalyadecorations,4.7,44.0,"Mannar, Keralam 689623",686534,9.3041512,76.5381938,ChIJh2VFhPchBjsRfRg-dqlFaDs,https://www.google.com/maps/place/?q=place_id:ChIJh2VFhPchBjsRfRg-dqlFaDs,part_301,2026-09-20 20:23:10
Thamarasseril Convention Centre,Marriage Hall / Kalyana Mandapam,Convention center,Convention center,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 94474 83306,https://www.thamarasserilconventioncentre.com/,4.0,636.0,"6FGG+WMJ, Thamarasseril Convention Centre, Salem - Kochi - Kanyakumari Hwy, Cheppad Between Kayamkulam, and, Haripad, Keralam 690507",686534,9.2273328,76.4766314,ChIJw4nvFjkeBjsRUp_U-cQGoyY,https://www.google.com/maps/place/?q=place_id:ChIJw4nvFjkeBjsRUp_U-cQGoyY,part_301,2026-09-20 20:23:10
