business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Madurai Packers and Movers,Packers and Movers,Packaging company,Packaging company,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 84895 91799,https://maduraipackersandmovers.com/,4.9,,"Tamilnadu Housing Board, H-1177, Ellis Nagar, Madurai, Tamil Nadu 625016",Ellis Nagar,9.9154204,78.0980348,ChIJoyuVrW7PADsRuUiBU0z7bks,https://www.google.com/maps/place/?q=place_id:ChIJoyuVrW7PADsRuUiBU0z7bks,part_301,2026-09-20 20:22:59
Moving Palace,Packers and Movers,Packaging company,Packaging company,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 73568 31781,https://packer-s-mover-s.vercel.app/,5.0,,"Grama Panchayat Office, near Vallachira, Chathakkudam, Vallachira, Thrissur, Keralam 680562","Chathakkudam, Vallachira",10.438826599999999,76.2356538,ChIJLwWpnbzxpzsRFVhqUt8b60s,https://www.google.com/maps/place/?q=place_id:ChIJLwWpnbzxpzsRFVhqUt8b60s,part_301,2026-09-20 20:22:59
Best Home Packers And Movers,Packers and Movers,Packaging company,"Packaging company, Luggage storage facility, Moving service, Moving supply store, Storage facility, Warehouse",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 99304 20111,https://besthomepackerandmover.com/,4.9,,"Shop no 12, Sirvi Complex, plot no 7, Sector - 1, Karanjade, Panvel, Vadghar, Maharashtra 410206","Sector - 1, Karanjade, Panvel",18.981092999999998,73.093243,ChIJqXBqsQTp5zsR1NhARLWwHEY,https://www.google.com/maps/place/?q=place_id:ChIJqXBqsQTp5zsR1NhARLWwHEY,part_301,2026-09-20 20:22:59
Best Packers and Movers,Packers and Movers,Logistics service,"Logistics service, Moving and storage service, Moving service, Packaging company, Transportation service",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 99664 67867,https://bestpackersandmovershyd.com/,4.8,,"First floor, Middle office, H.no: 8, 1-284/OU/293, Manikonda Rd, opp. to OU Community Hall, OU Colony, Shaikpet, Hyderabad, Telangana 500089","OU Colony, Shaikpet",17.4071353,78.3936081,ChIJVaL5MNiXyzsR_CoOB6Y81Ao,https://www.google.com/maps/place/?q=place_id:ChIJVaL5MNiXyzsR_CoOB6Y81Ao,part_301,2026-09-20 20:22:59
Joen Packers & Movers,Packers and Movers,Packaging company,"Packaging company, Courier service, Shipping service, Transportation service",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 99446 61637,http://www.joenpackersandmovers.com/,4.8,,"7F, 1, Melakarai Rd, opposite K.S.Medical centre, Thachanallur, Tirunelveli, Tamil Nadu 627001",Thachanallur,8.7500584,77.7060265,ChIJ5_SpiZYRBDsRfYqnfag51c8,https://www.google.com/maps/place/?q=place_id:ChIJ5_SpiZYRBDsRfYqnfag51c8,part_301,2026-09-20 20:22:59
Indian Best Packers & Movers,Packers and Movers,Moving service,Moving service,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 70127 41800,https://www.indianbestpackers.in/,4.9,,"Tc-28/117, Chalai PO, BNRWA65 Kannettumukku, Kochar Rd, Thiruvananthapuram, Keralam 695036",Thycaud,8.489134,76.9613329,ChIJV8FtEYi7BTsRq7WO9aeBxcc,https://www.google.com/maps/place/?q=place_id:ChIJV8FtEYi7BTsRq7WO9aeBxcc,part_301,2026-09-20 20:22:59
Leader packers and movers,Packers and Movers,Transportation service,Transportation service,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 98436 02555,http://leaderpackers.com/,4.7,14.0,"4/153, Madanapuram, Mudichur, Tamil Nadu 600048",Madanapuram,12.9192206,80.0751622,ChIJPbtZh1f1UjoRhJnaP4rv9C8,https://www.google.com/maps/place/?q=place_id:ChIJPbtZh1f1UjoRhJnaP4rv9C8,part_301,2026-09-20 20:23:00
Intercity Packers and Movers in Bangalore,Packers and Movers,Moving service,"Moving service, Logistics service, Moving supply store, Packaging company, Transportation service",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 63630 92054,https://intercitypackersandmovers.com/,4.8,253.0,"68/1, Electronic City, Doddanagamangala Village, Bengaluru, Karnataka 560100",Electronic City,12.8657484,77.677737,ChIJ4zK9WqxtrjsR5PxccFAqRSI,https://www.google.com/maps/place/?q=place_id:ChIJ4zK9WqxtrjsR5PxccFAqRSI,part_301,2026-09-20 20:23:00
Alliance International Packers And Movers,Packers and Movers,Transportation service,Transportation service,686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",+91 96400 10500,N/A,5.0,1.0,"Hills Building, H No 1/1 Street No 2 Kukatpally Housing Board Besides 7, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally",17.4750555,78.3894487,ChIJIZozEz-RyzsRDn1l_DeFb8Y,https://www.google.com/maps/place/?q=place_id:ChIJIZozEz-RyzsRDn1l_DeFb8Y,part_301,2026-09-20 20:23:00
Two Men and a Truck,Packers and Movers,Moving service,"Moving service, Moving and storage service, Moving supply store, Piano moving service",686534,Kerala Circle,Kochi Region,Changanacherry Division,"Neelamperoor SO, Eara North BO, Kainady BO",N/A,https://twomenandatruck.com/movers/wi/green-bay?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,4.6,197.0,"1107 Ashwaubenon St, Green Bay, WI 54304, United States",686534,44.4656563,-88.0946539,ChIJ-zjU3Vb5AogRbXt0R-JDT64,https://www.google.com/maps/place/?q=place_id:ChIJ-zjU3Vb5AogRbXt0R-JDT64,part_301,2026-09-20 20:23:00
