business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pee Gee Gold Covering,Artificial Jewellery and Accessories,Wholesale jeweler,"Wholesale jeweler, Jewelry store",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 98460 31718,https://www.instagram.com/peegeegoldollur?igsh=MWs1bHk3djJqcnNibw==&utm_source=qr,3.6,85,"Corporation Market Building, Railway Gate Rd, Ollur Industrial Estate, Ollur, Thrissur, Keralam 680306","Ollur Industrial Estate, Ollur",10.473830699999999,76.2401905,ChIJwUzQQEfwpzsRgRpK6vVE8Xs,https://www.google.com/maps/place/?q=place_id:ChIJwUzQQEfwpzsRgRpK6vVE8Xs,part_301,2026-09-20 20:37:25
Regal Jewellers NH Bypass Edappally,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Wholesale jeweler",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 88679 09090,http://regaljewellers.net/,4.8,2521,"271/C1, NH Edapally Bypass Road, Edappally, Ernakulam, Keralam 682024",Edappally,10.0175346,76.3107256,ChIJk6E9_uMNCDsRY_SHV9MYMMw,https://www.google.com/maps/place/?q=place_id:ChIJk6E9_uMNCDsRY_SHV9MYMMw,part_301,2026-09-20 20:37:25
G Fashion Jewellery,Artificial Jewellery and Accessories,Jewelry designer,Jewelry designer,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 77083 33027,N/A,4.8,61,"G-18A, PROZONE MALL, Ground Floor Sivanandhapuram, Sathy Rd, Saravanampatti, Coimbatore, Tamil Nadu 641035",Saravanampatti,11.0550687,76.9937041,ChIJQ7e1NBlZqDsRxXyBTkv4Ek4,https://www.google.com/maps/place/?q=place_id:ChIJQ7e1NBlZqDsRxXyBTkv4Ek4,part_301,2026-09-20 20:37:26
Delhi Artificial Jewellery,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jewelry manufacturer",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 98108 25854,N/A,3.9,11,"Mandawali ,Fazalpur, Block C, Bharati Artist Colony, Mandawali, New Delhi, Delhi 110092","Vinod Nagar North, Block C, Bharati Artist Colony, Mandawali",28.6267547,77.2889129,ChIJd-3rnjD9DDkRHkBAD4BFz00,https://www.google.com/maps/place/?q=place_id:ChIJd-3rnjD9DDkRHkBAD4BFz00,part_301,2026-09-20 20:37:26
TISUMA JEWELS / SALES AND RENTAL JEWELRY,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Bridal shop, Costume jewelry shop, Jewelry designer, Jewelry repair service, Wholesale jeweler",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 90920 56687,http://www.tisumajewels.com/,5.0,712,"Bus Stop, 454, Kamarajar Rd, opp. old, Near Mani's Theater, Valluvar Nagar, Hope College, Peelamedu, Coimbatore, Tamil Nadu 641014","Near Mani's Theater, Valluvar Nagar, Hope College, Peelamedu",11.023394099999999,77.0219942,ChIJoxIwtGtXqDsRM6x6q_bV-Yg,https://www.google.com/maps/place/?q=place_id:ChIJoxIwtGtXqDsRM6x6q_bV-Yg,part_301,2026-09-20 20:37:26
Sri Thirupathi Gold Covering,Artificial Jewellery and Accessories,Jewelry designer,"Jewelry designer, Cosmetics store, Jewelry store",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 452 234 0318,http://srithirupathigoldcovering.in/,4.7,504,"S. Thirupathi Complex, 126, West Avani Moola Street, Nethaji Rd, near Thangamayil Jewellery, Madurai, Tamil Nadu 625001",Madurai Main,9.918052,78.11706509999999,ChIJNQv-5IPFADsRq2qsQUsbclU,https://www.google.com/maps/place/?q=place_id:ChIJNQv-5IPFADsRq2qsQUsbclU,part_301,2026-09-20 20:37:26
Fashion Imitation Jewellery,Artificial Jewellery and Accessories,Jeweler,Jeweler,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 92559 11100,http://www.facebook.com/fijnlk,5.0,2,"Shop No. 5, Main Road, Poultry Area, Nilokheri, Haryana 132117",Poultry Area,29.8356459,76.93457769999999,ChIJi0GXHze2DzkRAAAAMKeAtQg,https://www.google.com/maps/place/?q=place_id:ChIJi0GXHze2DzkRAAAAMKeAtQg,part_301,2026-09-20 20:37:26
ROYAL IMITATION JEWELRY,Artificial Jewellery and Accessories,Store,Store,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 70250 43295,N/A,4.7,14,"QC24+795, Vaikom, Keralam 686141",686560,9.750788199999999,76.4059374,ChIJNcpcPQF5CDsRzxo09hHWH-U,https://www.google.com/maps/place/?q=place_id:ChIJNcpcPQF5CDsRzxo09hHWH-U,part_301,2026-09-20 20:37:27
Poovathingal Imitation Jewellery,Artificial Jewellery and Accessories,Jeweler,Jeweler,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 95678 21133,N/A,4.0,37,"40\3051 A1, Mather Bazar Broadway Ln, Marine Drive, Kochi, Ernakulam, Keralam 682031",Marine Drive,9.9798551,76.27655879999999,ChIJ5-RVsFYNCDsR5860xfx7HsA,https://www.google.com/maps/place/?q=place_id:ChIJ5-RVsFYNCDsR5860xfx7HsA,part_301,2026-09-20 20:37:27
Kollam Supreme,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 81389 99840,https://ksupreme.in/,4.5,240,"Ground Floor, T K M Park, Market Rd, Convent Junction, Marine Drive, Ernakulam, Keralam 682011","Convent Junction, Marine Drive",9.9752602,76.28090279999999,ChIJodmC7lINCDsRc3len5pKx5s,https://www.google.com/maps/place/?q=place_id:ChIJodmC7lINCDsRc3len5pKx5s,part_301,2026-09-20 20:37:27
