business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FIITJEE KOCHI,NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 484 401 5747,http://www.fiitjeekochi.com/,4.2,,"4th Floor, Lakshmi Bhai Towers, TD Rd, North End, Kacheripady, Ernakulam, Keralam 682035","North End, Kacheripady",9.9847059,76.2800674,ChIJr5qbfVoNCDsRP7IgnGka1CQ,https://www.google.com/maps/place/?q=place_id:ChIJr5qbfVoNCDsRP7IgnGka1CQ,part_301,2026-09-20 20:37:50
SITJEE CLASSES,NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 97101 10142,http://www.sitjee.in/,4.6,,"54, Ramakrishna Mutt Rd, Jeth Nagar, Raja Annamalaipuram, Chennai, Tamil Nadu 600028","Jeth Nagar, Raja Annamalaipuram",13.028773699999999,80.2663594,ChIJhcdDHNBnUjoRkGiAdFio99M,https://www.google.com/maps/place/?q=place_id:ChIJhcdDHNBnUjoRkGiAdFio99M,part_301,2026-09-20 20:37:50
Toppers Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 78270 48964,https://toppersacademy.app/,3.8,,"C-59 Second floor, C Block, Sector 2, Noida, Uttar Pradesh 201301","C Block, Sector 2",28.5823857,77.3140797,ChIJlSKTzP3lDDkRO-sMvb_b804,https://www.google.com/maps/place/?q=place_id:ChIJlSKTzP3lDDkRO-sMvb_b804,part_301,2026-09-20 20:37:50
T.I.M.E.,NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 484 233 3310,https://www.time4education.com/,4.3,,"Bethesda Tower, Saint Martin Junction, Palarivattom - Edappally Rd, Janatha, Palarivattom, Ernakulam, Keralam 682025","Janatha, Palarivattom",10.0020708,76.3034547,ChIJfQaa2hANCDsRneFf6Uetek0,https://www.google.com/maps/place/?q=place_id:ChIJfQaa2hANCDsRneFf6Uetek0,part_301,2026-09-20 20:37:50
Aakash Institute - Hebbal,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 88000 13045,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-bengaluru-hebbal-coaching-center-hebbal-ind-ka-bengaluru-99197/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"No 9, 1st Floor, Bel Air Drive Ganganagar, Bellary Rd, near HMT Bhawan, Hebbal, Bengaluru, Karnataka 560032","Dena Bank Colony, Hebbal",13.020857999999999,77.58430419999999,ChIJv45_LsgXrjsRoDhH89ivu8w,https://www.google.com/maps/place/?q=place_id:ChIJv45_LsgXrjsRoDhH89ivu8w,part_301,2026-09-20 20:37:50
"Career Platform- NEET (UG), IIT-JEE (Main+Adv.), Class 4 to12, Board, NTSE, KVPY & Olympiad.",NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 84482 39114,https://careerplatform.in/,4.9,46.0,"Plot No.11, Oasis Bhawan, opp. Delhi Jal Board Road, Sector B1, Vasant Kunj, New Delhi, Delhi 110070","Pocket 1, Sector B1, Vasant Kunj",28.524685599999998,77.1591851,ChIJgQAshUYdDTkR76e8uqAEErw,https://www.google.com/maps/place/?q=place_id:ChIJgQAshUYdDTkR76e8uqAEErw,part_301,2026-09-20 20:37:52
FEAT The Career Institute,NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 79061 28108,N/A,4.9,105.0,"Saksham Palace, Pallavpuram, I Pocket, Phase-1, Meerut, Uttar Pradesh 250001","Phase-1, Pallavpuram",29.0516154,77.7154147,ChIJXQz5J0lvDDkRPbAHDT-fBYI,https://www.google.com/maps/place/?q=place_id:ChIJXQz5J0lvDDkRPbAHDT-fBYI,part_301,2026-09-20 20:37:52
Jupiter Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Test preparation center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 73389 23999,https://www.jupiteracademy.co.in/,4.3,80.0,"old no 1, Plot no c - 20, 2nd Ave, AD Block, Anna Nagar, Chennai, Tamil Nadu 600040","AD Block, Anna Nagar",13.084801599999999,80.2099511,ChIJPyPeV1hlUjoROD89iInoaQY,https://www.google.com/maps/place/?q=place_id:ChIJPyPeV1hlUjoROD89iInoaQY,part_301,2026-09-20 20:37:52
"EduWizz NEET, JEE Coaching for Class 11, 12 (Science) in Kolkata",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Student career counseling office",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,N/A,https://www.lakshyaved.com/,5.0,113.0,"LakshyaVed Educational Services, Jay Matadi Apartment, 90/1, B L D Bagan, Nagerbazar, Kamardanga, Kolkata, West Bengal 700028","B L D Bagan, Nagerbazar, Kamardanga",22.6225085,88.41610469999999,ChIJt2YS1UGf-DkRRh8aTSwY69o,https://www.google.com/maps/place/?q=place_id:ChIJt2YS1UGf-DkRRh8aTSwY69o,part_301,2026-09-20 20:37:52
NEET EJEE Classes,NEET and JEE Coaching Center,Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 97113 59356,http://neetejeeclasses.com/?utm_source=gmb&utm_medium=referral,4.8,157.0,"663, Pocket I, Block I, Sector Alpha II, Greater Noida, Brahmpur Rajraula Urf Nawada, Uttar Pradesh 201310","Pocket I, Block I, Sector Alpha II",28.479775999999998,77.521725,ChIJV7zOx5jrDDkR1BXAz2Ml_S0,https://www.google.com/maps/place/?q=place_id:ChIJV7zOx5jrDDkR1BXAz2Ml_S0,part_301,2026-09-20 20:37:52
ideaKDC,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Charter school",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 88608 55428,http://www.ideakdc.com/,4.8,,"H.No.36, near India Post Office, Pocket 5, Sector 2, Rohini, New Delhi, Delhi, 110085","Pocket 5, Sector 2, Rohini",28.698293399999997,77.10377009999999,ChIJ2QAhevkDDTkR3fSu8uL34E8,https://www.google.com/maps/place/?q=place_id:ChIJ2QAhevkDDTkR3fSu8uL34E8,part_301,2026-09-20 20:37:53
VNV CLASSES,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 99718 78579,https://vnvclasses.com/,4.9,,"2nd Floor, Krishna Mall, Shop No. 205-206, Plot No. 7, Market, Sector 12 Dwarka, Dwarka, New Delhi, Delhi 110075","Pocket 3, Sector 12 Dwarka, Dwarka",28.5957057,77.0486837,ChIJFaNxJK8bDTkR-NqBK4nxAlw,https://www.google.com/maps/place/?q=place_id:ChIJFaNxJK8bDTkR-NqBK4nxAlw,part_301,2026-09-20 20:37:53
"GATEIIT - Personal Tuition & Coaching for Class 5–12, GATE, JAM, NEET, JEE, USMLE, PLAB, CSIR UGC NET, ISI, K-CET.*",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Private Tutor, Tutoring service",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 88673 29839,https://gateiit.com/,4.6,,"600 Mtrs, Central Mall, 1743, 3rd Floor, “Raghvendra Corner Building, 17th Main Rd, behind Bangalore, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078","KSRTC Layout, 2nd Phase, J. P. Nagar",12.9104291,77.59183519999999,ChIJkXJxHv0UrjsR4OLFUyY1AfQ,https://www.google.com/maps/place/?q=place_id:ChIJkXJxHv0UrjsR4OLFUyY1AfQ,part_301,2026-09-20 20:37:53
