business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Madapally Trading Pvt Ltd,Exporters,Exporter,Exporter,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 80867 77779,N/A,4.7,6.0,"XII/133 Madapallymattom BLDGS, Manjamattam Moozhoor Rd, Moozhoor, Akalakunnam, Keralam 686503",Moozhoor,9.620557699999999,76.6634479,ChIJ_wlenL8yBjsRYxYlGsYMLGI,https://www.google.com/maps/place/?q=place_id:ChIJ_wlenL8yBjsRYxYlGsYMLGI,part_301,2026-09-20 20:41:26
Nadan Sharkara (Jaggery Processing Center),Exporters,Sugar factory,Sugar factory,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 94476 60614,N/A,4.1,65.0,"Ayarkunnam - Kidangoor Rd, Punnathura East, Keralam 686564",686564,9.6572262,76.61231029999999,ChIJpySXzejSBzsRNjwxT_Y5J2o,https://www.google.com/maps/place/?q=place_id:ChIJpySXzejSBzsRNjwxT_Y5J2o,part_301,2026-09-20 20:41:26
Kuncharakkattil Crusher,Exporters,Crushed stone supplier,"Crushed stone supplier, Sand & gravel supplier",686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",N/A,N/A,4.1,13.0,"Ayarkunnam-Ettumanoor Rd, Arumanur, Keralam 686564",686564,9.6426115,76.5844039,ChIJ5Rph0m7TBzsRn73aaYZPBP8,https://www.google.com/maps/place/?q=place_id:ChIJ5Rph0m7TBzsRn73aaYZPBP8,part_301,2026-09-20 20:41:26
Milisys,Exporters,Food products supplier,Food products supplier,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 92074 83873,N/A,,,"Mutholy - Kodungoor Rd, Poovathilappu, Akalakunnam, Kerala 686503",Poovathilappu,9.6261273,76.67607319999999,ChIJaZhaEtozBjsRcF3bxbJKUh4,https://www.google.com/maps/place/?q=place_id:ChIJaZhaEtozBjsRcF3bxbJKUh4,part_301,2026-09-20 20:41:26
Vezhampacherril Latex,Exporters,Rubber products supplier,Rubber products supplier,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",N/A,N/A,4.3,15.0,"Meenachil part, Keralam 686573",686564,9.6771304,76.6636729,ChIJUfiBT3PNBzsRbsIz1YP9cUA,https://www.google.com/maps/place/?q=place_id:ChIJUfiBT3PNBzsRbsIz1YP9cUA,part_301,2026-09-20 20:41:26
Integrated Power Loom Industrial Co-Op Society Ltd,Exporters,Clothes and fabric manufacturer,Clothes and fabric manufacturer,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 481 254 2817,N/A,4.3,8.0,"JHCW+QGW, Amayannor - Thannikkapadi Road, Amayannoor, Ayarkunnam, Keralam 686019",Amayannoor,9.621980599999999,76.596324,ChIJb40jQSctBjsRNOkFccwR2EE,https://www.google.com/maps/place/?q=place_id:ChIJb40jQSctBjsRNOkFccwR2EE,part_301,2026-09-20 20:41:26
Perumannil Industries,Exporters,Window supplier,Window supplier,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 99473 38813,N/A,5.0,2.0,"Thallikalu, Perumannil, Keralam 686564",686564,9.635152,76.6151936,ChIJ61n02qQtBjsRDvy2vBtb3Kc,https://www.google.com/maps/place/?q=place_id:ChIJ61n02qQtBjsRDvy2vBtb3Kc,part_301,2026-09-20 20:41:26
Rubro Rubber Industries,Exporters,Manufacturer,Manufacturer,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 62387 78438,N/A,5.0,2.0,"Rubro Rubber Industries Factory, 12/275, Kezhuvamkulam, Puliyannoor, Keralam 686584",686564,9.6632186,76.65197239999999,ChIJ3cTyaKfNBzsR3Kx7ipGfssY,https://www.google.com/maps/place/?q=place_id:ChIJ3cTyaKfNBzsR3Kx7ipGfssY,part_301,2026-09-20 20:41:26
Thulumpanmakel Rubber Nursery,Exporters,Rubber products supplier,Rubber products supplier,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",N/A,https://thulumpanmakelrubbernursery.com/,4.4,18.0,"Lakkattoor, Keralam 686503",686564,9.6206106,76.6537463,ChIJLbvH0LwyBjsRkDWq1K0A9L4,https://www.google.com/maps/place/?q=place_id:ChIJLbvH0LwyBjsRkDWq1K0A9L4,part_301,2026-09-20 20:41:26
Zevora Global Spices,Exporters,Spices Exporter,Spices Exporter,686564,Kerala Circle,Kochi Region,Kottayam Division,"Ayarkunnam SO, Arumanur BO, Karimpani BO",+91 89218 07659,https://www.zevoraglobalspices.com/,4.8,,"paddylane, Ettumanoor, Keralam 686631",paddylane,9.6741431,76.5661253,ChIJ27TSZT7TBzsRDvvs73E7eBs,https://www.google.com/maps/place/?q=place_id:ChIJ27TSZT7TBzsRDvvs73E7eBs,part_301,2026-09-20 20:41:27
