business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kedison Expellers,Edible Oil Wholesaler,Food products supplier,Food products supplier,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 4828 201 165,http://kedisons.com/,3.3,,"Kanjirappalli Elikkulam Rd, Kanjirapally P.O, Kanjirappally, Keralam 686507",Kokkappally,9.5589423,76.7878561,ChIJyRWMR9Y1BjsRS90oijUh4v8,https://www.google.com/maps/place/?q=place_id:ChIJyRWMR9Y1BjsRS90oijUh4v8,part_302,2026-09-20 20:16:39
St.Thomas Rice Mill. Manjoor South,Edible Oil Wholesaler,Rice mill,"Rice mill, Grocery store, Rice wholesaler, Traditional market",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94474 73976,N/A,4.9,,"south, Manjoor, Manjoor South, Keralam 686603",686603,9.7107349,76.5011711,ChIJMVRXvtLVBzsROFEgLjfXodQ,https://www.google.com/maps/place/?q=place_id:ChIJMVRXvtLVBzsROFEgLjfXodQ,part_302,2026-09-20 20:16:39
Kaniyamparampil Coconut Oil Manufacturing Company,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Supplier, Exporter, Food producer, Mill, Organic shop, Outlet store, Store, Food manufacturer",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,https://ruchikera.wordpress.com/,4.6,,"Kaniamparampil Buildings, near Bus stand, Karukachal, Keralam 686540",686603,9.5035844,76.64113119999999,ChIJ7y6WjtUvBjsRfLSBvpufKzw,https://www.google.com/maps/place/?q=place_id:ChIJ7y6WjtUvBjsRfLSBvpufKzw,part_302,2026-09-20 20:16:39
Oil Palm India Ltd.,Edible Oil Wholesaler,Wholesaler,Wholesaler,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 256 7103,http://www.oilpalmindia.com/,4.2,,"near Police Station, Kodimatha, Kottayam, Keralam 686013",Kodimatha,9.5775667,76.5177983,ChIJ35B5OcVCVBAR4Ee5TjNnOws,https://www.google.com/maps/place/?q=place_id:ChIJ35B5OcVCVBAR4Ee5TjNnOws,part_302,2026-09-20 20:16:39
J J industries Malayalaees coconut oil and spices,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Food products supplier, Spice store, Supermarket",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94477 96829,N/A,5.0,,"Thengana-Thiruvanchoor Rd, Njaliankuzhi, Pongamthanam, Vakathanam, Keralam 686538","Njaliankuzhi, Pongamthanam",9.5229865,76.573587,ChIJJRDfZ_MvBjsRaB8j2VJDP-w,https://www.google.com/maps/place/?q=place_id:ChIJJRDfZ_MvBjsRaB8j2VJDP-w,part_302,2026-09-20 20:16:39
Udayam coconut oil,Edible Oil Wholesaler,Store,Store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 83010 65597,N/A,4.5,,"HGVQ+P96, Keezhukunnu, Kottayam, Keralam 686002",Keezhukunnu,9.5942895,76.5383825,ChIJXeETxCgrBjsRSgp04k36qf0,https://www.google.com/maps/place/?q=place_id:ChIJXeETxCgrBjsRSgp04k36qf0,part_302,2026-09-20 20:16:39
Vattathara Oil Mills - Coconut Oil Manufacturer,Edible Oil Wholesaler,Food manufacturer,Food manufacturer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,,"South Gate, Vaikom, Keralam 686141",South Gate,9.741031999999999,76.3946277,ChIJqwrS7xJ5CDsR0xxV3krSD5g,https://www.google.com/maps/place/?q=place_id:ChIJqwrS7xJ5CDsR0xxV3krSD5g,part_302,2026-09-20 20:16:39
Anand Oil Industries Cherikkal,Edible Oil Wholesaler,Mill,Mill,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,,"Chemmanathukara Rd, P.O, Vaikom, Keralam 686606",P.O,9.723837699999999,76.40057949999999,ChIJK0byRS55CDsRZ7gjCXMlpH8,https://www.google.com/maps/place/?q=place_id:ChIJK0byRS55CDsRZ7gjCXMlpH8,part_302,2026-09-20 20:16:39
Royal Edible Company,Edible Oil Wholesaler,Store,Store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 81118 80246,http://www.royalrichindia.com/,4.1,,"P.O, Eravathoor, Road, Annamanada, Keralam 680732",686603,10.2088301,76.3089847,ChIJXSYUd_EECDsRNThnr2kcKMs,https://www.google.com/maps/place/?q=place_id:ChIJXSYUd_EECDsRNThnr2kcKMs,part_302,2026-09-20 20:16:39
JJ AGRO & EDIBLE OIL COMPANY | WOYELA OIL | Cold Pressed Oils | Groundnut Oil | Sesame Oil | Coconut Oil | Manufacturer,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Food manufacturer, Food manufacturing supply, Food Processing Company, Health food store, Organic food store, Store, Manufacturer",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 97919 68257,N/A,5.0,,"JJ AGRO & EDIBLE OIL COMPANY No. 74, Karumbalai Kilakku Kattu Vattam, PO, Karuppur, Salem, Tamil Nadu 636012",Vellakalpatti,11.7078644,78.0957566,ChIJm3-i6UJqPaURliDO1KK3jnc,https://www.google.com/maps/place/?q=place_id:ChIJm3-i6UJqPaURliDO1KK3jnc,part_302,2026-09-20 20:16:39
