business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AQUA GLOW BEAUTY SALON,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 96336 63681,N/A,4.7,54.0,"RC Arcade, M C Road Vempally, opposite Village Office, Kanakkary, Kottayam, Keralam 686633",686603,9.7105303,76.557405,ChIJlbvR-8DTBzsRu3WKLWUnyT0,https://www.google.com/maps/place/?q=place_id:ChIJlbvR-8DTBzsRu3WKLWUnyT0,part_302,2026-09-20 20:16:57
Lemonade Family Salon,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 99472 76619,https://lemonadebeautysalon.co.in/,4.6,269.0,"Kuruppanthara, Manjoor, Keralam 686603",Kuruppanthara,9.742338799999999,76.5144244,ChIJQ9eIBZ_XBzsRnYeezw3hmyU,https://www.google.com/maps/place/?q=place_id:ChIJQ9eIBZ_XBzsRnYeezw3hmyU,part_302,2026-09-20 20:16:57
Hair Affairs,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 81578 37400,N/A,4.6,11.0,"PGM4+H68, Kottayam, Keralam 686603",686603,9.7339065,76.5055905,ChIJv_zo-IjWBzsRK9mgamHo1ks,https://www.google.com/maps/place/?q=place_id:ChIJv_zo-IjWBzsRK9mgamHo1ks,part_302,2026-09-20 20:16:57
Pink Lips beauty salon,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 75108 02726,N/A,5.0,79.0,"Manvettom- Memury Church Rd, Kuruppanthara, Keralam 686611",686603,9.724030299999999,76.4859439,ChIJSeIMCDTXBzsR4KKr5ycT9vw,https://www.google.com/maps/place/?q=place_id:ChIJSeIMCDTXBzsR4KKr5ycT9vw,part_302,2026-09-20 20:16:57
Royal Roots Unisex Salon & Makeup Studio,Salon,Make-up artist,"Make-up artist, Hairdresser",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 81292 30809,N/A,4.7,61.0,"Illathuparambil Building, opp. SBI Pravattom Jn, Neendoor, Kerala 686601",686603,9.6802587,76.5063239,ChIJy2Ffn5XVBzsRBTU0VDPtrU8,https://www.google.com/maps/place/?q=place_id:ChIJy2Ffn5XVBzsRBTU0VDPtrU8,part_302,2026-09-20 20:16:57
Red Scissors,Salon,Beauty Parlour,"Beauty Parlour, Barber shop",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94471 32660,https://instagram.com/red.scissors_the_barbershop?utm_medium=copy_link,4.6,64.0,"Kuruppanthara Kavala, Kallara Rd, Kuruppanthara, Kerala 686603",Kuruppanthara,9.7394736,76.5161268,ChIJl6TvRJLWBzsRVQTFbaoSjcU,https://www.google.com/maps/place/?q=place_id:ChIJl6TvRJLWBzsRVQTFbaoSjcU,part_302,2026-09-20 20:16:57
Soft Touch,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 96565 03606,N/A,4.1,16.0,"PGM4+RMX, Kottayam, Kerala 686603",686603,9.7346194,76.50674649999999,ChIJ9fa0I4nWBzsRB2AzFi370r0,https://www.google.com/maps/place/?q=place_id:ChIJ9fa0I4nWBzsRB2AzFi370r0,part_302,2026-09-20 20:16:57
Macbello Family Salon,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95625 14002,http://www.macbello.com/,4.8,875.0,"Market, Junction, Kaduthuruthy, Keralam 686604",686603,9.767390899999999,76.4908538,ChIJVUcZBkLXBzsRnrhkjz5DIRM,https://www.google.com/maps/place/?q=place_id:ChIJVUcZBkLXBzsRnrhkjz5DIRM,part_302,2026-09-20 20:16:57
"Silver Bells Beauty Studio | Hair and Skin Treatment Parlour Ettumanoor, Kottayam",Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95260 46660,N/A,4.3,115.0,"Crystal Plaza Kothanalloor, South Junction, Ettumanoor, Keralam 686632",South Junction,9.7115302,76.53389469999999,ChIJD69alDfVBzsR5LlDC-bO1tA,https://www.google.com/maps/place/?q=place_id:ChIJD69alDfVBzsR5LlDC-bO1tA,part_302,2026-09-20 20:16:57
ESSENZA FAMILY SALON,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 88912 30196,N/A,5.0,20.0,"near SBI, Kothanalloor, Keralam 686632",686603,9.7190263,76.5262632,ChIJM34XcdnVBzsR-LbE5L2K3iU,https://www.google.com/maps/place/?q=place_id:ChIJM34XcdnVBzsR-LbE5L2K3iU,part_302,2026-09-20 20:16:57
Beautello Family Salon,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 70127 23484,https://www.facebook.com/share/1LniuksejX/,4.0,49.0,"Pravattom Junction, Onamthuruth, Neendoor, Keralam 686601",686603,9.679755799999999,76.5058263,ChIJdbehe4XVBzsRysN3tHybw_E,https://www.google.com/maps/place/?q=place_id:ChIJdbehe4XVBzsRysN3tHybw_E,part_302,2026-09-20 20:16:57
Groom In Style Gents &Kids Saloon,Salon,Beauty Parlour,Beauty Parlour,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,3.3,12.0,"PGH9+9VJ, Manjoor, Keralam 686603",686603,9.72846,76.5196279,ChIJF6siU1XXBzsRh8tmVdXh2u4,https://www.google.com/maps/place/?q=place_id:ChIJF6siU1XXBzsRh8tmVdXh2u4,part_302,2026-09-20 20:16:57
