business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jstocks The bodyshop,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop, Auto painting, Car repair and maintenance service",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 81370 44491,N/A,5.0,8.0,"Maliakal Building, Appanchira, Kaduthuruthy, Keralam 686604",Appanchira,9.776006899999999,76.47141119999999,ChIJv-nPV-_XBzsRKYBO6hSF9gk,https://www.google.com/maps/place/?q=place_id:ChIJv-nPV-_XBzsRKYBO6hSF9gk,part_302,2026-09-20 20:17:28
Maruthi Care Center,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 94474 73576,N/A,3.0,28.0,"QFQ5+QWR, Thalappara Junction, Thalayolaparambu, Keralam 686605",686604,9.7894902,76.45977239999999,ChIJ2_icfOHXBzsRq6JxKYtsJE0,https://www.google.com/maps/place/?q=place_id:ChIJ2_icfOHXBzsRq6JxKYtsJE0,part_302,2026-09-20 20:17:28
TURBOX Garage Car Workshop,Car Repair Workshop and Garage,Garage,Garage,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,,,"RC7V+R63, Varikkamkunnu, Velloor, Keralam 686605",686604,9.8133942,76.4430012,ChIJV9NAbwB3CDsRJqNdfl-s6vs,https://www.google.com/maps/place/?q=place_id:ChIJV9NAbwB3CDsRJqNdfl-s6vs,part_302,2026-09-20 20:17:28
Maruti Suzuki Authorised Service (Myaliparampil Motors),Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 94475 62050,https://www.marutisuzuki.com/maruti-authorized-service-station-in-angamally,4.3,80.0,"686604 poozhikol, QFM7+359 SILON JUNCTION P O, near THALAYOLARAMBU, Thalayolaparambu, Keralam 686604",686604,9.7826575,76.4630765,ChIJR3m6xN3XBzsR3BODSswZxuA,https://www.google.com/maps/place/?q=place_id:ChIJR3m6xN3XBzsR3BODSswZxuA,part_302,2026-09-20 20:17:28
Toyotech car workshop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,4.4,22.0,"Pallom Buchanan Rd, near Pakkil Temple- Bormakkavala Road, Pallom, Keralam 686007",686604,9.5362165,76.51635069999999,ChIJc2MreD4pBjsRgtbzZZ_pX0g,https://www.google.com/maps/place/?q=place_id:ChIJc2MreD4pBjsRgtbzZZ_pX0g,part_302,2026-09-20 20:17:29
Grand Auto Garage,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto body shop, Auto bodywork mechanic, Auto painting, Auto repair shop, Insurance agency, Machine workshop, Mechanic, Garage",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 94957 22763,http://www.grandcherpunkal.com/,4.9,64.0,"Kalathoor Building, SH32, opposite HP Pump, Pala, Cherpunkal, Keralam 686584",Pala,9.6895113,76.6355695,ChIJ6U6uiRXTBzsRCgY82JyBukw,https://www.google.com/maps/place/?q=place_id:ChIJ6U6uiRXTBzsRCgY82JyBukw,part_302,2026-09-20 20:17:30
manic_mechanic customz,Car Repair Workshop and Garage,Auto body parts supplier,Auto body parts supplier,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 99955 61555,N/A,4.9,35.0,"Near csi college kanakkari, opposite Csi engineering college, Ettumanoor, Keralam 686632",686604,9.690745699999999,76.5519781,ChIJW48OLxHTBzsRaJkNaRzYarE,https://www.google.com/maps/place/?q=place_id:ChIJW48OLxHTBzsRaJkNaRzYarE,part_302,2026-09-20 20:17:30
Anil Car Workshop,Car Repair Workshop and Garage,Chauffeur service,Chauffeur service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 97443 82202,N/A,4.3,42.0,"JG4C+G63, MRA Rd., chungam, Kumaranalloor, Kottayam, Keralam 686041",Kumaranalloor,9.6062504,76.5205589,ChIJXRGnd3UrBjsRqNvNu_UPv9k,https://www.google.com/maps/place/?q=place_id:ChIJXRGnd3UrBjsRqNvNu_UPv9k,part_302,2026-09-20 20:17:30
"Automobile Workshop, gulf auto Garage",Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,4.1,10.0,"HHC4+Q9R, Manganam, Kottayam, Puthuppally, Keralam 686018",Manganam,9.5719899,76.5559044,ChIJM1yVa3MsBjsRtNbUe7kTENE,https://www.google.com/maps/place/?q=place_id:ChIJM1yVa3MsBjsRtNbUe7kTENE,part_302,2026-09-20 20:17:30
Garage tech Automotive Kodungoor,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 90489 40014,http://www.businessyourworld.com/listings/author/16408/508,4.8,26.0,"Kottayam - Kumily Rd, Kodungoor, Kottayam, Vazhoor, Keralam 686504",Kodungoor,9.565747199999999,76.7117957,ChIJd8vPJwAzBjsRYupXl8sfLZI,https://www.google.com/maps/place/?q=place_id:ChIJd8vPJwAzBjsRYupXl8sfLZI,part_302,2026-09-20 20:17:31
Classique Motors - Car Workshop,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto parts store, Auto repair shop, Auto Accessories Store",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 75930 30333,N/A,4.2,116.0,"Andoor Jn. Thekkumury, Puliyanoor. P.O, Mutholy, Pala, Keralam 686573",686604,9.6968488,76.6474234,ChIJ02n9DTrNBzsR_XJOVCs_Dkc,https://www.google.com/maps/place/?q=place_id:ChIJ02n9DTrNBzsR_XJOVCs_Dkc,part_302,2026-09-20 20:17:31
