business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MS electrician motor winding,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 99284 48446,N/A,5.0,,"Kanau, Rajasthan 335502",686604,28.9939011,74.905563,ChIJSyGe1OALFDkR6JtrG6tte2U,https://www.google.com/maps/place/?q=place_id:ChIJSyGe1OALFDkR6JtrG6tte2U,part_302,2026-09-20 20:17:49
"Chowdeswari, Motor rewinding & pumps services",Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 82962 68694,N/A,4.3,,"Hoodi, Basavanagara, Bengaluru, Karnataka 560048","Hoodi, Basavanagara",12.9901708,77.717833,ChIJ_45JE7IRrjsRmdrpd2zc1Cg,https://www.google.com/maps/place/?q=place_id:ChIJ_45JE7IRrjsRmdrpd2zc1Cg,part_302,2026-09-20 20:17:49
Everest Borewells,Motor Rewinding and Pump Repair,Well drilling contractor,"Well drilling contractor, Excavating contractor, Tubewell Contractor, Water Pump Supplier",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 94477 75494,N/A,4.7,,"Guruvayoor Road, Kaiparambu, Thrissur, Kaiparambu, Keralam 680546",Kaiparambu,10.609185199999999,76.1378258,ChIJ71AboKbrpzsROCsqoOLoq30,https://www.google.com/maps/place/?q=place_id:ChIJ71AboKbrpzsROCsqoOLoq30,part_302,2026-09-20 20:17:49
Ideal Motor Rewinding and Repairing,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 85901 82725,N/A,5.0,,"5MXW+CQ7, Junction, Kurampala, Kerala 689501",Junction,9.1985417,76.6969256,ChIJa-I-ZQARBjsR6HsFKUkaDkg,https://www.google.com/maps/place/?q=place_id:ChIJa-I-ZQARBjsR6HsFKUkaDkg,part_302,2026-09-20 20:17:50
Kidangalil Motor Winding Shop,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 95623 12032,N/A,5.0,,"Vanchithra, Landmark :, opposite Marthoma Senior Secondary School, Kozhencherry, Kerala 689641",686604,9.3337715,76.70553369999999,ChIJefKd3l09BjsRQWgWWP_Kyuw,https://www.google.com/maps/place/?q=place_id:ChIJefKd3l09BjsRQWgWWP_Kyuw,part_302,2026-09-20 20:17:50
Krishna Traders,Motor Rewinding and Pump Repair,Auto electrical service,Auto electrical service,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 99464 47679,N/A,4.9,,"Kodimatha, Kottayam, Keralam 686013",Kodimatha,9.580821,76.5207939,ChIJBbqORKMrBjsRqLpk4O-u3NU,https://www.google.com/maps/place/?q=place_id:ChIJBbqORKMrBjsRqLpk4O-u3NU,part_302,2026-09-20 20:17:50
"KIRLOSKAR CARE (ELECTRO CONTROLS KOTTAYAM) (കിർലോസ്കർ കെയർ- ഇലക്ട്രോ കൺട്രോൾസ്, കോട്ടയം),",Motor Rewinding and Pump Repair,Electric generator shop,Electric generator shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 98435 78973,https://www.electrocontrols.in/,4.4,,"Pattithanam - Manarcadu Byp Rd, Poovathumoodu, Keralam 686019",686604,9.6281078,76.5700037,ChIJA1jWqMItBjsRiyBAKK5H_tU,https://www.google.com/maps/place/?q=place_id:ChIJA1jWqMItBjsRiyBAKK5H_tU,part_302,2026-09-20 20:17:50
Power Auto Electrical Works,Motor Rewinding and Pump Repair,Electrical repair shop,"Electrical repair shop, Auto electrical service, Battery Store",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 98472 08505,N/A,5.0,,"HFQR+WGJ, Kottayam - Kumarakom Rd, Opposite Illickal Ground, Illikkal, Kottayam, Keralam 686005",Illikkal,9.589846,76.491269,ChIJOwM-qypDVBAR4Af1IsfoJ_k,https://www.google.com/maps/place/?q=place_id:ChIJOwM-qypDVBAR4Af1IsfoJ_k,part_302,2026-09-20 20:17:50
P&V Electrical's Crompton Athourise Service Center,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 85940 87578,N/A,3.0,,"9JP8+74Q, Thottabhaghom- Kaviyoor Road, Keralam 689541",686604,9.3857029,76.615369,ChIJx_b2RhklBjsRGwHVM9NHLZU,https://www.google.com/maps/place/?q=place_id:ChIJx_b2RhklBjsRGwHVM9NHLZU,part_302,2026-09-20 20:17:50
Sreemurugha Motor winding Workshop(Masters),Motor Rewinding and Pump Repair,Electronics store,Electronics store,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 88911 88280,N/A,4.2,,"R8X4+JQP, Chandiroor, Keralam 688537",Chandiroor,9.849076,76.3069658,ChIJjfDNC65xCDsRN3fugOJ4uDQ,https://www.google.com/maps/place/?q=place_id:ChIJjfDNC65xCDsRN3fugOJ4uDQ,part_302,2026-09-20 20:17:50
CHANDRA ELECTRICALS & POWERTOOLS,Motor Rewinding and Pump Repair,Electrical repair shop,Electrical repair shop,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 96473 42407,N/A,5.0,,"HGPC+HJ6, Palace Rd, Kottayam, Keralam 686001",686604,9.5864081,76.5215182,ChIJjzWdPK4rBjsRzZsuskCo0Bo,https://www.google.com/maps/place/?q=place_id:ChIJjzWdPK4rBjsRzZsuskCo0Bo,part_302,2026-09-20 20:17:50
