business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adhi flour mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,5.0,,"Vaikaprayar, Vaikom, Vadakkemuri, Keralam 686146",Vaikaprayar,9.772513799999999,76.4181463,ChIJyRCz6W55CDsRkA2jVVPb-OA,https://www.google.com/maps/place/?q=place_id:ChIJyRCz6W55CDsRkA2jVVPb-OA,part_302,2026-09-20 20:17:57
Keerthi Oil and Flour Mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 99472 94465,N/A,5.0,,"Kanjiramattom, Keralam 682315",686605,9.8428607,76.4074412,ChIJOQN4HCF3CDsR4j0ur6G150U,https://www.google.com/maps/place/?q=place_id:ChIJOQN4HCF3CDsR4j0ur6G150U,part_302,2026-09-20 20:17:57
Al.Safi flourmill,Flour Mill,Store,Store,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 97440 42318,N/A,4.7,,"Murinjapuzha,p.o, Chempu, Vaikom, Keralam 686608",Chempu,9.8173249,76.3933361,ChIJlRlN1253CDsRL9eVz129Cxk,https://www.google.com/maps/place/?q=place_id:ChIJlRlN1253CDsRL9eVz129Cxk,part_302,2026-09-20 20:17:57
Mahima flour mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 96569 30528,N/A,,,"ID Plot, Ground Floor, Chalaparambu, Vaikom, Keralam 686141",686605,9.7586826,76.4043214,ChIJkeJKeAB5CDsRSCOWdMMjUic,https://www.google.com/maps/place/?q=place_id:ChIJkeJKeAB5CDsRSCOWdMMjUic,part_302,2026-09-20 20:17:57
Flour Mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,3.0,,"QCRV+RPG, Palamkadavu Bridge, side, Thalayolaparambu, Vadayar, Keralam 686605",side,9.792074,76.4443345,ChIJeYrs9uF5CDsRpy4XH9WOLN4,https://www.google.com/maps/place/?q=place_id:ChIJeYrs9uF5CDsRpy4XH9WOLN4,part_302,2026-09-20 20:17:57
MANGALATHU FLOUR MILLS,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,1.0,,"QCPR+P92, Thalayolaparambu, Kerala 686605",686605,9.7867596,76.4408911,ChIJAzTdpBN4CDsROlVOk9E50qQ,https://www.google.com/maps/place/?q=place_id:ChIJAzTdpBN4CDsROlVOk9E50qQ,part_302,2026-09-20 20:17:57
Flour mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,,,"QCFP+R6W, Thalayolaparambu, Kerala 686605",686605,9.774588999999999,76.4355862,ChIJY58cQAp5CDsRWZ9NkwpVcfM,https://www.google.com/maps/place/?q=place_id:ChIJY58cQAp5CDsRWZ9NkwpVcfM,part_302,2026-09-20 20:17:57
Pathmas Rice & Flour Mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,,,"RC7W+74F, Vadakara, Thalayolaparambu, Velloor, Kerala 686605",Vadakara,9.813185299999999,76.4452888,ChIJW7LodPR3CDsR9MgMtdARIhc,https://www.google.com/maps/place/?q=place_id:ChIJW7LodPR3CDsR9MgMtdARIhc,part_302,2026-09-20 20:17:57
V-ONE FLOUR MILL,Flour Mill,General store,"General store, Service establishment",686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 81570 58641,N/A,3.5,,"V-ONE FLOUR MILL, 686605, India",686605,21.0680074,82.7525294,ChIJIYPZu9l5CDsRmMOeg9PReFU,https://www.google.com/maps/place/?q=place_id:ChIJIYPZu9l5CDsRmMOeg9PReFU,part_302,2026-09-20 20:17:57
Anand Flour mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,3.2,,"RC79+J88, Kerala 686605",686605,9.8140495,76.4183406,ChIJZW28Wvt3CDsRPYwBFNhRzus,https://www.google.com/maps/place/?q=place_id:ChIJZW28Wvt3CDsRPYwBFNhRzus,part_302,2026-09-20 20:17:58
St.Marys Flour Mill,Flour Mill,Flour mill,Flour mill,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,4.5,,"Q9WX+RP6, Maravanthuruthu, Kerala 686608",686605,9.797038599999999,76.3992707,ChIJNY_AvNB5CDsRWiVym9IPZcg,https://www.google.com/maps/place/?q=place_id:ChIJNY_AvNB5CDsRWiVym9IPZcg,part_302,2026-09-20 20:17:58
