business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pink Matter,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 96336 13235,N/A,5.0,,"Chempu, Vaikom, Maravanthuruthu, Keralam 686608",Chempu,9.8083099,76.39669889999999,ChIJewJMXAB3CDsRtoOszBFQ1Pk,https://www.google.com/maps/place/?q=place_id:ChIJewJMXAB3CDsRtoOszBFQ1Pk,part_302,2026-09-20 20:20:15
Beauty Zone,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 88487 89351,https://blackkingdom.in/business/index.php?id=1095,5.0,,"Pithrukunnam Temple, Udayanapuram, Vaikom, Vadakkemuri, Keralam 686143",Udayanapuram,9.7785605,76.39518149999999,ChIJG5gDZHx5CDsRRGYgiXOxmME,https://www.google.com/maps/place/?q=place_id:ChIJG5gDZHx5CDsRRGYgiXOxmME,part_302,2026-09-20 20:20:15
Sravana Beauty care,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 98463 91472,N/A,,,"Kandamkakara, kattikunnu, Vikom, Keralam 686608",Kattikkunnu,9.8322836,76.39041999999999,ChIJj0J8S5V3CDsRauZoo3Ed9IM,https://www.google.com/maps/place/?q=place_id:ChIJj0J8S5V3CDsRauZoo3Ed9IM,part_302,2026-09-20 20:20:15
SHE'S BEAUTY PARLOUR FLOWER MART,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",N/A,N/A,4.0,,"R92X+59M, SH15, Kochangadi, Maravanthuruthu, Kerala 686608",Kochangadi,9.8004638,76.39840769999999,ChIJ0wYQ1tl5CDsRRK3294iwSkA,https://www.google.com/maps/place/?q=place_id:ChIJ0wYQ1tl5CDsRRK3294iwSkA,part_302,2026-09-20 20:20:15
Hair cutting saloon,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",N/A,N/A,4.3,,"Murinjapuzha, Chempu, Kerala 686608","Murinjapuzha, Chempu",9.819116,76.3918679,ChIJRZ4S4nR3CDsR1E0EGfP2_TE,https://www.google.com/maps/place/?q=place_id:ChIJRZ4S4nR3CDsR1E0EGfP2_TE,part_302,2026-09-20 20:20:15
Blush Beauty Saloon,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 98478 13637,N/A,4.1,,"P.O, kottayam Bethlahem, Vaikom, Vadakkemuri, Keralam 686141",686608,9.770368999999999,76.3883039,ChIJoyEXnwh5CDsREN5AYCrsBAA,https://www.google.com/maps/place/?q=place_id:ChIJoyEXnwh5CDsREN5AYCrsBAA,part_302,2026-09-20 20:20:15
Sole Signature Unisex Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 81398 60393,N/A,4.6,,"Bldng No. 200/D, Midhila Complex, Poothotta, P.O, Puthenkav, Manakunnam, Ernakulam, Kerala 682307","Poothotta, P.O, Puthenkav",9.8498544,76.3859619,ChIJae-8aYJ3CDsRNmXnzKzpKvw,https://www.google.com/maps/place/?q=place_id:ChIJae-8aYJ3CDsRNmXnzKzpKvw,part_302,2026-09-20 20:20:15
Emilia Beauty Hub - Adichira,Beauty Parlour,Cosmetics store,Cosmetics store,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",N/A,http://emiliabeautyhub.com/,4.7,730.0,"Ground Floor, Amala Tower, Emilia, Adichira Ammancheri Rd, near Chaithanya Eye Hospital, Ettumanoor, Keralam 686630",686608,9.6331721,76.5435786,ChIJhVt_OAArBjsRIEld29SpkiQ,https://www.google.com/maps/place/?q=place_id:ChIJhVt_OAArBjsRIEld29SpkiQ,part_302,2026-09-20 20:20:17
The Beauty Company Kerala Korean Salon - Kanjikuzhy,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 94959 58372,N/A,4.5,98.0,"HGPW+X75, Kottayam - Kumily Rd, opposite Thekkekattu Building, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.5873708,76.54565939999999,ChIJu51FTAArBjsRyi324ZLQqJE,https://www.google.com/maps/place/?q=place_id:ChIJu51FTAArBjsRyi324ZLQqJE,part_302,2026-09-20 20:20:17
Orchid Beauty Parlour,Beauty Parlour,Cosmetics store,"Cosmetics store, Gift shop, Jewelry store, Toy store",686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 97474 83106,https://orchidbeautyparlour.dialndial.com/,3.6,12.0,"Pulickal Shopping Mall, Erattupetta, Kottayam, Erattupetta, Keralam 686121",Erattupetta,9.6875199,76.779237,ChIJC3FHBgDLBzsRYzsHDuvkfuQ,https://www.google.com/maps/place/?q=place_id:ChIJC3FHBgDLBzsRYzsHDuvkfuQ,part_302,2026-09-20 20:20:17
