business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Reshape Me,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 91429 22226,N/A,3.0,7.0,"Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.9808165,76.58011549999999,ChIJebDUE3vnBzsRehgG7jJZwUk,https://www.google.com/maps/place/?q=place_id:ChIJebDUE3vnBzsRehgG7jJZwUk,part_302,2026-09-20 20:31:42
SPASE Fitness Kolenchery,Fitness Chains,Gym,"Gym, Fitness center",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 94469 49198,http://www.spasefitness.com/,4.9,432.0,"SPASEFitness, 1st floor, Ellora Towers, opposite IOC petrol Pump, Kolenchery, Aikaranad South, Keralam 682311",686661,9.9794244,76.4775934,ChIJNZNaV07fBzsRAjtu4yISB58,https://www.google.com/maps/place/?q=place_id:ChIJNZNaV07fBzsRAjtu4yISB58,part_302,2026-09-20 20:31:42
Kingsman Fitness Club Kolenchery,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 99952 58911,N/A,4.9,310.0,"Kinginimattom-Puthapanam Road, Kolenchery, Vadayampady, Keralam 682308",686661,9.9759184,76.45195149999999,ChIJu4yfegB1CDsRdIxWZo-Pyjs,https://www.google.com/maps/place/?q=place_id:ChIJu4yfegB1CDsRdIxWZo-Pyjs,part_302,2026-09-20 20:31:42
GYM BLACK FITNESS,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 95267 57977,https://www.facebook.com/Gymblack-Fitness-214200985845724/,4.8,33.0,"2G82+G4F, Mazhuvannoor, Keralam 686669",686661,10.0163177,76.50029169999999,ChIJYYPgWa7hBzsRxpazq4g_Kmw,https://www.google.com/maps/place/?q=place_id:ChIJYYPgWa7hBzsRxpazq4g_Kmw,part_302,2026-09-20 20:31:42
"CORE Fitness Studio, PIRAVOM",Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 70122 52691,N/A,4.9,43.0,"Town Plaza, P.O. Jn, Pallikavala, Piravom, Kochi, Kerala 686664",Pallikavala,9.8759448,76.48697159999999,ChIJ4VSfTfvZBzsRJ42UoT9vvfY,https://www.google.com/maps/place/?q=place_id:ChIJ4VSfTfvZBzsRJ42UoT9vvfY,part_302,2026-09-20 20:31:42
JNS Fitness Centre,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 94472 09490,N/A,4.8,69.0,"2/142 vazhakuzhakal, Engineering College Road, Kadayiruppu, Aikaranad North, Keralam 682311",686661,10.0101704,76.4550556,ChIJz97Unp0KCDsRlNvtVxYfHV0,https://www.google.com/maps/place/?q=place_id:ChIJz97Unp0KCDsRlNvtVxYfHV0,part_302,2026-09-20 20:31:42
GYMQO Fitness & Lifestyle,Fitness Chains,Fitness center,Fitness center,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 98955 66677,http://www.gymqofitness.com/,4.9,389.0,"near IMA hall, Thankalam, Kothamangalam, Keralam 686691",Thankalam,10.069231499999999,76.61669499999999,ChIJL4AKp0PnBzsRaPUPhTwXgJg,https://www.google.com/maps/place/?q=place_id:ChIJL4AKp0PnBzsRaPUPhTwXgJg,part_302,2026-09-20 20:31:42
Fitness Planet,Fitness Chains,Fitness center,Fitness center,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 77367 37773,N/A,4.9,178.0,"Thankalam, Kothamangalam, Keralam 686691",Thankalam,10.068379499999999,76.6142454,ChIJCxdYELPnBzsRSY0V1QKu0EE,https://www.google.com/maps/place/?q=place_id:ChIJCxdYELPnBzsRSY0V1QKu0EE,part_302,2026-09-20 20:31:42
INFINITY FITNESS,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 88912 41393,N/A,4.9,69.0,"Ben Tower, Bible College Junction, Puthenkurish, Kochi, Keralam 682308",Puthenkurish,9.9654901,76.4132576,ChIJK0Cszgl1CDsRsPnF_TVjY3E,https://www.google.com/maps/place/?q=place_id:ChIJK0Cszgl1CDsRsPnF_TVjY3E,part_302,2026-09-20 20:31:42
Fitness World Multi Gym,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 70129 04580,N/A,4.5,41.0,"Pattimattom, Kerala 683562",686661,10.0235182,76.4496192,ChIJG6zKW4cKCDsR1HMGPi0P0IU,https://www.google.com/maps/place/?q=place_id:ChIJG6zKW4cKCDsR1HMGPi0P0IU,part_302,2026-09-20 20:31:42
F5 Fitness Center,Fitness Chains,Gym,"Gym, Fitness center",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 97462 82502,http://www.f5fitness.in/,4.9,165.0,"Road, near Police station, Muvattupuzha, Pattimattom, Keralam 683562",686661,10.0235881,76.45191129999999,ChIJx1A_UoQLCDsRyvcARtGbCa0,https://www.google.com/maps/place/?q=place_id:ChIJx1A_UoQLCDsRyvcARtGbCa0,part_302,2026-09-20 20:31:43
Afton Treadmill & Gym Equipment Store,Fitness Chains,Exercise equipment store,"Exercise equipment store, Fitness Equipment Wholesaler",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 98460 66777,https://www.afton.in/product/kochi-fitness-equipment-store-call-9846066777,4.8,,"Metro Pillar No 775, Metro Station, White Towers, Sahodaran Ayyappan Rd, near Kadavanthra, Panampilly Nagar, Ernakulam, Keralam 682036",Panampilly Nagar,9.966128,76.2970934,ChIJ90-JB8lyCDsRHiK6qLbl-qE,https://www.google.com/maps/place/?q=place_id:ChIJ90-JB8lyCDsRHiK6qLbl-qE,part_302,2026-09-20 20:31:44
Welcare Fitness Equiupment,Fitness Chains,Exercise equipment store,Exercise equipment store,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 77360 38787,https://welcarefitness.com/,4.9,,"first floor, Thekkekkara commercial centre, Door No : 41/1718 A1, Padivattom, Palarivattom, Kochi, Keralam 682025","Padivattom, Palarivattom",10.0104279,76.3186087,ChIJpZBTKlINCDsRcIJpQPMhK38,https://www.google.com/maps/place/?q=place_id:ChIJpZBTKlINCDsRcIJpQPMhK38,part_302,2026-09-20 20:31:44
International Fitness Systems,Fitness Chains,Gym,Gym,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 94952 21845,N/A,4.5,,"Union Bank Building, Panampilly Nagar Ave, Panampilly Nagar, Kochi, Keralam 682036",Panampilly Nagar,9.9631968,76.2954396,ChIJ____v8dyCDsRx8v9qCq3onc,https://www.google.com/maps/place/?q=place_id:ChIJ____v8dyCDsRx8v9qCq3onc,part_302,2026-09-20 20:31:44
Red Sports - Kothamangalam,Fitness Chains,Sporting goods store,Sporting goods store,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 97441 16063,https://instagram.com/red_sportssz,4.9,,"MA College Rd, near my g, Kothamangalam, Keralam 686691",686661,10.06186,76.6198144,ChIJ51PcbwDnBzsR-6UAmd1giZM,https://www.google.com/maps/place/?q=place_id:ChIJ51PcbwDnBzsR-6UAmd1giZM,part_302,2026-09-20 20:31:44
Bikazoom Sports Co.,Fitness Chains,Sporting goods store,"Sporting goods store, Adventure Sports Center, Bicycle Shop, E-commerce service",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 85899 05858,https://www.bikazoom.com/,5.0,,"State Highway 41, Pattimattom, Kochi, Keralam 683562",686661,10.0236176,76.46180439999999,ChIJddr1_H0KCDsRDkyhxzQ48u8,https://www.google.com/maps/place/?q=place_id:ChIJddr1_H0KCDsRDkyhxzQ48u8,part_302,2026-09-20 20:31:44
Track Sports,Fitness Chains,Sporting goods store,Sporting goods store,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 94461 41613,http://tracksportsonline.com/,4.0,,"PMS Complex, College Rd, Kothamangalam, Keralam 686691",686661,10.0608156,76.6177029,ChIJl1MY2GzmBzsRQ_mioyjsn5c,https://www.google.com/maps/place/?q=place_id:ChIJl1MY2GzmBzsRQ_mioyjsn5c,part_302,2026-09-20 20:31:44
ABTECH,Fitness Chains,Fitness Equipment Wholesaler,Fitness Equipment Wholesaler,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 99952 13125,N/A,5.0,,"2GHX+CXM, SH 1, Thrikkalathoor, Keralam 683541",686661,10.0285845,76.5499056,ChIJ-dM89xbnBzsRRsxeyec26Gw,https://www.google.com/maps/place/?q=place_id:ChIJ-dM89xbnBzsRRsxeyec26Gw,part_302,2026-09-20 20:31:44
C Blues Sports,Fitness Chains,Sporting goods store,"Sporting goods store, Toy store",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 98460 68169,N/A,4.6,,"Broadway, Menaka, Marine Drive, Ernakulam, Keralam 682031","Menaka, Marine Drive",9.9785068,76.27748129999999,ChIJTx6M7lMNCDsRaM54vYYt0tI,https://www.google.com/maps/place/?q=place_id:ChIJTx6M7lMNCDsRaM54vYYt0tI,part_302,2026-09-20 20:31:44
