business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
STRUCPATH,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 86065 83429,N/A,5.0,1.0,"One Way Junction, Muvattupuzha, Keralam 686673",686661,9.992595399999999,76.5865369,ChIJz86_N_XnBzsRb8EO7vSdnHM,https://www.google.com/maps/place/?q=place_id:ChIJz86_N_XnBzsRb8EO7vSdnHM,part_302,2026-09-20 20:32:02
Malikayil House,Property Developers,Housing development,Housing development,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,5.0,1.0,"XHMF+GM2, Kavitha Road, Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.9834382,76.5735456,ChIJfWQ6OADdBzsRwvJp60b-cVM,https://www.google.com/maps/place/?q=place_id:ChIJfWQ6OADdBzsRwvJp60b-cVM,part_302,2026-09-20 20:32:02
Kannathottathil House,Property Developers,Housing development,Housing development,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,5.0,1.0,"XJC5+4M7, Anicadu, Muvattupuzha, Keralam 686661",Anicadu,9.970261899999999,76.6091161,ChIJL63KeQDdBzsRwCmeKFYfEII,https://www.google.com/maps/place/?q=place_id:ChIJL63KeQDdBzsRwCmeKFYfEII,part_302,2026-09-20 20:32:02
Plamoottil House,Property Developers,Housing society,Housing society,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,5.0,1.0,"XHGX+R63, Kizhakkekara, Muvattupuzha, Keralam 686661",Kizhakkekara,9.976944099999999,76.597993,ChIJGU-3DwDdBzsRBCQI0j7j1Hk,https://www.google.com/maps/place/?q=place_id:ChIJGU-3DwDdBzsRBCQI0j7j1Hk,part_302,2026-09-20 20:32:02
Primeline builders and interiors PVT. LTD.,Property Developers,Corporate office,Corporate office,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,5.0,6.0,"Marian square, kavumpady road, Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.979728099999999,76.58179109999999,ChIJIw7p1FPdBzsRz6XJR7kozs4,https://www.google.com/maps/place/?q=place_id:ChIJIw7p1FPdBzsRz6XJR7kozs4,part_302,2026-09-20 20:32:02
Petta,Property Developers,Housing development,Housing development,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,,,"221Hussain Building, 21, Vandipetta Rd, Thottumkalpeedika, Muvattupuzha, Kerala 686661",Thottumkalpeedika,9.9771015,76.5831017,ChIJMazOCQDdBzsRzL1W8TrEHjA,https://www.google.com/maps/place/?q=place_id:ChIJMazOCQDdBzsRzL1W8TrEHjA,part_302,2026-09-20 20:32:02
RAISE DREAM HOMES AND BUILDERS PVT LTD,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 79944 73577,https://businessthere.com/raise-dream-home,4.8,,"Fl II, North Avenue Building, 67/1097, Paramara Rd, Ernakulam North, Kacheripady, Ernakulam, Keralam 682018","Ernakulam North, Kacheripady",9.9888581,76.2854104,ChIJi8PLkZgNCDsRi62qjh4Waew,https://www.google.com/maps/place/?q=place_id:ChIJi8PLkZgNCDsRi62qjh4Waew,part_302,2026-09-20 20:32:03
Nanma EASTFORT,Property Developers,Apartment building,Apartment building,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 484 716 1176,http://www.nanmaconstruct.com/,4.8,,"XH8G+7X8, ഉന്നകുപ്പ, Thottumkalpeedika, Muvattupuzha, Keralam 686673",Thottumkalpeedika,9.9656707,76.57745539999999,ChIJkfh3_ATdBzsR_FlR1v5TroQ,https://www.google.com/maps/place/?q=place_id:ChIJkfh3_ATdBzsR_FlR1v5TroQ,part_302,2026-09-20 20:32:03
BIMEX Engineers,Property Developers,Engineering consultant,Engineering consultant,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 81293 21656,https://bimexeng.com/,4.4,,"Pulinattu Properties, MC Road Market P.O, Velloorkunnam, Muvattupuzha, Kochi, Keralam 686673",686661,9.9929439,76.573847,ChIJj42uPYsMCDsR4cYArQIF9vc,https://www.google.com/maps/place/?q=place_id:ChIJj42uPYsMCDsR4cYArQIF9vc,part_302,2026-09-20 20:32:03
iDFix Lemongrass Villa,Property Developers,Villa,"Villa, Residents association",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,4.5,,"1, YMCA Rd, Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.9775757,76.5689165,ChIJGwZkIkvdBzsR5QAEjeNERLI,https://www.google.com/maps/place/?q=place_id:ChIJGwZkIkvdBzsR5QAEjeNERLI,part_302,2026-09-20 20:32:03
Ascon Apartments,Property Developers,Apartment building,Apartment building,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,4.3,3.0,"XHWW+GC9, Perumattom, Muvattupuzha, Keralam 686673",Perumattom,9.996298099999999,76.5961231,ChIJeXv_XiznBzsRkH-KRxuIG_U,https://www.google.com/maps/place/?q=place_id:ChIJeXv_XiznBzsRkH-KRxuIG_U,part_302,2026-09-20 20:32:04
Leewood Builders,Property Developers,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architecture firm, Interior designer",686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 86066 66116,https://leewoodbuilders.com/,4.7,19.0,"X975+842, Irumpanam, Thrippunithura, Kochi, Ernakulam, Keralam 682309","Irumpanam, Thrippunithura",9.9631863,76.3578594,ChIJYRmlKVpzCDsRn428JInO1K8,https://www.google.com/maps/place/?q=place_id:ChIJYRmlKVpzCDsRn428JInO1K8,part_302,2026-09-20 20:32:04
Noel Villas and Apartments,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,+91 484 287 0800,http://www.noelprojects.com/,4.4,384.0,"Civil Line Rd, Kunnumpuram, Vazhakkala, Kakkanad, Keralam 682021","Kunnumpuram, Vazhakkala",10.0154202,76.3356702,ChIJnS_MPPQMCDsRm-jFKEcXjCM,https://www.google.com/maps/place/?q=place_id:ChIJnS_MPPQMCDsRm-jFKEcXjCM,part_302,2026-09-20 20:32:04
Babu m varghese,Property Developers,Housing society,Housing society,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,,,"686661, KT Jacob Nagar, Thottumkalpeedika, Muvattupuzha, Keralam 686661","KT Jacob Nagar, Thottumkalpeedika",9.9745603,76.571946,ChIJPS2WtGHdBzsRzNq2ddk_sRM,https://www.google.com/maps/place/?q=place_id:ChIJPS2WtGHdBzsRzNq2ddk_sRM,part_302,2026-09-20 20:32:04
Sajeev mathew and Company Engineers and Contractors,Property Developers,Corporate office,Corporate office,686661,Kerala Circle,Kochi Region,Alwaye Division,Muvattupuzha HO,N/A,N/A,1.0,1.0,"XHHJ+C89, Thottumkalpeedika, Muvattupuzha, Keralam 686661",Thottumkalpeedika,9.9785413,76.58088719999999,ChIJmdqlfqrdBzsRZidmXREnzXY,https://www.google.com/maps/place/?q=place_id:ChIJmdqlfqrdBzsRZidmXREnzXY,part_302,2026-09-20 20:32:04
