business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vijnan Academy - Tuition Classes,Computer Training Institute,Education center,Education center,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 98464 22510,N/A,5.0,,"2nd floor, Savoi Complex, next to G-Tec Computer Education, Koothattukulam, Kerala 686662",686662,9.8611241,76.59546069999999,ChIJKTpP2f3bBzsRUD0Dgh_qrNg,https://www.google.com/maps/place/?q=place_id:ChIJKTpP2f3bBzsRUD0Dgh_qrNg,part_302,2026-09-20 20:32:34
Mentor Engineering College,Computer Training Institute,Engineering school,"Engineering school, Engineering consultant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 94959 55111,http://mentorcolleges.com/,4.3,,"WHJ3+9PQ, P. O, Mannathoor, Kochi, Keralam 686667",P. O,9.930937499999999,76.5543125,ChIJeTCdpYbdBzsR45_a9NENvys,https://www.google.com/maps/place/?q=place_id:ChIJeTCdpYbdBzsR45_a9NENvys,part_302,2026-09-20 20:32:34
Perpex Innovations LLP,Computer Training Institute,Software company,"Software company, Service establishment",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",N/A,https://perpex.org/,4.8,,"Perpex Innovations LLP, 686662, India",686662,10.008816,76.35068079999999,ChIJHwKGkl14VykRdnGxHndHXWo,https://www.google.com/maps/place/?q=place_id:ChIJHwKGkl14VykRdnGxHndHXWo,part_302,2026-09-20 20:32:34
"TECHNOLODGE, PIRAVOM",Computer Training Institute,Technology park,"Technology park, Business center, Computer support and services, Coworking space, Office space rental agency, Software company, Virtual office rental",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 62354 63768,http://www.technolodge.org/,4.0,,"Kakkoor, Piravom, Keralam 686662",686662,9.895977499999999,76.5340816,ChIJtbsW1EzZBzsRlw1R90sJQy0,https://www.google.com/maps/place/?q=place_id:ChIJtbsW1EzZBzsRlw1R90sJQy0,part_302,2026-09-20 20:32:34
Mookambika Technical Campus,Computer Training Institute,College,College,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 485 287 6300,http://www.soamtc.org/,3.2,,"P O, Kalappara Road, Ambika Nagar, Mannathoor, Muvattupuzha, Keralam 686667",Ambika Nagar,9.930665699999999,76.55381799999999,ChIJu4YklCjcBzsRZe7eDeWUt1o,https://www.google.com/maps/place/?q=place_id:ChIJu4YklCjcBzsRZe7eDeWUt1o,part_302,2026-09-20 20:32:34
Infoline Computer Education,Computer Training Institute,Computer training school,Computer training school,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 94477 01197,N/A,4.5,,"Koothattukulam, Keralam 686662",686662,9.8647291,76.5969107,ChIJ6XWluAfbBzsRdCXSQ768cbY,https://www.google.com/maps/place/?q=place_id:ChIJ6XWluAfbBzsRdCXSQ768cbY,part_302,2026-09-20 20:32:34
"Chinmaya Vishwa Vidyapeeth - Global Campus, Piravom",Computer Training Institute,University,University,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 1800 270 4888,http://cvv.ac.in/,4.2,,"Anthiyal-Onakkoor Road, Keralam 686667",686662,9.8826504,76.5256581,ChIJ1TcjviTZBzsR28t_nLujCAk,https://www.google.com/maps/place/?q=place_id:ChIJ1TcjviTZBzsR28t_nLujCAk,part_302,2026-09-20 20:32:34
X'Mations Consultation & Technologies,Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 81119 91427,https://sites.google.com/view/x-mations-technologies/home,4.6,,"2 nd Floor Srambickal Pallathitta Complex Mulanthururuthy, Mulanthuruthy, Kerala 682314",Pallithazham,9.9009811,76.38455309999999,ChIJX1KXKBh0CDsR8nRRvt6ygwE,https://www.google.com/maps/place/?q=place_id:ChIJX1KXKBh0CDsR8nRRvt6ygwE,part_302,2026-09-20 20:32:34
"MGM College of Engineering and Technology, Pampakuda , Eranakulam",Computer Training Institute,Engineering school,Engineering school,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 485 227 4455,http://www.mgmcet.ac.in/,3.6,,"WGPH+72J, Pampakuda, Memury, Keralam 686667",686662,9.9357125,76.5275156,ChIJ3c3kWIveBzsR8ZYJNO9eWGw,https://www.google.com/maps/place/?q=place_id:ChIJ3c3kWIveBzsR8ZYJNO9eWGw,part_302,2026-09-20 20:32:34
Techmindz,Computer Training Institute,Software Training Institute,"Software Training Institute, Coaching Center",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 73061 10530,https://www.techmindz.com/,4.7,2059.0,"Carnival Infopark Phase I, Infopark Rd, Infopark Campus, Kochi, Kakkanad, Keralam 682042",Infopark Campus,10.0142267,76.36360599999999,ChIJFxJSgjsLCDsRO8UbkrtWISk,https://www.google.com/maps/place/?q=place_id:ChIJFxJSgjsLCDsRO8UbkrtWISk,part_302,2026-09-20 20:32:34
