business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anand Bhavan,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 90614 94000,N/A,3.8,,"North, Kuthattukulam, Palakuzha, Keralam 686662",686662,9.8999916,76.5875042,ChIJRWjZ6njcBzsRMOfQq8xmQqc,https://www.google.com/maps/place/?q=place_id:ChIJRWjZ6njcBzsRMOfQq8xmQqc,part_302,2026-09-20 20:32:12
Salt and pepper family restaurant,Pure Veg Restaurant,Indian restaurant,Indian restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",N/A,N/A,3.9,,"WH2P+GXR, MC Rd, Kerala 686662",686662,9.9013683,76.5873795,ChIJme_dDYbdBzsR4sWQkvRI0bo,https://www.google.com/maps/place/?q=place_id:ChIJme_dDYbdBzsR4sWQkvRI0bo,part_302,2026-09-20 20:32:12
Hotel Anand,Pure Veg Restaurant,Restaurant,Restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 62389 74849,N/A,3.9,,"Koothattukulam, Keralam 686662",686662,9.8614483,76.5963642,ChIJQ3iwRwfbBzsR01tkduVeAuE,https://www.google.com/maps/place/?q=place_id:ChIJQ3iwRwfbBzsR01tkduVeAuE,part_302,2026-09-20 20:32:12
Dwaraka,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 86064 96997,N/A,3.9,,"Vazhakulam, Keralam 686670",686662,9.944752,76.6388484,ChIJ7ebShSrdBzsREkc9prM7Le0,https://www.google.com/maps/place/?q=place_id:ChIJ7ebShSrdBzsREkc9prM7Le0,part_302,2026-09-20 20:32:12
Kazhichaalo? Family Restaurant,Pure Veg Restaurant,Kerala restaurant,Kerala restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 89218 76640,N/A,4.9,,"East Marady, Muvattupuzha, Keralam 686673",East Marady,9.941509199999999,76.575936,ChIJ3b6YLQbdBzsRyTh-NwbGAxs,https://www.google.com/maps/place/?q=place_id:ChIJ3b6YLQbdBzsRyTh-NwbGAxs,part_302,2026-09-20 20:32:12
Sri Vinayak Udupi Veg Hotel,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 87145 14599,N/A,3.8,,"Ground Floor, Mangalam North End Block A, Next to Sicilia Hotel, Opp to S Mart Hyper Market, SH 33, Thodupuzha - Moolamattom Rd, Thodupuzha, Keralam 685584",686662,9.8941838,76.71458319999999,ChIJJ_AS0X_FBzsRf9f_caQaPwg,https://www.google.com/maps/place/?q=place_id:ChIJJ_AS0X_FBzsRf9f_caQaPwg,part_302,2026-09-20 20:32:12
Hotel Sri Vinayak,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, Lunch restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 75106 80680,N/A,4.1,,"River View Rd, Thodupuzha, Keralam 685584",686662,9.8972223,76.7099199,ChIJrWJ4T3PEBzsRbxA8Unf2kPM,https://www.google.com/maps/place/?q=place_id:ChIJrWJ4T3PEBzsRbxA8Unf2kPM,part_302,2026-09-20 20:32:12
"Green Spoon, Pure Veg Haven",Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Continental restaurant, Italian restaurant, North Indian restaurant, Restaurant, Vegan restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 484 452 5485,N/A,4.5,4618.0,"Metro Station, 810, Sahodaran Ayyappan Rd, opposite Metro Pillar no, near Elamkulam, Elamkulam, Kochi, Ernakulam, Keralam 682020",Elamkulam,9.9679249,76.30478509999999,ChIJ67A1nhZzCDsRZn1ux4O62po,https://www.google.com/maps/place/?q=place_id:ChIJ67A1nhZzCDsRZn1ux4O62po,part_302,2026-09-20 20:32:13
Brindhavan Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant, Restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 95677 66366,http://www.brindhavan.in/,4.4,19987.0,"43/3075, 43/3075, NH 66, near Hotel Rock Rose, Chakkalakkal, Palarivattom, Kochi, Keralam 682025","Chakkalakkal, Palarivattom",9.9955348,76.31430979999999,ChIJySjqyyENCDsR3Wd8cGmfYd4,https://www.google.com/maps/place/?q=place_id:ChIJySjqyyENCDsR3Wd8cGmfYd4,part_302,2026-09-20 20:32:13
Vinitha Restaurant (വിനീത റെസ്റ്റോറന്റ്),Pure Veg Restaurant,South Indian restaurant,"South Indian restaurant, Chinese restaurant, Juice shop, North Indian restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 96455 20399,N/A,4.3,243.0,"SH 1, near BSNL and Police Station, Perumbavoor, Keralam 683542",686662,10.1153329,76.4774116,ChIJoegSHYviBzsRcKz1z8rnWOM,https://www.google.com/maps/place/?q=place_id:ChIJoegSHYviBzsRcKz1z8rnWOM,part_302,2026-09-20 20:32:13
Hotel Udupi Bhavan,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 75610 33228,N/A,4.3,5252.0,"NH 49, Angady, Kothamangalam, Keralam 686691",Angady,10.0638651,76.6268944,ChIJKWA7Kw7mBzsRii5oFN8BU2Q,https://www.google.com/maps/place/?q=place_id:ChIJKWA7Kw7mBzsRii5oFN8BU2Q,part_302,2026-09-20 20:32:13
Coriander Vegetarian Restaurant,Pure Veg Restaurant,North Indian restaurant,North Indian restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 92073 79505,N/A,4.7,706.0,"1/754A, Napier Street, Fort Kochi, Kochi, Keralam 682001",Fort Kochi,9.964319999999999,76.2390952,ChIJr1E7kpVtCDsRl5VXmmKz4NM,https://www.google.com/maps/place/?q=place_id:ChIJr1E7kpVtCDsRl5VXmmKz4NM,part_302,2026-09-20 20:32:13
Brindhavan Vegetarian Restaurant - Edappally,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 90379 87930,https://brindhavan.in/,4.5,,"Metro Pillar No. 447, opposite Post Office, Bank Junction, Mamangalam, Edappally, Kochi, Ernakulam, Keralam 682024","Bank Junction, Mamangalam, Edappally",10.0183695,76.3044001,ChIJOw21TgANCDsRGGmAciP0Mqk,https://www.google.com/maps/place/?q=place_id:ChIJOw21TgANCDsRGGmAciP0Mqk,part_302,2026-09-20 20:32:14
Hotel New Aryas(Pure Veg),Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant",686662,Kerala Circle,Kochi Region,Alwaye Division,"Koothattukulam SO, Edayar BO, Kakkoor BO",+91 75929 48269,https://hotelnewaryaspureveg.shop/,3.6,,"38XW+GX9, NH 544, Pulinchode Junction, Kunnathery Thikavu, Aluva, Keralam 683101","Pulinchode Junction, Kunnathery Thikavu",10.0987795,76.3474906,ChIJgVLUddsOCDsRENheNNXiXaY,https://www.google.com/maps/place/?q=place_id:ChIJgVLUddsOCDsRENheNNXiXaY,part_302,2026-09-20 20:32:14
