business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mannath Boutique,Boutiques,Boutique,"Boutique, Designer Clothing Store",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 99957 97222,https://houseofmannath.com/,3.6,287.0,"Kolaare Estate, Geethanjali Junction, N H Bypass, Vytilla, Cochin - 682032, Near Holiday Inn Hotel, Kochi, Keralam 682032","Chalikkavattom, Vennala",9.9851098,76.3165867,ChIJm4rLA8dyCDsRpARahpXdo4E,https://www.google.com/maps/place/?q=place_id:ChIJm4rLA8dyCDsRpARahpXdo4E,part_302,2026-09-20 20:32:54
Sashays by Joice,Boutiques,Boutique,Boutique,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,5.0,23.0,"Kadayiruppu, Aikaranad North, Keralam 682311",686663,9.997139299999999,76.4620928,ChIJ5aMybs3hBzsROmrEf983X2g,https://www.google.com/maps/place/?q=place_id:ChIJ5aMybs3hBzsROmrEf983X2g,part_302,2026-09-20 20:32:55
Springs the Boutique,Boutiques,Boutique,Boutique,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 94473 29640,N/A,4.7,13.0,"Vandipetta, Thiruvaniyoor, Keralam 682305",Vandipetta,9.9419909,76.41019899999999,ChIJXfmZdQJ1CDsRBccCbTeRJu4,https://www.google.com/maps/place/?q=place_id:ChIJXfmZdQJ1CDsRBccCbTeRJu4,part_302,2026-09-20 20:32:55
Silkins,Boutiques,Women's clothing store,"Women's clothing store, Boutique, Fashion designer, Tailor",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,http://silkinskalady.in/,5.0,48.0,"7, KK lodge building, near university back side gate, Kalady Malayattoor Road, Kalady, Keralam 683574",Thalayattumpilli,10.1683942,76.4410311,ChIJs9hgNX4HCDsRjdpodSboYTk,https://www.google.com/maps/place/?q=place_id:ChIJs9hgNX4HCDsRjdpodSboYTk,part_302,2026-09-20 20:32:55
Thaara Designer Boutique,Boutiques,Boutique,Boutique,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 81299 37280,N/A,5.0,1.0,"Thevalakatu Building, Kanjiramattom Rd, Milungal Junction, Ernakulam, Keralam 682314",Milungal Junction,9.912742699999999,76.3951992,ChIJJZVwctR1CDsR8CbKrCoiovQ,https://www.google.com/maps/place/?q=place_id:ChIJJZVwctR1CDsR8CbKrCoiovQ,part_302,2026-09-20 20:32:55
Tharang Boutique,Boutiques,Boutique,Boutique,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,3.7,,"XFJ9+R55, Kolenchery, Aikaranad South, Keralam 682311",686663,9.9820114,76.46797819999999,ChIJ-fWKCQjgBzsRT3y2wLJ0h3Q,https://www.google.com/maps/place/?q=place_id:ChIJ-fWKCQjgBzsRT3y2wLJ0h3Q,part_302,2026-09-20 20:32:55
Dilans Boutique,Boutiques,Boutique,Boutique,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 89181 28304,N/A,4.9,,"16/541, Muppathadam Rd, Muppathadom, Kadungalloor, Kochi, Keralam 683110","Muppathadom, Kadungalloor",10.0901131,76.3164855,ChIJsTPZ6WoPCDsRe29xFLpjA84,https://www.google.com/maps/place/?q=place_id:ChIJsTPZ6WoPCDsRe29xFLpjA84,part_302,2026-09-20 20:32:55
EDAYAN COLLECTIONS,Boutiques,Dress store,Dress store,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,5.0,,"EDAYAN COLLECTIONS TEXTILE, p.o, Ramamangalam, Keralam 686663",p.o,9.940174899999999,76.4767246,ChIJb_ANPSHfBzsR3TUlFLramvs,https://www.google.com/maps/place/?q=place_id:ChIJb_ANPSHfBzsR3TUlFLramvs,part_302,2026-09-20 20:32:55
Kilol Cochin Presented by Threads Clasilks,Boutiques,Boutique,"Boutique, Clothes and fabric manufacturer, Clothing store, Custom tailor, Designer Clothing Store, Dress store, Clothing Accessories Store, Formal Clothing Store, Haute couture fashion house, Women's clothing store",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 85477 10762,https://www.instagram.com/threadsclasilks/,4.6,,"G-113, 3rd Cross Rd, street C, Panampilly Nagar, Kochi, Ernakulam, Keralam 682036","street C, Panampilly Nagar",9.9636236,76.29740319999999,ChIJb4eBucdyCDsR7XEMujm5ols,https://www.google.com/maps/place/?q=place_id:ChIJb4eBucdyCDsR7XEMujm5ols,part_302,2026-09-20 20:32:56
Made by Kirthi,Boutiques,Boutique,"Boutique, Custom tailor, Dressmaker, Embroidery shop, Fabric store",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,https://kirthiboutiquevibes.lovable.app/,4.6,,"Sy. No. 717, KV-37, 7, 7th Cross Road, KV Nagar, Panampilly Nagar, Kochi, Ernakulam, Keralam 682036","KV Nagar, Panampilly Nagar",9.9617598,76.2972158,ChIJZQQdJgBzCDsRJTW3iFA1ub8,https://www.google.com/maps/place/?q=place_id:ChIJZQQdJgBzCDsRJTW3iFA1ub8,part_302,2026-09-20 20:32:56
