business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Daily fish,Fish Market,Fish store,Fish store,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 90200 22220,http://www.wildfish.in/,4.3,,"XFH9+XJ, Kochi - Madurai - Tondi Pt Rd, Aikaranad South, Kolenchery, Keralam 682311",686663,9.9799375,76.46906249999999,ChIJcVxh0U_fBzsRZtYQ6qScuts,https://www.google.com/maps/place/?q=place_id:ChIJcVxh0U_fBzsRZtYQ6qScuts,part_302,2026-09-20 20:32:48
MATHA FISH HUB - LINTU,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,5.0,,"NA, Old Bridge Rd (Onakkoor Palam), Onakkoor, Kerala 686667",686663,9.894985,76.5127267,ChIJs1TWXmHZBzsRft-cMGf35Rc,https://www.google.com/maps/place/?q=place_id:ChIJs1TWXmHZBzsRft-cMGf35Rc,part_302,2026-09-20 20:32:48
AB Fish Stall,Fish Market,Fish store,Fish store,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 99616 31167,N/A,4.0,,"Valakom, Keralam 682316",686663,9.9813133,76.5202012,ChIJ76yeEcjfBzsRxaGwe-DYERc,https://www.google.com/maps/place/?q=place_id:ChIJ76yeEcjfBzsRxaGwe-DYERc,part_302,2026-09-20 20:32:48
FISH HUB,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 98471 30495,N/A,5.0,,"Fish Hub, NA, Moovattupuzha Piravom Road, Onakkoor, Kerala 686667",686663,9.8925044,76.5134135,ChIJtxz-AwXZBzsRKo73ERaxVZI,https://www.google.com/maps/place/?q=place_id:ChIJtxz-AwXZBzsRKo73ERaxVZI,part_302,2026-09-20 20:32:48
Daily fresh fish Thiruvankulam,Fish Market,Seafood market,Seafood market,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,5.0,,"Via cheruvullil Rd and Bypass Rd, Rd, Chottanikkara, Thiruvankulam, Kochi, Keralam 682305","Rd, Chottanikkara",9.9329483,76.3820278,ChIJMzlHZgB1CDsR9PcSc2SD0Js,https://www.google.com/maps/place/?q=place_id:ChIJMzlHZgB1CDsR9PcSc2SD0Js,part_302,2026-09-20 20:32:48
PRIME CUTS fish,Fish Market,Fish & chips restaurant,Fish & chips restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,5.0,,"XF7H+8W8, Aikaranad South, Keralam 682311",686663,9.9632904,76.4798236,ChIJgSwIYADfBzsRIAIKNVHFgBY,https://www.google.com/maps/place/?q=place_id:ChIJgSwIYADfBzsRIAIKNVHFgBY,part_302,2026-09-20 20:32:48
Wild Fish,Fish Market,Seafood wholesaler,Seafood wholesaler,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 80866 11666,http://wildfish.in/,4.0,246.0,"Moulana Azad Rd, Karuvelipady, Chullickal, Kochi, Keralam 682005","Karuvelipady, Chullickal",9.9450568,76.2581259,ChIJyVzhxWhtCDsRJGxhAhPAXw0,https://www.google.com/maps/place/?q=place_id:ChIJyVzhxWhtCDsRJGxhAhPAXw0,part_302,2026-09-20 20:32:48
Arya Fishes,Fish Market,Seafood market,Seafood market,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,4.3,68.0,"36Q5+68J, Edavanakkad, Nayarambalam, Kochi, Keralam 682502","Edavanakkad, Nayarambalam",10.0882334,76.2084303,ChIJ77SEi80RCDsRcZ6RzDgLdTI,https://www.google.com/maps/place/?q=place_id:ChIJ77SEi80RCDsRcZ6RzDgLdTI,part_302,2026-09-20 20:32:48
THEERAM FISH STALL,Fish Market,Seafood market,Seafood market,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 96334 32010,N/A,5.0,6.0,"55G8+7MR, Cherai Beach - Munambam Rd, Munambam, Kuzhuppilly, Kochi, Keralam 683515",Munambam,10.1757373,76.1666472,ChIJM_hAo1AZCDsRBxu217lbO6o,https://www.google.com/maps/place/?q=place_id:ChIJM_hAo1AZCDsRBxu217lbO6o,part_302,2026-09-20 20:32:48
Chambakkara Market,Fish Market,Seafood market,"Seafood market, Tropical fish store",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,4.0,,"Chambakkara - Kannadikadu Rd, Chambakkara, Upasana Nagar, Maradu, Kochi, Ernakulam, Keralam 682038","Chambakkara, Upasana Nagar, Maradu",9.955958899999999,76.32749439999999,ChIJlW_i5yJzCDsR6SgxBfyRnvU,https://www.google.com/maps/place/?q=place_id:ChIJlW_i5yJzCDsR6SgxBfyRnvU,part_302,2026-09-20 20:32:49
Chettibhagam Market,Fish Market,Seafood market,Seafood market,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",N/A,N/A,4.3,,"Chettibhagam Market Rd, Chettibhagam, Varapuzha, Keralam 683517",Chettibhagam,10.0784655,76.2708617,ChIJA1aO2uERCDsRVHSHQY1B2fA,https://www.google.com/maps/place/?q=place_id:ChIJA1aO2uERCDsRVHSHQY1B2fA,part_302,2026-09-20 20:32:49
