business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lemons Ice Berg,Restaurant Chains,Barbecue restaurant,Barbecue restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 485 224 3655,N/A,4.2,,"KWA Cheriya Pally Rd, Pallikavala, Piravom, Keralam 686664",Pallikavala,9.877114899999999,76.4879906,ChIJw3ZbnMPYBzsR_SKwuONYH68,https://www.google.com/maps/place/?q=place_id:ChIJw3ZbnMPYBzsR_SKwuONYH68,part_302,2026-09-20 20:32:51
DC Kitchen,Restaurant Chains,Family restaurant,Family restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 98478 81266,N/A,4.4,,"3M53+F74, Kuthukuzhy, Kothamangalam, Keralam 686691",Kuthukuzhy,10.0586281,76.6532012,ChIJt9yTRwDpBzsRF5w3Jz6UT_Y,https://www.google.com/maps/place/?q=place_id:ChIJt9yTRwDpBzsRF5w3Jz6UT_Y,part_302,2026-09-20 20:32:51
Rice Boat,Restaurant Chains,Seafood restaurant,Seafood restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 484 664 3000,https://www.tajhotels.com/en-in/hotels/taj-malabar-cochin/restaurants/the-rice-boat?utm_source=google&utm_medium=local&utm_campaign=taj-malabar-cochin-the-rice-boat,4.6,880.0,"Taj Malabar Resort & Spa, Indira Gandhi Rd, Willingdon Island, Kochi, Keralam 682009",Willingdon Island,9.9687392,76.2582469,ChIJU5X0kE1tCDsRmKL4DcQIHVM,https://www.google.com/maps/place/?q=place_id:ChIJU5X0kE1tCDsRmKL4DcQIHVM,part_302,2026-09-20 20:32:52
Calicut Wyte House,Restaurant Chains,Chinese restaurant,Chinese restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 62823 41773,N/A,3.7,1617.0,"4F9F+WQW, SH 1, Perumbavoor, Keralam 683542",686663,10.1193903,76.4746661,ChIJY-8ndZ_jBzsRpNWNQpCbxFw,https://www.google.com/maps/place/?q=place_id:ChIJY-8ndZ_jBzsRpNWNQpCbxFw,part_302,2026-09-20 20:32:52
The Coconut Restaurant,Restaurant Chains,Restaurant,Restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 95443 43686,N/A,4.1,532.0,"Patham Mile, Kolenchery, Vadayampady, Keralam 682308",686663,9.9743827,76.4483948,ChIJl2QxAQB1CDsRImvHPEAWL4Y,https://www.google.com/maps/place/?q=place_id:ChIJl2QxAQB1CDsRImvHPEAWL4Y,part_302,2026-09-20 20:32:52
Momo land,Restaurant Chains,Lunch restaurant,"Lunch restaurant, Fast food restaurant",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 96336 68458,N/A,4.2,231.0,"Ground floor, KPK Tower, Kolenchery, Aikaranad South, Keralam 682311",686663,9.979524999999999,76.47040989999999,ChIJx-4CP4_fBzsR-nuNYhMcez4,https://www.google.com/maps/place/?q=place_id:ChIJx-4CP4_fBzsR-nuNYhMcez4,part_302,2026-09-20 20:32:52
Kannimanga Restaurant,Restaurant Chains,Kerala restaurant,"Kerala restaurant, Biryani restaurant, Indian restaurant",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 94479 44822,N/A,3.8,545.0,"Puthenkurish, Kochi, Keralam 682308",Puthenkurish,9.9708996,76.4255132,ChIJMZkE4zB1CDsRy5THiaDhKwc,https://www.google.com/maps/place/?q=place_id:ChIJMZkE4zB1CDsRy5THiaDhKwc,part_302,2026-09-20 20:32:52
Manthoppu Family Restaurant,Restaurant Chains,Kerala restaurant,"Kerala restaurant, Breakfast restaurant, Seafood restaurant",686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 96566 54499,N/A,3.9,1920.0,"State Highway 16, Munnar - Aluva Rd, Near, Kothamangalam, Keralam 686691",Near,10.0839049,76.5717281,ChIJ8xtl_xfkBzsR_ZaHIz7EaxY,https://www.google.com/maps/place/?q=place_id:ChIJ8xtl_xfkBzsR_ZaHIz7EaxY,part_302,2026-09-20 20:32:52
Al Zaad restaurant,Restaurant Chains,Middle Eastern restaurant,Middle Eastern restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 90488 07778,N/A,4.1,370.0,"A M Thomas Rd, Irumalappady, Kothamangalam, Eramalloor, Keralam 686691",Irumalappady,10.081885,76.57442429999999,ChIJ20VTgrjlBzsRUMolIhuaUXY,https://www.google.com/maps/place/?q=place_id:ChIJ20VTgrjlBzsRUMolIhuaUXY,part_302,2026-09-20 20:32:52
Chicking Kothamangalam,Restaurant Chains,Chicken restaurant,Chicken restaurant,686663,Kerala Circle,Kochi Region,Alwaye Division,"Ramamangalam SO, Kizhmuri BO, Mamalassery BO",+91 75940 60630,N/A,3.9,869.0,"Munnar - Aluva Rd, Eramalloor, Keralam 686691",686663,10.0693378,76.6026764,ChIJRX9HzjjnBzsRMlzzY-rA30M,https://www.google.com/maps/place/?q=place_id:ChIJRX9HzjjnBzsRMlzzY-rA30M,part_302,2026-09-20 20:32:52
