business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GIRI STORES,Provision Store,General store,General store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 92880 02266,N/A,4.6,13.0,"Kothamangalam, Keralam 686691",686666,10.0648881,76.6208544,ChIJBS5W56nnBzsRC8FW8ArqaBg,https://www.google.com/maps/place/?q=place_id:ChIJBS5W56nnBzsRC8FW8ArqaBg,part_302,2026-09-20 20:34:41
Kyron tradelines,Provision Store,Medical supply store,Medical supply store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,N/A,N/A,5.0,71.0,"Room xxx/700, anna shopping complex, Kothamangalam, Keralam 686691",686666,10.0477933,76.6121215,ChIJ5blLEQLnBzsRKnYDZzXtDG8,https://www.google.com/maps/place/?q=place_id:ChIJ5blLEQLnBzsRKnYDZzXtDG8,part_302,2026-09-20 20:34:41
Koottapalayil Stores,Provision Store,General store,General store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,N/A,N/A,5.0,3.0,"4J3P+Q2G, Pindimana, Keralam 686681",686666,10.104447799999999,76.63506339999999,ChIJ_QXRhl3lBzsRwsCogJfHO34,https://www.google.com/maps/place/?q=place_id:ChIJ_QXRhl3lBzsRwsCogJfHO34,part_302,2026-09-20 20:34:41
Nandhanam Photostat Centre,Provision Store,Educational supply store,Educational supply store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,N/A,N/A,4.7,24.0,"3J48+XMR, Kothamangalam, Keralam 686666",686666,10.057495399999999,76.6166353,ChIJU5nnZ2vmBzsRKU7exo3Kklo,https://www.google.com/maps/place/?q=place_id:ChIJU5nnZ2vmBzsRKU7exo3Kklo,part_302,2026-09-20 20:34:41
New Shop,Provision Store,Convenience store,Convenience store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 88281 07121,https://newshop.in/,4.9,180.0,"A-94,95, SHIV GAURI PLAZA, Akhaliya Vikas Yojana, Jodhpur, Rajasthan 342001",Akhaliya Vikas Yojana,26.2775681,72.99037,ChIJU-BvC_2PQTkRStAFuxO-zR4,https://www.google.com/maps/place/?q=place_id:ChIJU-BvC_2PQTkRStAFuxO-zR4,part_302,2026-09-20 20:34:41
Provision Store,Provision Store,Grocery store,Grocery store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,N/A,N/A,,,"Narpat Nagar, Ashok Nagar, Jodhpur, Jodhpur-South (M Corp.), Rajasthan 342003","Narpat Nagar, Ashok Nagar",26.264482899999997,72.98534029999999,ChIJrdXTbZmOQTkRUrYgMMkNLf8,https://www.google.com/maps/place/?q=place_id:ChIJrdXTbZmOQTkRUrYgMMkNLf8,part_302,2026-09-20 20:34:41
Hanuman Provision Store,Provision Store,General store,"General store, Produce market",686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 92145 44782,N/A,3.9,18.0,"824V+J28, Maha Mandir IInd Pol Mahamandir, Jodhpur, Rajasthan 342006","2nd Pol, Maha Mandir Area",26.3065364,73.042564,ChIJizBbiAmNQTkRFhotvS5cLJk,https://www.google.com/maps/place/?q=place_id:ChIJizBbiAmNQTkRFhotvS5cLJk,part_302,2026-09-20 20:34:41
Nelloor Home Shoppe,Provision Store,Electronics store,Electronics store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 82811 11222,http://www.nelloor.com/,4.8,,"Kala junction, Kothamangalam, Keralam 686691",686666,10.061075599999999,76.6184384,ChIJNyFT1BLmBzsRcVfp1cedSwA,https://www.google.com/maps/place/?q=place_id:ChIJNyFT1BLmBzsRcVfp1cedSwA,part_302,2026-09-20 20:34:42
"Purplle - Private Bus Stand, Kothamangalam",Provision Store,Cosmetics store,"Cosmetics store, Beautician, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Beauty supply store, Hair extensions supplier, Hair removal service, Health and beauty shop",686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 485 282 2070,https://www.purplle.com/,4.8,,"ZION Building, 30/711, Muvattupuzha Rd, Kothamangalam, Keralam 686691",686666,10.062090999999999,76.6199997,ChIJcwQVkNTnBzsRTPPdxzm0CbU,https://www.google.com/maps/place/?q=place_id:ChIJcwQVkNTnBzsRTPPdxzm0CbU,part_302,2026-09-20 20:34:42
Ceepees fresh,Provision Store,Hypermarket,"Hypermarket, Baby store, Bakery and Cake Shop, Boutique, Cell phone store, Food court, Grocery delivery service, Grocery store, Pen store, Sports Accessories Wholesaler",686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 484 430 0797,N/A,3.7,,"Indira junction, Padamughal, Kakkanad, Kochi, Keralam 682030",Padamughal,10.0094687,76.3336928,ChIJ072N2XQNCDsRIFVSJVTmmYM,https://www.google.com/maps/place/?q=place_id:ChIJ072N2XQNCDsRIFVSJVTmmYM,part_302,2026-09-20 20:34:42
Sreeram Provision Stores,Provision Store,Grocery store,Grocery store,686666,Kerala Circle,Kochi Region,Alwaye Division,Kothamangalam College SO,+91 80788 07066,N/A,4.7,,"Vazhuthoor, Neyyattinkara, Keralam 695121",Vazhuthoor,8.4100428,77.0844035,ChIJAXL73vavBTsROlzaXWl0pL8,https://www.google.com/maps/place/?q=place_id:ChIJAXL73vavBTsROlzaXWl0pL8,part_302,2026-09-20 20:34:42
