business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Baisil Boban Web Designer & Seo Specialist,SEO Agencies,Website designer,Website designer,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 80756 18489,https://digitlnomad.in/,5.0,2.0,"Door No 13, 286E, Sea View Ward, Alappuzha, Keralam 688012",Sea View Ward,9.493506499999999,76.31946599999999,ChIJaXnLR1aFCDsR__aGzkdJtgk,https://www.google.com/maps/place/?q=place_id:ChIJaXnLR1aFCDsR__aGzkdJtgk,part_302,2026-09-20 20:42:42
Future Looms,SEO Agencies,Software company,"Software company, Computer support and services, Website designer",688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 81296 11991,https://futurelooms.in/,5.0,7.0,"Jinu Nivas, PO, Thathampally, Alappuzha, Keralam 688013",Thathampally,9.5075671,76.3461568,ChIJ_7uuCh-FCDsRd3GYvPrOKqw,https://www.google.com/maps/place/?q=place_id:ChIJ_7uuCh-FCDsRd3GYvPrOKqw,part_302,2026-09-20 20:42:42
Mariam Hilal,SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment",688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 62356 34369,https://mariamhilal.com/,,,"Mariam Hilal, 688001, India",688001,10.134425799999999,76.179862,ChIJfwvY_eODY20R7-L14nfL_pY,https://www.google.com/maps/place/?q=place_id:ChIJfwvY_eODY20R7-L14nfL_pY,part_302,2026-09-20 20:42:42
3iLabs,SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment",688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",N/A,https://www.3ilabs.com/,,,"3iLabs, 688001, India",688001,10.5442763,76.1383668,ChIJWzmEl71Xg0oRzVB3kmMHZN0,https://www.google.com/maps/place/?q=place_id:ChIJWzmEl71Xg0oRzVB3kmMHZN0,part_302,2026-09-20 20:42:42
MiKaWebx,SEO Agencies,Website designer,Website designer,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",N/A,https://www.mikawebx.com/,,,"near Vadassery Church, Chungam, Alappuzha, Keralam 688011",Chungam,9.491574499999999,76.3468096,ChIJT_DY3mEpA4cRK5b2SZfENEk,https://www.google.com/maps/place/?q=place_id:ChIJT_DY3mEpA4cRK5b2SZfENEk,part_302,2026-09-20 20:42:42
The Minds,SEO Agencies,Website designer,Website designer,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 97440 02296,http://www.theminds.in/,4.9,129.0,"Kalavoor P O, Near, Aryad Block Office Road, Ward 23, Keralam 688522",Ward 23,9.5781003,76.3291266,ChIJkUmtWACHCDsR7MNmqC7tfnY,https://www.google.com/maps/place/?q=place_id:ChIJkUmtWACHCDsR7MNmqC7tfnY,part_302,2026-09-20 20:42:43
Reborn Adz,SEO Agencies,Advertising agency,Advertising agency,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 62823 75783,http://rebornadz.com/,4.9,39.0,"Pallathuruthy, Alappuzha, Keralam 688003",Pallathuruthy,9.4662088,76.3569955,ChIJ3WQPm5KFCDsRNQ6C7IizewY,https://www.google.com/maps/place/?q=place_id:ChIJ3WQPm5KFCDsRNQ6C7IizewY,part_302,2026-09-20 20:42:43
Harikrishnan Digital Marketing Freelancer,SEO Agencies,Marketing agency,Marketing agency,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 75106 62352,N/A,5.0,4.0,"G887+HP6, Alappuzha - Arthunkal - Cherthala, Thumpoly, Alappuzha, Keralam 688008",Thumpoly,9.5163231,76.3141452,ChIJZSsvBXuFCDsR5cMq76D__P4,https://www.google.com/maps/place/?q=place_id:ChIJZSsvBXuFCDsR5cMq76D__P4,part_302,2026-09-20 20:42:43
Akshaya V S | SEO & Digital Marketing Services,SEO Agencies,Internet marketing service,Internet marketing service,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 79070 65465,N/A,5.0,5.0,"Valiyaveedu, CMC 21, P. O, Cherthala, Cherthala South, Keralam 688524",P. O,9.6612642,76.3183261,ChIJyT8Pv_p9CDsROfIEtkMY8qg,https://www.google.com/maps/place/?q=place_id:ChIJyT8Pv_p9CDsROfIEtkMY8qg,part_302,2026-09-20 20:42:43
Infinity Sagax,SEO Agencies,Computer support and services,Computer support and services,688001,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha HO, Alappuzha Collectorate SO",+91 95396 00818,https://www.infinitysagax.in/,5.0,30.0,"House No.102/A MRA No.39, PO Pollethai, Mytri Nagar, Dwarka, Valavanadu, Alappuzha, Keralam 688522","Kanjikuzhy, Dwarka, Valavanadu",9.5994422,76.3251057,ChIJ18VyrgiHCDsR6D1G9GuwkMo,https://www.google.com/maps/place/?q=place_id:ChIJ18VyrgiHCDsR6D1G9GuwkMo,part_302,2026-09-20 20:42:43
