business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THOPPIL MEDICALS,24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,4.2,5,"Government Medical College Hospital, Vandanam, Kerala 688005",688002,9.410148,76.3509988,ChIJ2wCrPPWbCDsRv9VLpcZk-cE,https://www.google.com/maps/place/?q=place_id:ChIJ2wCrPPWbCDsRv9VLpcZk-cE,part_302,2026-09-20 20:43:11
Sapphire Pharmacy - 24 Hour Pharmacy in Gurgaon,24 Hour Pharmacy,Pharmacy,"Pharmacy, Medical equipment supplier, Medical transcription service, Orthopedic clinic, Pediatric clinic, Pharmaceutical Products Wholesaler, Skin care clinic",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 99714 40488,N/A,4.8,165,"Shaheed Major Vikas Yadav Marg, near krishna mandir, Jharsa, Sector 39, Gurugram, Haryana 122003","Jharsa, Sector 39",28.4454373,77.0485554,ChIJq7Zz2uYZDTkRCcnpQjdrzS8,https://www.google.com/maps/place/?q=place_id:ChIJq7Zz2uYZDTkRCcnpQjdrzS8,part_302,2026-09-20 20:43:11
davaindia GENERIC PHARMACY,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Health food store, Herbal medicine store, Medical supply store, Pharmaceutical company, Vitamin & supplements store",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 63582 70223,https://kaichoondijunction.davaindia.com/,5.0,1,"Door No.20, 216/B, Junction, Kaichoondi, Aryad South, Alappuzha, Kerala 688006",Kaichoondi,9.513558999999999,76.3379411,ChIJ99SZB5iFCDsRv5LTHaDKCV8,https://www.google.com/maps/place/?q=place_id:ChIJ99SZB5iFCDsRv5LTHaDKCV8,part_302,2026-09-20 20:43:11
Cherukara Drug House,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Medical supply store",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 97454 06463,N/A,4.8,32,"Shiny Abraham Rd, Chengannur, Keralam 689121",688002,9.3198226,76.6106926,ChIJZ4ZGHu8iBjsRz2YxSW2YAC0,https://www.google.com/maps/place/?q=place_id:ChIJZ4ZGHu8iBjsRz2YxSW2YAC0,part_302,2026-09-20 20:43:11
Bigfield Drug Links Thiruvalla,24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 91887 00928,N/A,3.0,1,"Chandakadav, Paliakkara Palace, TMC24/210 Thalappallil Buildings, Thiruvalla, Keralam 689101",688002,9.379183,76.56546879999999,ChIJ3-bQZwkkBjsRJ_EWZmfv-Hk,https://www.google.com/maps/place/?q=place_id:ChIJ3-bQZwkkBjsRJ_EWZmfv-Hk,part_302,2026-09-20 20:43:11
DEVI MEDICALS,24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,5.0,2,"Puthenkavil Temple, Bus Stop, Changanassery - Kaviyoor Rd, Keralam 686548",688002,9.4215957,76.5678137,ChIJz2kHvaslBjsRqWWMHubB2hs,https://www.google.com/maps/place/?q=place_id:ChIJz2kHvaslBjsRqWWMHubB2hs,part_302,2026-09-20 20:43:11
S D Pharmacy,24 Hour Pharmacy,Pharmacy,"Pharmacy, Alternative medicine practitioner",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,4.5,2,"FH64+3JP, Kurishumoodu, Changanassery, Keralam 686104",Kurishumoodu,9.460211,76.55656909999999,ChIJa6JG0PglBjsRlGAQ5WeZL2w,https://www.google.com/maps/place/?q=place_id:ChIJa6JG0PglBjsRlGAQ5WeZL2w,part_302,2026-09-20 20:43:11
ALLEN Medicals,24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 98470 98254,N/A,4.1,8,"Allen Medicals, Thiruvalla, Keralam 689111",688002,9.392909699999999,76.57774359999999,ChIJi9B74mskBjsRL3dFwt9HlgI,https://www.google.com/maps/place/?q=place_id:ChIJi9B74mskBjsRL3dFwt9HlgI,part_302,2026-09-20 20:43:11
"Southern Drug House, Thiruvalla",24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 80892 48470,N/A,4.4,42,"Thiruvalla, Keralam 689101",688002,9.384963299999999,76.5745499,ChIJQfD29HIkBjsR07BAjT3ON64,https://www.google.com/maps/place/?q=place_id:ChIJQfD29HIkBjsR07BAjT3ON64,part_302,2026-09-20 20:43:12
Daisy Medicals,24 Hour Pharmacy,Pharmacy,Pharmacy,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,3.0,1,"Palace Rd, Anantha Narayanapuram, Alappuzha, Keralam 688011",Anantha Narayanapuram,9.4903108,76.3396186,ChIJwwdGRPOECDsRXdC03GOZ1Bs,https://www.google.com/maps/place/?q=place_id:ChIJwwdGRPOECDsRXdC03GOZ1Bs,part_302,2026-09-20 20:43:13
