business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kerala Cricket Association Stadium,Sports Academy and Turf Ground,Stadium,Stadium,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 98765 45678,N/A,4.8,53.0,"F89R+MFG, Kalarcode Temple Rd, Kalarcode, Pazhaveedu, Paravur, Keralam 688003","Kalarcode, Pazhaveedu",9.4691903,76.3411936,ChIJr4ZrrriECDsR0u2_8perp6g,https://www.google.com/maps/place/?q=place_id:ChIJr4ZrrriECDsR0u2_8perp6g,part_302,2026-09-20 20:43:28
Soccer Maniac Football Turf and Football Coaching,Sports Academy and Turf Ground,Soccer practice,"Soccer practice, Soccer club",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 75940 15541,N/A,4.3,177.0,"Cemetery Rd, behind St Augustine church, Kizhakkambalam, Pazhanganad, Keralam 683562",Kizhakkambalam,10.043635199999999,76.3952278,ChIJWfg_m8cLCDsR3jnl-RNfduA,https://www.google.com/maps/place/?q=place_id:ChIJWfg_m8cLCDsR3jnl-RNfduA,part_302,2026-09-20 20:43:28
Play Space Turf,Sports Academy and Turf Ground,Sports school,Sports school,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 96336 26599,N/A,4.6,44.0,"Athipuzhi, saudi, cross Road, Moolamkuzhi, Kochi, Keralam 682507","Moolamkuzhi, Mundamveli",9.930763599999999,76.2488133,ChIJr__orUltCDsRMky1d9czdnI,https://www.google.com/maps/place/?q=place_id:ChIJr__orUltCDsRMky1d9czdnI,part_302,2026-09-20 20:43:28
22 Yards Home of Cricket,Sports Academy and Turf Ground,Cricket ground,Cricket ground,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 99958 21265,N/A,4.6,10.0,"Kacherimukku Junction, near Surya Hospital, Ambalapuzha, Keralam 688561",688002,9.384359,76.3578844,ChIJJVL4MRKbCDsRwieh3dfRDSs,https://www.google.com/maps/place/?q=place_id:ChIJJVL4MRKbCDsRwieh3dfRDSs,part_302,2026-09-20 20:43:28
Coimbatore Sports Academy & CSA Turf,Sports Academy and Turf Ground,Sports school,Sports school,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 91595 96960,http://coimbatoresportsacademy.com/,4.8,,"Bharath Petrol Bunk Back side, Somanur Rd, Karumathampatti, Tamil Nadu 641659",688002,11.1049542,77.1802678,ChIJG4rwWMX_qDsRI3EtKhGTL0A,https://www.google.com/maps/place/?q=place_id:ChIJG4rwWMX_qDsRI3EtKhGTL0A,part_302,2026-09-20 20:43:28
ATLANTIS Football Turf,Sports Academy and Turf Ground,Playground,Playground,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,http://www.playspots.in/,4.3,,"Mongam, Keralam 673642",688002,11.135769,76.0269476,ChIJAXZwTmJJpjsRO3TV51V49xo,https://www.google.com/maps/place/?q=place_id:ChIJAXZwTmJJpjsRO3TV51V49xo,part_302,2026-09-20 20:43:28
Medellin Sports City,Sports Academy and Turf Ground,Playground,Playground,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 85904 86300,https://zappoapp.com/venues/6954cb9cfed4cb6595e9e311,4.6,,"Sreekariyam - Aakkulam Rd, Bapuji Nagar, Cheruvaikkal, Thiruvananthapuram, Keralam 695017","Bapuji Nagar, Cheruvaikkal",8.540315699999999,76.9146202,ChIJHYWnRn2_BTsRS0NsXh2kwUA,https://www.google.com/maps/place/?q=place_id:ChIJHYWnRn2_BTsRS0NsXh2kwUA,part_302,2026-09-20 20:43:28
Roby's Turf Sporting Arena,Sports Academy and Turf Ground,Playground,Playground,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 90742 30730,http://www.robyssportingarena.com/,4.4,,"Kizhakken Muthoor, Keralam 689103",688002,9.4082831,76.58732619999999,ChIJy4rBY20lBjsR5ErGoaA5H7o,https://www.google.com/maps/place/?q=place_id:ChIJy4rBY20lBjsR5ErGoaA5H7o,part_302,2026-09-20 20:43:28
Turfwar India,Sports Academy and Turf Ground,Sports Association,"Sports Association, Coaching Center, Cricket ground, Football club, American football field, Futsal court, Indoor playground, Playground, Sports club",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 82200 08394,http://www.turfwarindia.in/,4.6,,"Bus stop, No-114/1 Before Seventh Day School, Kochadai, Madurai, Tamil Nadu 625016","Fenner Colony, Kochadai",9.940088399999999,78.07396849999999,ChIJiR7j4wfPADsRz76Cf7WMAkI,https://www.google.com/maps/place/?q=place_id:ChIJiR7j4wfPADsRz76Cf7WMAkI,part_302,2026-09-20 20:43:29
18 Yards Turf,Sports Academy and Turf Ground,Cricket ground,"Cricket ground, Playground",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 81398 91096,N/A,3.9,,"8J87+FFC, near Sky Jewellery, behind Reliance Mart, Chengannur, Keralam 689121",688002,9.3161875,76.6136875,ChIJqXIHU5kjBjsRq03ZvLLe6DQ,https://www.google.com/maps/place/?q=place_id:ChIJqXIHU5kjBjsRq03ZvLLe6DQ,part_302,2026-09-20 20:43:29
CORAL SPORTS AND INFRA PVT LTD,Sports Academy and Turf Ground,Turf supplier,Turf supplier,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 97461 97383,http://www.coralsports.in/,5.0,1.0,"Basement, Oberon Mall Parking, Padivattom, Edappally, Ernakulam, Kerala 682024","Padivattom, Edappally",10.0149724,76.3135386,ChIJaXOIHf0NCDsR2zdipiFQ0T8,https://www.google.com/maps/place/?q=place_id:ChIJaXOIHf0NCDsR2zdipiFQ0T8,part_302,2026-09-20 20:43:30
Free kick- Golden Turf,Sports Academy and Turf Ground,Playground,"Playground, Soccer field",688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,4.2,73.0,"near Ottappunna, Ottappunna, Jn, Cherthala, Kerala 688524","Ottappunna, Jn",9.6967815,76.3208519,ChIJ2d6YwZ19CDsRFtIlodVUm_c,https://www.google.com/maps/place/?q=place_id:ChIJ2d6YwZ19CDsRFtIlodVUm_c,part_302,2026-09-20 20:43:30
Playzone turf,Sports Academy and Turf Ground,Soccer field,Soccer field,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 98554 25262,N/A,4.4,112.0,"7G3V+H29, Old Mavelikkara, Mavelikara, Keralam 690101",Old Mavelikkara,9.2539219,76.5426161,ChIJw258xUYfBjsRAevnByu94BY,https://www.google.com/maps/place/?q=place_id:ChIJw258xUYfBjsRAevnByu94BY,part_302,2026-09-20 20:43:30
Jersey Multi Sports Turf,Sports Academy and Turf Ground,Soccer field,Soccer field,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",+91 80758 07037,N/A,4.6,79.0,"VP39+8QV, Thazham Thekku, Chathannoor, Keralam 691572",Thazham Thekku,8.8527121,76.7192865,ChIJv_TeWUTlBTsRiCak_vSoWwQ,https://www.google.com/maps/place/?q=place_id:ChIJv_TeWUTlBTsRiCak_vSoWwQ,part_302,2026-09-20 20:43:30
Football turf,Sports Academy and Turf Ground,Soccer field,Soccer field,688002,Kerala Circle,Kochi Region,Alleppey Division,"Thiruvampady Junction SO, Vattayal Ward BO",N/A,N/A,4.4,129.0,"FH7J+573, Madappally, Keralam 686546",688002,9.4628959,76.5806853,ChIJl0DSG04vBjsRJUWBE7t338g,https://www.google.com/maps/place/?q=place_id:ChIJl0DSG04vBjsRJUWBE7t338g,part_302,2026-09-20 20:43:30
