business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vaasudevam institute of performing arts,Music and Dance Academy,Dance school,Dance school,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",N/A,N/A,4.8,,"Satya sai samiti, Komana, Ambalapuzha, Kerala 688561",Komana,9.3798852,76.35869459999999,ChIJb5py32CbCDsRVXXcFrOi_NE,https://www.google.com/maps/place/?q=place_id:ChIJb5py32CbCDsRVXXcFrOi_NE,part_302,2026-09-20 20:45:16
Mohanam School of Music Ambalappuzha,Music and Dance Academy,Music instructor,Music instructor,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 97475 42348,N/A,5.0,,"West gate, Sree Krishna Swamy Temple, shop, opposite Reliance Trends, Ambalapuzha, Alleppey, Keralam 688561",688005,9.3831504,76.3647419,ChIJkR8lQm6dCDsRWQ06JyUtoI0,https://www.google.com/maps/place/?q=place_id:ChIJkR8lQm6dCDsRWQ06JyUtoI0,part_302,2026-09-20 20:45:16
MASTER'S DANCE ACADEMY,Music and Dance Academy,Dance company,Dance company,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 97469 16506,N/A,5.0,,"Puthuval, Karoor - Ambalapuzha Temple Rd, alappuzha, Ambalapuzha, Keralam 688561",688005,9.3707262,76.359146,ChIJc2PORkadCDsRWeVt18GIROI,https://www.google.com/maps/place/?q=place_id:ChIJc2PORkadCDsRWeVt18GIROI,part_302,2026-09-20 20:45:16
CHETTIKULANGARA AMMA SCHOOL OF MUSIC AND DANCE,Music and Dance Academy,Dance school,"Dance school, Music school, Music instructor, Musician, School",688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 70343 33052,https://www.facebook.com/share/1BpW1ruQh8/,4.9,,"KIZHAKE NADA, behind AMMA ALUMINIUM FABRICATION, Chettikulangara, Mavelikara, Keralam 690106",Chettikulangara,9.2274631,76.5234167,ChIJM4-26sEfBjsR-uGA_sy61Ps,https://www.google.com/maps/place/?q=place_id:ChIJM4-26sEfBjsR-uGA_sy61Ps,part_302,2026-09-20 20:45:16
Binoy Orchestra--music school and audio recording studio.,Music and Dance Academy,Music school,Music school,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 96560 95820,N/A,4.8,,"Ambalapuzha, Kakkazham, Keralam 688005",688005,9.3983954,76.36732409999999,ChIJ3crhHkmdCDsRNhOcVH_UInQ,https://www.google.com/maps/place/?q=place_id:ChIJ3crhHkmdCDsRNhOcVH_UInQ,part_302,2026-09-20 20:45:16
Rainbow Music School Thrikkunnapuzha,Music and Dance Academy,Music school,Music school,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 94951 18567,N/A,4.9,,"Junction, near Sree Dharmashasthra temple, Thrikkunnapuzha, Keralam 690515",688005,9.2588726,76.4107468,ChIJJeXjQE-hCDsRVSTGYdXqXKU,https://www.google.com/maps/place/?q=place_id:ChIJJeXjQE-hCDsRVSTGYdXqXKU,part_302,2026-09-20 20:45:16
Dhaksha school of Dance and art,Music and Dance Academy,Art studio,Art studio,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",N/A,N/A,5.0,,"99M5+7HR, Ambalapuzha, Keralam 688561",688005,9.383203499999999,76.3588583,ChIJv3J0oSabCDsREX9fNPSenec,https://www.google.com/maps/place/?q=place_id:ChIJv3J0oSabCDsREX9fNPSenec,part_302,2026-09-20 20:45:16
"Kalamandhir Academy of Music, Dance and Drawing & Band Aroha Musical Events",Music and Dance Academy,College,College,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 95444 88823,N/A,4.8,55.0,"Q449+884 Kalamandhir Academy of Music, Road, opposite Kerala State Co-Operative Bank, near Gayathri Designs, Puliyanmala, Kattappana, Keralam 685508",688005,9.756073899999999,77.11829279999999,ChIJT424p3qpBzsRKl3PSuJsSdo,https://www.google.com/maps/place/?q=place_id:ChIJT424p3qpBzsRKl3PSuJsSdo,part_302,2026-09-20 20:45:17
Grace Musicals,Music and Dance Academy,Musical instrument store,"Musical instrument store, Media house",688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",+91 93889 13844,N/A,4.3,,"perissery, chengannur, Ottappes - Ala Rd, alappy, Keralam 689126",688005,9.312234499999999,76.6043206,ChIJe_Ki7vIiBjsRa60myat-mnM,https://www.google.com/maps/place/?q=place_id:ChIJe_Ki7vIiBjsRa60myat-mnM,part_302,2026-09-20 20:45:18
SANGEETHA VIHAR MUSICALS,Music and Dance Academy,Musical instrument store,Musical instrument store,688005,Kerala Circle,Kochi Region,Alleppey Division,"Alappuzha Medical College SO, Kanjipadom BO, Vysombhagom BO",N/A,N/A,3.7,,"Sangeetha vihar, opp. DYSP Office, Krishnakripa, Cherthala, Keralam 688524",Krishnakripa,9.6825625,76.3403125,ChIJY2VC9Ed8CDsRdwowHAKt4sI,https://www.google.com/maps/place/?q=place_id:ChIJY2VC9Ed8CDsRdwowHAKt4sI,part_302,2026-09-20 20:45:18
