business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
River Store Thumpoly,Two Wheeler Showroom and Dealer,Electric motor scooter dealer,"Electric motor scooter dealer, Motor scooter dealer, Motorcycle shop",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 92402 54183,https://dealers.rideriver.com/kerala/alappuzha/electric-scooter-showroom-in-thumpoly,5.0,70.0,"Ground Floor, NH 66, 15/522A, near Matha School, Thumpoly, Alappuzha, Keralam 688007",Thumpoly,9.5231973,76.3278299,ChIJRQwGijOFCDsR41cUp897n5A,https://www.google.com/maps/place/?q=place_id:ChIJRQwGijOFCDsR41cUp897n5A,part_302,2026-09-20 20:46:55
OLA SCOOTER SALES AND SERVICE,Two Wheeler Showroom and Dealer,Electric motor scooter dealer,Electric motor scooter dealer,688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,N/A,N/A,1.6,10.0,"G8HH+32W, Poomkavu, Alappuzha, Aryad South, Kerala 688521",Poomkavu,9.527696599999999,76.3276046,ChIJOcW1CACFCDsRYp23imwj_IA,https://www.google.com/maps/place/?q=place_id:ChIJOcW1CACFCDsRYp23imwj_IA,part_302,2026-09-20 20:46:56
"Ather Electric Scooter Showroom in Poomkavu, Alappuzha",Two Wheeler Showroom and Dealer,Electric motor scooter dealer,Electric motor scooter dealer,688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 92400 13914,https://www.atherenergy.com/locate-ather-dealer/dealer-page/electric-scooters-in-poomkavu/?/UTM_source=GMB,3.6,130.0,"Vishnu Bhavan, 16/41, Dist, near Njanadeepam Library, Pathirappally, P.O, Poomkavu, Alappuzha, Keralam 688521","Pathirappally, P.O, Poomkavu",9.5262449,76.3272691,ChIJN4P32l-FCDsRVh0lOIagG0A,https://www.google.com/maps/place/?q=place_id:ChIJN4P32l-FCDsRVh0lOIagG0A,part_302,2026-09-20 20:46:56
Radha Motors TVS (2 wheeler & EV) - Edathua,Two Wheeler Showroom and Dealer,Motorcycle shop,"Motorcycle shop, Motor scooter dealer, Motor vehicle dealer",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 8071 405 981,https://showroom.tvsmotor.com/locator/alappuzha/Edathua/radha-motors-tvs-2-wheeler-ev-in-Edathua-alappuzha--6ZAqMc/home,3.7,,"Radha Building, nearby Kerala State Electricity Board, Koilmuck, Edathua, Kuttanad Taluk, Keralam 689573","Koilmuck, Edathua",9.3617078,76.4675129,ChIJ3bqbMtwhBjsRDpPJyX5C0L8,https://www.google.com/maps/place/?q=place_id:ChIJ3bqbMtwhBjsRDpPJyX5C0L8,part_302,2026-09-20 20:46:57
DIZZAIR.COM,Two Wheeler Showroom and Dealer,Motor scooter dealer,Motor scooter dealer,688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 94007 07800,http://www.dizzair.com/,4.6,,"West gate, M C Road, Chengannur, Keralam 689121",688008,9.324607799999999,76.6093853,ChIJj-kp0O4iBjsR_jUg13iL7ks,https://www.google.com/maps/place/?q=place_id:ChIJj-kp0O4iBjsR_jUg13iL7ks,part_302,2026-09-20 20:46:57
Shymas Honda Chengannur,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Two Wheeler Repair Shop",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 89433 00122,http://www.shymashonda.com/,4.4,,"SH 1, Chengannur, Keralam 689121",688008,9.3252396,76.609357,ChIJL65pquUiBjsRv1DyI0l1tvI,https://www.google.com/maps/place/?q=place_id:ChIJL65pquUiBjsRv1DyI0l1tvI,part_302,2026-09-20 20:46:57
Menethu Auto Centre (2 wheeler & EV) - Thattarambalam,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 8071 405 980,https://showroom.tvsmotor.com/locator/alappuzha/Thattarambalam/menethu-auto-centre-tvs-2-wheeler-ev-in-Thattarambalam-alappuzha--6HKeJY/home,3.9,,"Ground Floor, nearby VSM Hospital, Thattarambalam, Mavelikara, Keralam 690103",Thattarambalam,9.2474144,76.5206549,ChIJQQ6Elx4fBjsRRNm0Gk0G_UY,https://www.google.com/maps/place/?q=place_id:ChIJQQ6Elx4fBjsRRNm0Gk0G_UY,part_302,2026-09-20 20:46:57
Shymas Honda Kayamkulam,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Honda dealer",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 99958 67502,http://www.shymashonda.com/,4.6,,"opposite Ayurveda Hospital, Kottukulangara, Kayamkulam, Kareelakulangara, Keralam 690502",Kottukulangara,9.1883096,76.4883014,ChIJP64F1dodBjsR8FGWmvGIp6A,https://www.google.com/maps/place/?q=place_id:ChIJP64F1dodBjsR8FGWmvGIp6A,part_302,2026-09-20 20:46:57
Philips Drive - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 88487 46299,https://dealers.heromotocorp.com/locator/alappuzha/muhamma/philips-drive-hero-motocorp-in-muhamma-alappuzha--67WU6s/home,5.0,,"nearby NSS Service, Vanaswargam, Muhamma, Keralam 688523",Vanaswargam,9.6136726,76.31324029999999,ChIJtfeO0cCHCDsRqReH83HmA8E,https://www.google.com/maps/place/?q=place_id:ChIJtfeO0cCHCDsRqReH83HmA8E,part_302,2026-09-20 20:46:57
Philips Drive - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,688008,Kerala Circle,Kochi Region,Alleppey Division,Thumpoly SO,+91 88487 46299,https://dealers.heromotocorp.com/locator/cherthala/Alappuzha/philips-drive-hero-motocorp-in-Alappuzha-cherthala--1glnxB/home,3.6,,"Velorvattom, Cherthala, Keralam 688524",Velorvattom,9.695223799999999,76.32663289999999,ChIJRVCzJZx9CDsRfdMklvfcT7g,https://www.google.com/maps/place/?q=place_id:ChIJRVCzJZx9CDsRfdMklvfcT7g,part_302,2026-09-20 20:46:57
