business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JewelOne Experience Centre,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 95664 19111,https://jewelone.in/,4.9,1720,"SF. NO. 460, 461/1 Kathirnaickenpalayam Road, Post, Thoppampatti, Kurudampalayam, Tamil Nadu 641017",Thoppampatti,11.103165599999999,76.9342088,ChIJweZMNhf3qDsRPv54pRO7yLs,https://www.google.com/maps/place/?q=place_id:ChIJweZMNhf3qDsRPv54pRO7yLs,part_303,2026-09-20 20:21:05
Annapoorna Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",N/A,N/A,3.3,21,"8J98+PH8, Chengannur, Keralam 689121",688502,9.319299299999999,76.61646069999999,ChIJuU04uekiBjsR7Dyr3sfV_-c,https://www.google.com/maps/place/?q=place_id:ChIJuU04uekiBjsR7Dyr3sfV_-c,part_303,2026-09-20 20:21:05
Sadhupuram Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 479 244 5312,https://nfc.dgtechsoln.com/sadhupuram-jewellers/,4.7,18,"Govt. Hospital Rd, Kayamkulam, Keralam 690502",688502,9.1725699,76.5001204,ChIJ6RHJfbMdBjsRmt5HuHXkOQk,https://www.google.com/maps/place/?q=place_id:ChIJ6RHJfbMdBjsRmt5HuHXkOQk,part_303,2026-09-20 20:21:05
Rajadhani Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 94465 96916,N/A,3.8,21,"V884+J57, Aroor gram panchayat, Kochi, Keralam 688534",688502,9.866545799999999,76.3054188,ChIJ003LjJdxCDsRkDLn9SVL4KI,https://www.google.com/maps/place/?q=place_id:ChIJ003LjJdxCDsRkDLn9SVL4KI,part_303,2026-09-20 20:21:05
Sree krishna jewllery,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 98955 02300,https://www.instagram.com/sreekrishna_cherthala?igsh=ZHphY2xiZHhvM3V1,4.2,20,"Bazar road, Pullurithakary, Cherthala, Keralam 688524",Pullurithakary,9.6881873,76.3368072,ChIJ2ffIF0F8CDsRr_0U4ThJRog,https://www.google.com/maps/place/?q=place_id:ChIJ2ffIF0F8CDsRr_0U4ThJRog,part_303,2026-09-20 20:21:05
PAIS SILVER JEWELLERY | WHOLESALE AND RETAIL,Silver Jewellery Shop,Wholesaler,"Wholesaler, Jeweler, Jewelry store, Store, Wholesale jeweler",688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 94967 17503,N/A,4.5,34,"LAND MARK, THADATHIL BUILDINGS ,T B ROAD NEAR THIRUNNAKKARA MAIDAN NEAREST, Kalarickal Bazar, Kottayam, Keralam 686001",Eerayil Kadavu,9.5889607,76.5224917,ChIJaTIu96ArBjsRltSDGeJ_5F0,https://www.google.com/maps/place/?q=place_id:ChIJaTIu96ArBjsRltSDGeJ_5F0,part_303,2026-09-20 20:21:06
Pooja Silver Square,Silver Jewellery Shop,Jeweler,"Jeweler, Jewelry store",688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 484 406 6925,https://www.poojasilver.com/,4.8,930,"Kadavanthra Junction,, Subhash Chandra Bose Rd, Kadavanthra Junction, Jawahar Nagar, Kadavanthra, Ernakulam, Keralam 682020","Kadavanthra Junction, Jawahar Nagar, Kadavanthra",9.9707139,76.2987227,ChIJOd9vostyCDsRktSmvM5WXw0,https://www.google.com/maps/place/?q=place_id:ChIJOd9vostyCDsRktSmvM5WXw0,part_303,2026-09-20 20:21:06
Tiara By MCM Silvers,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 70120 11305,http://www.instagram.com/tiarabymcmsilvers,4.9,330,"Kaimamannil Building, Chairmans Rd, opposite public Stadium, Thiruvalla, Keralam 689101",688502,9.3839537,76.5777592,ChIJrZFbLwAlBjsRr1HmoXd-MVc,https://www.google.com/maps/place/?q=place_id:ChIJrZFbLwAlBjsRr1HmoXd-MVc,part_303,2026-09-20 20:21:06
Pooja Silver Square,Silver Jewellery Shop,Jewelry store,Jewelry store,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 88484 36379,https://www.poojasilver.com/,4.7,827,"Pillar No 718, Mahatma Gandhi Rd, Jos Junction, Ernakulam South, Kochi, Ernakulam, Keralam 682011","Jos Junction, Ernakulam South",9.9695787,76.2859957,ChIJ090kjkVzCDsRuDJxmTn33Ig,https://www.google.com/maps/place/?q=place_id:ChIJ090kjkVzCDsRuDJxmTn33Ig,part_303,2026-09-20 20:21:06
Queens Jewellery,Silver Jewellery Shop,Jeweler,Jeweler,688502,Kerala Circle,Kochi Region,Alleppey Division,"Moncombu SO, Chathurthiakary BO",+91 481 242 7585,N/A,3.9,21,"Head Post Office Junction, SH 1, Changanassery, Kottayam, Kerala 686101","Changanassery, Perunna",9.444054,76.542694,ChIJx58vCQwmBjsRhSeBBlYvDkE,https://www.google.com/maps/place/?q=place_id:ChIJx58vCQwmBjsRhSeBBlYvDkE,part_303,2026-09-20 20:21:06
