business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AMARNATH ELECTRICAL WORKS,Electrician,Housing development,Housing development,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",N/A,https://www.facebook.com/babu.viv.16,4.0,,"Kambikal Junction, Bus Stop, Mooleppally Rd, Muttom, Cherthala, Kerala 688524",Muttom,9.6867702,76.3341638,ChIJFR-f5-19CDsRXZmi7Lk0gTs,https://www.google.com/maps/place/?q=place_id:ChIJFR-f5-19CDsRXZmi7Lk0gTs,part_303,2026-09-20 20:26:57
"FRIENDS Electricals, Cherthala",Electrician,Store,Store,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 98473 70877,N/A,4.4,,"Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.6897098,76.3412831,ChIJnfefnD98CDsRA2g_enaq1tQ,https://www.google.com/maps/place/?q=place_id:ChIJnfefnD98CDsRA2g_enaq1tQ,part_303,2026-09-20 20:26:57
Vadapuram Trading Centre- Electricals and Sanitarywares,Electrician,Electrical supply store,Electrical supply store,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 94006 13204,N/A,4.3,,"Kalikulam, opposite Keerthi Regency, Cherthala, Keralam 688524",Chakkarakulam,9.685245799999999,76.34831659999999,ChIJFy1jmkx9CDsRbkPhR3fcQew,https://www.google.com/maps/place/?q=place_id:ChIJFy1jmkx9CDsRbkPhR3fcQew,part_303,2026-09-20 20:26:57
Deepam Electronics,Electrician,Electronics repair shop,Electronics repair shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 94461 92787,N/A,4.8,,"TD Rd, Pullurithakary, Cherthala, Keralam 688524",Pullurithakary,9.6873328,76.3389961,ChIJMevpZq99CDsR73uGuzMm61k,https://www.google.com/maps/place/?q=place_id:ChIJMevpZq99CDsR73uGuzMm61k,part_303,2026-09-20 20:26:57
MEGAWATTS ELECTRICALS VAYALAR,Electrician,Electrical supply store,Electrical supply store,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",N/A,N/A,,,"nagamkulangara jn, Vayalar, cherthala, Kerala 688536",Vayalar,9.722306399999999,76.3374748,ChIJbdt2_GZ7CDsRb978lm_xUNE,https://www.google.com/maps/place/?q=place_id:ChIJbdt2_GZ7CDsRb978lm_xUNE,part_303,2026-09-20 20:26:57
Panjikaran Electronics (പഞ്ഞിക്കാരൻ ഇലക്ട്രോണിക്സ്),Electrician,Electronics store,"Electronics store, Battery Store, Electronic parts supplier",688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 82819 90354,N/A,3.3,,"North of Devi Temple, Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.6872717,76.3416577,ChIJuzk9TD98CDsRylfu-5d_Az0,https://www.google.com/maps/place/?q=place_id:ChIJuzk9TD98CDsRylfu-5d_Az0,part_303,2026-09-20 20:26:57
Shalimar Electricals,Electrician,Electronics store,Electronics store,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 94477 30784,N/A,4.5,,"KSRTC, Bus Stand, Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.6862494,76.342799,ChIJb4WdtZV9CDsR4gbRai2jioE,https://www.google.com/maps/place/?q=place_id:ChIJb4WdtZV9CDsR4gbRai2jioE,part_303,2026-09-20 20:26:57
Homekart,Electrician,Electronics wholesaler,"Electronics wholesaler, Electronics store",688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 81118 18387,N/A,4.8,81.0,"Pattanakkad, Cherthala, Keralam 688531",688524,9.7240213,76.31153309999999,ChIJm_UNJAB7CDsRD0cRcL8QFGs,https://www.google.com/maps/place/?q=place_id:ChIJm_UNJAB7CDsRD0cRcL8QFGs,part_303,2026-09-20 20:26:58
RRR Auto Electrical Works,Electrician,Auto electrical service,Auto electrical service,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 88935 94422,N/A,4.1,7.0,"near Purathamkuzhi Junction, Vettakkal, Cherthala, Keralam 688529",688524,9.7282782,76.2952268,ChIJCcCK9cJ9CDsR53suMc8nbOg,https://www.google.com/maps/place/?q=place_id:ChIJCcCK9cJ9CDsR53suMc8nbOg,part_303,2026-09-20 20:26:58
GRID INDIA SOLAR PVT LTD,Electrician,Solar Energy Company,Solar Energy Company,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 62355 22266,https://www.gridindiamanagement.com/,5.0,373.0,"S & S 1, CMC Cherthala 24, Ottappunna, Muttom, Cherthala, Keralam 688524","Ottappunna, Muttom",9.6963562,76.3227265,ChIJJ5F1sgJTNqURxmu7Oicf2F4,https://www.google.com/maps/place/?q=place_id:ChIJJ5F1sgJTNqURxmu7Oicf2F4,part_303,2026-09-20 20:26:58
