business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cutie Pie Cakes - Cherthala,Patisserie,Cake shop,"Cake shop, Cupcake shop, Dessert shop, Wedding bakery",688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 81119 06699,https://cutiepiecakes.com/,4.7,,"T, Cherthala Rd, near Karthyayani Devi Temple, opposite Taxi Stand, Chakkarakulam, Cherthala, Keralam 688524",Chakkarakulam,9.6854991,76.3422923,ChIJ9Zg9HAB9CDsRaPcEG8eRvhQ,https://www.google.com/maps/place/?q=place_id:ChIJ9Zg9HAB9CDsRaPcEG8eRvhQ,part_303,2026-09-20 20:26:41
Happy Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 77367 12442,N/A,5.0,,"VP 7/459 A, near Vayalar Road, Vayalar, Mandapam, Cherthala, Kerala 688524",Vayalar,9.6928781,76.33744,ChIJKYlp7zd9CDsRHcamYlbvlV4,https://www.google.com/maps/place/?q=place_id:ChIJKYlp7zd9CDsRHcamYlbvlV4,part_303,2026-09-20 20:26:41
Himalaya Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 478 282 1166,N/A,4.0,,"Cherthala Rd, Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.687721999999999,76.3419969,ChIJgcYQRz98CDsRg8F3oBkqbSA,https://www.google.com/maps/place/?q=place_id:ChIJgcYQRz98CDsRg8F3oBkqbSA,part_303,2026-09-20 20:26:41
Cake Cafe കേക്ക് കഫേ,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 99954 99230,N/A,4.5,,"Manorama junction, Muttom, Cherthala, Keralam 688524",Muttom,9.6911098,76.3368983,ChIJl6N4d_h9CDsROePd2Y-lHcc,https://www.google.com/maps/place/?q=place_id:ChIJl6N4d_h9CDsROePd2Y-lHcc,part_303,2026-09-20 20:26:41
Ami's Bake World,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Bakery equipment, Cake decorating equipment shop, Cake shop, Donut shop, Pastry shop, Pizza takeaway",688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 88486 93445,http://tripleafoodies.com/,4.9,,"East of Court Junction, Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.6902445,76.3434552,ChIJoTverXV9CDsRYGZIZbBjWmg,https://www.google.com/maps/place/?q=place_id:ChIJoTverXV9CDsRYGZIZbBjWmg,part_303,2026-09-20 20:26:41
Papaya bakery & cafe,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 99472 42502,N/A,4.2,,"Door 3,puthiyedathu, Ottappunna, Muttom, Cherthala, Keralam 688524","Ottappunna, Muttom",9.6964837,76.3212071,ChIJS091Uix9CDsRYVNhxU3iLUA,https://www.google.com/maps/place/?q=place_id:ChIJS091Uix9CDsRYVNhxU3iLUA,part_303,2026-09-20 20:26:41
HONEYPOT BAKERS,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 62386 76447,N/A,4.9,,"01 Thankey Junction Kadakkarappalli, Cherthala, Keralam 688529",688524,9.7035748,76.31555469999999,ChIJGbS_0AJ9CDsRpXoFBFlYMgI,https://www.google.com/maps/place/?q=place_id:ChIJGbS_0AJ9CDsRpXoFBFlYMgI,part_303,2026-09-20 20:26:41
D Cakes,Patisserie,Cake shop,Cake shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 88484 52627,N/A,4.9,,"Omkareswaram-Parappel Rd, Cherthala, Keralam 688539",688524,9.7073358,76.35320879999999,ChIJBUOwcuF9CDsRHo7e8sSFrZQ,https://www.google.com/maps/place/?q=place_id:ChIJBUOwcuF9CDsRHo7e8sSFrZQ,part_303,2026-09-20 20:26:41
Five Star Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 77365 06747,N/A,4.5,,"opposite KSRTC Stand, Chakkarakulam, Cherthala, Keralam 688524",Chakkarakulam,9.6859988,76.3431841,ChIJn51K2Th8CDsR2by_1ZbqA0c,https://www.google.com/maps/place/?q=place_id:ChIJn51K2Th8CDsR2by_1ZbqA0c,part_303,2026-09-20 20:26:41
A.K.R BAKERY,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Stationery store",688524,Kerala Circle,Kochi Region,Alleppey Division,"Cherthala HO, Cherthala Cutcherry SO, Kalavamkodam B O",+91 98476 45455,N/A,4.0,,"CMC-8, Cherthala - Thavanakkadavu Rd, Kodathikavala, Nedumprakkad, Keralam 688524",Kodathikavala,9.6955797,76.34675849999999,ChIJf7DEfRZ8CDsRAARsf-RAmzY,https://www.google.com/maps/place/?q=place_id:ChIJf7DEfRZ8CDsRAARsf-RAmzY,part_303,2026-09-20 20:26:41
