business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amber pot,Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,4.9,8,"Cherthala - Arookutty Rd, Arookutty, Panavally, Keralam 688526",Arookutty,9.8354536,76.3333282,ChIJzT0LVABxCDsRoomA5hebGZ0,https://www.google.com/maps/place/?q=place_id:ChIJzT0LVABxCDsRoomA5hebGZ0,part_303,2026-09-20 20:28:09
Takopi’s,Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,https://www.instagram.com/tak_opis,5.0,1,"Q9H6+69G, Makkekkadavu-Nerekadavu, Keralam 688526",688526,9.778067799999999,76.3609625,ChIJ4aL-cAB7CDsRzz_8GUYAybs,https://www.google.com/maps/place/?q=place_id:ChIJ4aL-cAB7CDsRzz_8GUYAybs,part_303,2026-09-20 20:28:09
Old bridge cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,4.9,7,"R9CR+MV, Chempu, Keralam 686608",Chempu,9.8223956,76.39257429999999,ChIJF9g-cAB3CDsRRmZCuBPpWlo,https://www.google.com/maps/place/?q=place_id:ChIJF9g-cAB3CDsRRmZCuBPpWlo,part_303,2026-09-20 20:28:09
Raanthal restocafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,4.3,7,"R88X+JF9, Nalpathenneswaram Temple Rd, Panavally, Keralam 688526",688526,9.8165601,76.3489177,ChIJpdHlDwBxCDsR_ffb7BJs55Q,https://www.google.com/maps/place/?q=place_id:ChIJpdHlDwBxCDsR_ffb7BJs55Q,part_303,2026-09-20 20:28:09
SUGARNOVA CAFE AND BAKES,Cafe and Coffee Shop,Cafe,Cafe,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,https://www.instagram.com/sugarnova_cafe_and_bakes?igsh=MTZ4MWVvOGhxc2Rydg==,4.9,14,"Bus Station, Salem - Kochi Hwy, Kuthiathodu, Kodamthuruth, Kerala 688533",Kuthiathodu,9.795670699999999,76.3162225,ChIJ2-eVGQB7CDsRBr-S5ygvYzU,https://www.google.com/maps/place/?q=place_id:ChIJ2-eVGQB7CDsRBr-S5ygvYzU,part_303,2026-09-20 20:28:09
SHANTHI CAFE (ശാന്തി കഫെ),Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",+91 62387 59297,https://www.instagram.com/shanthi_cafe_?igshid=OGQ5ZDc2ODk2ZA==,4.9,19,"Anjalathodu, Panavally, Keralam 688526",Anjalathodu,9.824187499999999,76.3374375,ChIJVVtRDgBxCDsRlgzi_pnvYEY,https://www.google.com/maps/place/?q=place_id:ChIJVVtRDgBxCDsRlgzi_pnvYEY,part_303,2026-09-20 20:28:09
Sivas Caterings,Cafe and Coffee Shop,Coffee shop,Coffee shop,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,5.0,2,"15/127B, Cherthala - Arookutty Rd, near IOC PETROL PUMP, P.O, Poochakkal, Panavally, Keralam 688526","P.O, Poochakkal",9.8025328,76.3526759,ChIJi6nGVgBxCDsROv1lCPlg7DA,https://www.google.com/maps/place/?q=place_id:ChIJi6nGVgBxCDsROv1lCPlg7DA,part_303,2026-09-20 20:28:09
Kabaka The Arabian Cafe,Cafe and Coffee Shop,Restaurant,Restaurant,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,5.0,9,"Near Kalikkalam Sports Hub Perumbalam Bridge, Vaduthala Jetty Road, Keralam 688535",Arookutty,9.8554478,76.33812929999999,ChIJD1y_XPxxCDsRRSOaASWuUa4,https://www.google.com/maps/place/?q=place_id:ChIJD1y_XPxxCDsRRSOaASWuUa4,part_303,2026-09-20 20:28:10
ഉത്തമൻ്റെ തട്ടുകട,Cafe and Coffee Shop,Fast food restaurant,Fast food restaurant,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",N/A,N/A,4.1,179,"Q957+H3V, Cherthala - Arookutty Rd, Pallipuram, Keralam 688541",688526,9.758999099999999,76.3626719,ChIJZ1NZnO97CDsROrYSSrQ-5gY,https://www.google.com/maps/place/?q=place_id:ChIJZ1NZnO97CDsROrYSSrQ-5gY,part_303,2026-09-20 20:28:10
Magic Oven {GRILLING & BAKING},Cafe and Coffee Shop,Cafe,Cafe,688526,Kerala Circle,Kochi Region,Alleppey Division,"Poochackal SO, Manappuram BO, Naduvathunagar BO",+91 93879 73242,N/A,5.0,12,"Q9V4+Q5G, Poochakkal, Keralam 688526",Poochakkal,9.794435,76.3554556,ChIJXdgPSxN7CDsRTckBR8tmZx8,https://www.google.com/maps/place/?q=place_id:ChIJXdgPSxN7CDsRTckBR8tmZx8,part_303,2026-09-20 20:28:10
