business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aswini Heritage Ayurveda,Ayurvedic Pharmacy and Clinic,Health consultant,Health consultant,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,https://awmhealthcare.com/,5.0,,"7Q6Q+M9H, govt g.h.s road, near old pvt bus stand, Kerala 689645",689113,9.2616978,76.7884713,ChIJhWEYLMQ9BjsRtC8oNfuxh1o,https://www.google.com/maps/place/?q=place_id:ChIJhWEYLMQ9BjsRtC8oNfuxh1o,part_304,2026-09-20 20:49:18
Santhigiri Ayurveda & Siddha Vaidyasala Kumbazha Pathanamthitta,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Pharmaceutical company",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 98956 85163,N/A,4.8,,"Santhigiri, Kumbazha, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.2651492,76.8062783,ChIJj8hJKUsVBjsR04qnpLHa5kw,https://www.google.com/maps/place/?q=place_id:ChIJj8hJKUsVBjsR04qnpLHa5kw,part_304,2026-09-20 20:49:19
Kottakkal Arya Vaidya Sala Thiruvalla,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 90480 61600,N/A,4.8,,"NSS building, Kacheripadi, Thiruvalla, Keralam 689101",689113,9.380896,76.57083759999999,ChIJS0ODXwskBjsRwNrWMr-TP1E,https://www.google.com/maps/place/?q=place_id:ChIJS0ODXwskBjsRwNrWMr-TP1E,part_304,2026-09-20 20:49:19
Ayurdhama Ayurvedic Hospital & Research Center,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Massage therapist, Pharmacy",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,N/A,5.0,,"Hospital Road, Kozhencherry, Keralam 689641",689113,9.336039099999999,76.7050024,ChIJ1ZlDobQ9BjsRscRtIWSSwnk,https://www.google.com/maps/place/?q=place_id:ChIJ1ZlDobQ9BjsRscRtIWSSwnk,part_304,2026-09-20 20:49:19
VILWAMANGALAM AYURVEDA HOSPITAL AND RESEARCH CENTER,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 80756 21119,http://vilwamangalamayurvedahospital.com/,4.9,,"VILWAMANGALAM AYURVEDA HOSPITAL, THENGUMCAVU P.O, Mallassery, Pathanamthitta, Keralam 689646",THENGUMCAVU P.O,9.2367739,76.82496189999999,ChIJlbLxdC0VBjsRFgWBmdjzs2I,https://www.google.com/maps/place/?q=place_id:ChIJlbLxdC0VBjsRFgWBmdjzs2I,part_304,2026-09-20 20:49:19
Pranaswasthya Ayurveda Panchakarma Ashram (Ayurveda Clinic Pathanamthitta),Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 89215 68683,https://pranaswasthya.com/,4.7,,"Royal Auditoriam Building, near Gov Hospital, Pathanamthitta, Keralam 689645",689113,9.265255699999999,76.7805051,ChIJ0U0iNwsVBjsRq4f62hTflzc,https://www.google.com/maps/place/?q=place_id:ChIJ0U0iNwsVBjsRq4f62hTflzc,part_304,2026-09-20 20:49:19
Ayurveda Pharmacy,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,N/A,5.0,,"8JFM+RMG, Puthencavu, Kerala 689123",689113,9.324556699999999,76.6342118,ChIJmbX_6NEiBjsRtQQRmR4FlhA,https://www.google.com/maps/place/?q=place_id:ChIJmbX_6NEiBjsRtQQRmR4FlhA,part_304,2026-09-20 20:49:19
Dr. Susans Ayurveedu,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Doctor, Hospital, Pain control clinic, Pain management physician",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 80894 87573,http://www.drsusansayurveedu.com/,4.9,,"Elakolloor, Kizhavalloor, Keralam 689691","Elakolloor, Kizhavalloor",9.246680699999999,76.83062989999999,ChIJ97AH_fZrBjsRTJOdk_IulLk,https://www.google.com/maps/place/?q=place_id:ChIJ97AH_fZrBjsRTJOdk_IulLk,part_304,2026-09-20 20:49:19
Disha Ayurvedic Specialty Hospital for Psoriasis & Arthritis,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Skin care clinic",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 97782 68845,https://psoriasistreatmenthospital.in/,4.9,,"Chandanappally-Konni Rd, Mallassery, Keralam 689646",689113,9.2397037,76.79930689999999,ChIJwQXkersVBjsR0u6z8LT4-nU,https://www.google.com/maps/place/?q=place_id:ChIJwQXkersVBjsR0u6z8LT4-nU,part_304,2026-09-20 20:49:19
Sathigiri Aayurveda and Siddha Pharmacy,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 97440 73806,https://www.santhigirionline.com/sidha_products.php,5.0,,"Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2403513,76.7555017,ChIJC9I30ekVBjsRtrx9Ru1z5DI,https://www.google.com/maps/place/?q=place_id:ChIJC9I30ekVBjsRtrx9Ru1z5DI,part_304,2026-09-20 20:49:19
