business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GALAXY HOME STYLE,Furniture Showroom,Furniture store,Furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 87141 55454,N/A,4.2,,"M.C. ROAD, CENTURY JUN, MULAKUZHA, Chengannur, Keralam 689505",CENTURY JUN,9.2988854,76.6359975,ChIJGwKsJiAjBjsRQQBsHJb_3hU,https://www.google.com/maps/place/?q=place_id:ChIJGwKsJiAjBjsRQQBsHJb_3hU,part_304,2026-09-20 20:50:40
"Thrissur Furniture, kallissery",Furniture Showroom,Furniture accessories supplier,Furniture accessories supplier,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 94953 80491,N/A,4.6,,"8JP2+RRJ, Kollam - Theni Hwy, Chengannur Part, Keralam 689124",689121,9.3370959,76.6020103,ChIJT6vxzPsjBjsRii7FJPYdfP4,https://www.google.com/maps/place/?q=place_id:ChIJT6vxzPsjBjsRii7FJPYdfP4,part_304,2026-09-20 20:50:40
Style Furniture,Furniture Showroom,Furniture store,Furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 99957 99788,https://www.stylefurniture.in/,4.8,,"Kattuparambil Jacob's Arcade, East of Overbridge, Thazhakara, Keralam 690102",689121,9.254954399999999,76.5601168,ChIJJ0EfCdAYBjsRj9PRYsIzjnA,https://www.google.com/maps/place/?q=place_id:ChIJJ0EfCdAYBjsRj9PRYsIzjnA,part_304,2026-09-20 20:50:40
Lora mattress showroom Chengannur,Furniture Showroom,Mattress store,Mattress store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 90726 16301,http://www.loramattress.in/,4.7,,"ANJILIMOODU, Chengannur South, Chengannur, Keralam 689505",689121,9.3041269,76.6257954,ChIJ7VW3FwAjBjsRtpg9_71n_f4,https://www.google.com/maps/place/?q=place_id:ChIJ7VW3FwAjBjsRtpg9_71n_f4,part_304,2026-09-20 20:50:40
THARA FURNITURE,Furniture Showroom,Furniture store,Furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 94007 34042,N/A,4.9,,"Choonad-Thazhava mukku Rd, Kattanam, Keralam 690503",689121,9.1755625,76.5560625,ChIJ7Vn6xhsbBjsR_8VJJCHwILk,https://www.google.com/maps/place/?q=place_id:ChIJ7Vn6xhsbBjsR_8VJJCHwILk,part_304,2026-09-20 20:50:40
Marvel Mattress Factory Outlet,Furniture Showroom,Mattress store,"Mattress store, Bed shop",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 75104 30007,https://marvelmattress.co.in/,5.0,,"Mundankavu, Chengannur, Keralam 689121",Mundankavu,9.331529399999999,76.60584399999999,ChIJgV8QPQAjBjsRIZpkFJxhLAI,https://www.google.com/maps/place/?q=place_id:ChIJgV8QPQAjBjsRIZpkFJxhLAI,part_304,2026-09-20 20:50:40
Cane Palace,Furniture Showroom,Cane furniture store,Cane furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 97454 52425,N/A,5.0,,"Mazhukeer, Chengannur, Keralam 689124",689121,9.343711899999999,76.59766979999999,ChIJ8arqgmsjBjsR1Nf21zyO7vk,https://www.google.com/maps/place/?q=place_id:ChIJ8arqgmsjBjsR1Nf21zyO7vk,part_304,2026-09-20 20:50:40
Sleepwell Gallery - Valiya Veedans General Stores,Furniture Showroom,Mattress store,"Mattress store, Bed shop, Bedding store, Bedroom furniture store",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 8071 639 631,https://storesnearme.mysleepwell.com/sleepwell/stores-in-alappuzha/stores-in-chengannur/sleepwell-gallery-valiya-veedans-general-stores-in-chengannur-alappuzha--ce624483-5354-4658-b848-00cff7be39b5/home,4.0,,"Valiya Veedans General Stores, Privancode, Market Road, nearby Post Office, Chengannur, Kerala 689121",689121,9.318872299999999,76.61612509999999,ChIJt6am1DQjBjsRJdLwGXJmVAk,https://www.google.com/maps/place/?q=place_id:ChIJt6am1DQjBjsRJdLwGXJmVAk,part_304,2026-09-20 20:50:40
Premier Trade Links,Furniture Showroom,Furniture store,Furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,https://www.facebook.com/ptradelinks,4.9,,"Thiruvalla Mavelikkara Road, Old Mavelikkara, Mavelikara, Keralam 690101",Old Mavelikkara,9.254166,76.5453837,ChIJweo0mi0fBjsR-T_530spbPk,https://www.google.com/maps/place/?q=place_id:ChIJweo0mi0fBjsR-T_530spbPk,part_304,2026-09-20 20:50:41
Attinkara Furniture,Furniture Showroom,Furniture store,Furniture store,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 97980 00200,http://www.attinkara.com/,4.8,,"Kollam - Theni Hwy, Chengannur, Kerala 689121",689121,9.3222185,76.6094885,ChIJybQp9MQjBjsRPXPw6cbVv7E,https://www.google.com/maps/place/?q=place_id:ChIJybQp9MQjBjsRPXPw6cbVv7E,part_304,2026-09-20 20:50:41
