business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Star Health And Allied Insurance Co.Ltd., Chengannur, Kerala",Insurance Agent,Health insurance agency,"Health insurance agency, Auto insurance agency, Insurance agency, Life insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 98476 78193,https://forms.gle/MQCRwsQ2iwDDQ4DG9,4.9,36.0,"Bethel Junction, SH 1, Chengannur, Keralam 689121",689121,9.318337099999999,76.6146163,ChIJNxjQve4iBjsRLicB1JlOMIc,https://www.google.com/maps/place/?q=place_id:ChIJNxjQve4iBjsRLicB1JlOMIc,part_304,2026-09-20 20:50:49
"Star Health and Allied Insurance, Chengannur",Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,5.0,40.0,"Chengannur, Keralam 689121",689121,9.3120625,76.6236875,ChIJI0C8IAAjBjsRbKImPWfbXoM,https://www.google.com/maps/place/?q=place_id:ChIJI0C8IAAjBjsRbKImPWfbXoM,part_304,2026-09-20 20:50:49
Maria Associates,Insurance Agent,Insurance agency,"Insurance agency, Insurance agent",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 98476 78193,https://www.menorahfinserv.com/,5.0,23.0,"1st Floor, Kailathu, James Building, SH 1, Chengannur, Keralam 689121",689121,9.317926,76.6143891,ChIJU5l_YmgjBjsRpbDS2kuZge8,https://www.google.com/maps/place/?q=place_id:ChIJU5l_YmgjBjsRpbDS2kuZge8,part_304,2026-09-20 20:50:49
Niva Bupa Health Insurance - Agency Office,Insurance Agent,Health insurance agency,Health insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 99466 88938,N/A,5.0,71.0,"ITI Junction, MC Rd, next to KFC, Chengannur, Kerala 689122",689121,9.3116799,76.6225103,ChIJAwbCWAcjBjsR75t6gzSW1Fk,https://www.google.com/maps/place/?q=place_id:ChIJAwbCWAcjBjsR75t6gzSW1Fk,part_304,2026-09-20 20:50:49
SBI Life Insurance Co Ltd,Insurance Agent,Insurance agency,"Insurance agency, Health insurance agency, Insurance company, Insurance broker, Life insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 1800 267 9090,https://branches.sbilife.co.in/sbi-life-insurance-co-ltd-insurance-company-market-road-alappuzha-201933/Home?utm_source=locator&utm_medium=googleplaces,3.9,15.0,"1st Floor, EKR Building Market, Road, Chengannur, Keralam 689121",689121,9.317715699999999,76.61454119999999,ChIJJ1XbpukiBjsRYnSPR0Gq0fc,https://www.google.com/maps/place/?q=place_id:ChIJJ1XbpukiBjsRYnSPR0Gq0fc,part_304,2026-09-20 20:50:49
Bajaj Life Insurance,Insurance Agent,Life insurance agency,"Life insurance agency, Insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 20 6712 1212,https://branch.bajajlifeinsurance.com/bajaj-life-insurance-mc-road-life-insurance-chengannur-alappuzha-162869/Home?utm_source=locator&utm_medium=googleplaces,4.7,31.0,"1st Floor Padinjarenada, SH 1, opposite Supply Co Office, Chengannur, Keralam 689124",689121,9.336551499999999,76.6098209,ChIJqfhUVe4iBjsR0dYvUo3UapI,https://www.google.com/maps/place/?q=place_id:ChIJqfhUVe4iBjsR0dYvUo3UapI,part_304,2026-09-20 20:50:49
LIC of India - Chengannur Branch Office,Insurance Agent,Insurance company,Insurance company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 479 245 2351,N/A,3.7,120.0,"Jeevan Jyothi, LIC BUILDING, MC ROAD, CHENGANNUR, Chengannur, Alappuzha, Keralam 689121",Chengannur,9.320113,76.610261,ChIJQyJIHe8iBjsRFvUQRcid7cw,https://www.google.com/maps/place/?q=place_id:ChIJQyJIHe8iBjsRFvUQRcid7cw,part_304,2026-09-20 20:50:49
Feby Chacko Koshy (ROYCEZ),Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,5.0,1.0,"8J37+MR5, Chengannur, Kerala 689122",689121,9.304207,76.613936,ChIJP3ycQAAjBjsRnjIE0QZ1tv4,https://www.google.com/maps/place/?q=place_id:ChIJP3ycQAAjBjsRnjIE0QZ1tv4,part_304,2026-09-20 20:50:49
United India Insurance Company Limited,Insurance Agent,Insurance company,Insurance company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 479 295 0258,N/A,4.0,6.0,"1st Floor, Karimpinkalayil Towers, Nandavanam Junction, Chengannur, Keralam 689121",689121,9.317561399999999,76.6155026,ChIJXR6vQfQjBjsRHUBdc7NHkiw,https://www.google.com/maps/place/?q=place_id:ChIJXR6vQfQjBjsRHUBdc7NHkiw,part_304,2026-09-20 20:50:49
New India Assurance,Insurance Agent,Insurance company,Insurance company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 479 245 3126,N/A,3.7,92.0,"8J98+F6W, Padippurakkal Building, Market Nandavanam Jct Rd, opp. Hotel Bhagavath Gardens, Chengannur, Keralam 689121",689121,9.318736399999999,76.6155795,ChIJlfKWJuoiBjsR5Po77xBolx0,https://www.google.com/maps/place/?q=place_id:ChIJlfKWJuoiBjsR5Po77xBolx0,part_304,2026-09-20 20:50:49
Regi Sam Cherian,Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 94460 86243,https://regisamcherian.com/,,,"Parayil Rd, Kallissery, Chengannur Part, Keralam 689124",689121,9.3366977,76.6050028,ChIJw2QJq4EjBjsRFSbq-KvNdx0,https://www.google.com/maps/place/?q=place_id:ChIJw2QJq4EjBjsRFSbq-KvNdx0,part_304,2026-09-20 20:50:49
ICICI Prudential Life Insurance Company Limited,Insurance Agent,Insurance company,"Insurance company, Life insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 1800 2660,http://www.iciciprulife.com/,4.0,7.0,"1st Floor Door No.- 25/171 Thampayathil Building Chenganur Municipal, near Railway Station, Chengannur, Alleppey, Keralam 689121",689121,9.320065,76.6093601,ChIJ5____-4iBjsRYRFxGXu_ah0,https://www.google.com/maps/place/?q=place_id:ChIJ5____-4iBjsRYRFxGXu_ah0,part_304,2026-09-20 20:50:49
HDFC Life Insurance,Insurance Agent,Insurance company,Insurance company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 96192 78194,https://branch.hdfclife.com/hdfc-life-insurance-bethel-road-insurance-company-bethel-road-alappuzha-5101/Home,4.8,56.0,"2nd Floor, Erappuzha Building Bethel Jn, Bethel Road, Chengannur, Keralam 689121",689121,9.317810699999999,76.6134888,ChIJnwjIfeoiBjsRWT3cYZGQk90,https://www.google.com/maps/place/?q=place_id:ChIJnwjIfeoiBjsRWT3cYZGQk90,part_304,2026-09-20 20:50:49
HDFC ERGO Insurance Agent: Abhilash Kumar A V,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 8071 893 290,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-abhilash-kumar-a-v-insurance-broker-alamkottu-alappuzha-440676/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Ground Floor, Alamkottu, Pandanad, Pandanad part, Keralam 689506",Alamkottu,9.3165211,76.5892774,ChIJcasUnlcjBjsRix3lcFv2OdE,https://www.google.com/maps/place/?q=place_id:ChIJcasUnlcjBjsRix3lcFv2OdE,part_304,2026-09-20 20:50:49
HEALTH INSURANCE,Insurance Agent,Health insurance agency,Health insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,5.0,1.0,"Shiny Abraham Rd, Thittamel, Chengannur, Keralam 689121",Thittamel,9.320001099999999,76.6094997,ChIJW4mGyxAjBjsRGsxnMwr3Rfc,https://www.google.com/maps/place/?q=place_id:ChIJW4mGyxAjBjsRGsxnMwr3Rfc,part_304,2026-09-20 20:50:49
SR AUTO CONSULTANT,Insurance Agent,Corporate office,Corporate office,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,5.0,1.0,"8J7C+2XJ, Kollam - Theni Hwy, Chengannur, Keralam 689121",689121,9.3125658,76.6223861,ChIJ9bOrZQAjBjsRwFMG4z07XBg,https://www.google.com/maps/place/?q=place_id:ChIJ9bOrZQAjBjsRwFMG4z07XBg,part_304,2026-09-20 20:50:49
Geo Insurance Hub,Insurance Agent,Health insurance agency,"Health insurance agency, Insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 96333 17661,http://www.geoinsurancehub.in/,5.0,49.0,"Mayiparapalliyil house, Champakulam, Keralam 688505",689121,9.412890599999999,76.4126438,ChIJZxavk6qdCDsR259SUD_LMu0,https://www.google.com/maps/place/?q=place_id:ChIJZxavk6qdCDsR259SUD_LMu0,part_304,2026-09-20 20:50:49
HDFC ERGO Insurance Agent: Sarath Satheesh,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 80 3772 6166,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-sarath-satheesh-insurance-broker-ala-alappuzha-444921/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Sarath Bhavan, Ala, Pandanad, Keralam 689124",689121,9.333492099999999,76.5881922,ChIJi18HdbAjBjsRx5ftM-ZcD9s,https://www.google.com/maps/place/?q=place_id:ChIJi18HdbAjBjsRx5ftM-ZcD9s,part_304,2026-09-20 20:50:49
National insurance portal office Mavelikkara,Insurance Agent,Insurance agency,"Insurance agency, Insurance agent",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 86068 87293,N/A,5.0,,"near Rajiv Gandhi statue, Prayikkara, Old Mavelikkara, Mavelikara, Keralam 690101","Prayikkara, Old Mavelikkara",9.2598111,76.5448925,ChIJT6ZlLVwfBjsRnx_NFuI0U6A,https://www.google.com/maps/place/?q=place_id:ChIJT6ZlLVwfBjsRnx_NFuI0U6A,part_304,2026-09-20 20:50:49
Star Health & Allied Insurance Co. Ltd,Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 95261 42611,https://www.starhealth.in/,4.8,,"Kevin John kotturkuttiyil, Chennithala, Keralam 690105",689121,9.2952946,76.531004,ChIJsdZDbq4hBjsRnVBXzNxAb_U,https://www.google.com/maps/place/?q=place_id:ChIJsdZDbq4hBjsRnVBXzNxAb_U,part_304,2026-09-20 20:50:49
Kannattu Arun Finance,Insurance Agent,Loan agency,"Loan agency, Financial consultant, Insurance broker, Money transfer service, Travel agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 479 245 4310,N/A,4.9,,"Kannattu Baby Memorial Building, Bethel Junction, SH 1, Chengannur, Keralam 689121",689121,9.3180043,76.6140855,ChIJE2FcZukiBjsRXP0Lao5OZiA,https://www.google.com/maps/place/?q=place_id:ChIJE2FcZukiBjsRXP0Lao5OZiA,part_304,2026-09-20 20:50:50
United India Insurance Co. Ltd.,Insurance Agent,Insurance company,Insurance company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 44 2833 2220,N/A,3.7,33.0,"7G2R+X6Q, Old Mavelikkara, Mavelikara, Keralam 690101",Old Mavelikkara,9.2524692,76.5406046,ChIJI9ZBVi4fBjsRGjJTWmD8nvc,https://www.google.com/maps/place/?q=place_id:ChIJI9ZBVi4fBjsRGjJTWmD8nvc,part_304,2026-09-20 20:50:50
Shriram Finance Limited,Insurance Agent,Financial institution,"Financial institution, Agricultural Loan Agency, Car finance and loan company, Financial planner, Insurance company, Investment service, Loan agency, Motorcycle insurance agency",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 1800 410 7711,https://nearme.shriramfinance.in/kerala/alappuzha/chengannur-branch,3.0,2.0,"First Floor, Priya Building, 490/17, MC Rd, near Mahadeva Padinjarendra, PO, Chengannur, Keralam 689121",PO,9.3236591,76.6092233,ChIJ9w8tMJ8jBjsRyARD6xQxiMQ,https://www.google.com/maps/place/?q=place_id:ChIJ9w8tMJ8jBjsRyARD6xQxiMQ,part_304,2026-09-20 20:50:50
The Oriental Insurance Company Limited,Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 479 216 5060,https://orientalinsurance.org.in/,3.7,31.0,"8JF5+HQ7, Chengannur, Kerala 689121",689121,9.3239103,76.6094208,ChIJHcw9guUiBjsRcxm9-J_mmcw,https://www.google.com/maps/place/?q=place_id:ChIJHcw9guUiBjsRcxm9-J_mmcw,part_304,2026-09-20 20:50:50
The New India Assurance Co. Ltd - pandalam,Insurance Agent,Insurance agency,Insurance agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 97477 53414,N/A,4.0,3.0,"SH 1, Pandalam, Chengannur, Keralam 689121",689121,9.313053,76.62181029999999,ChIJ3Ss9IHQXBjsRkPujNNoDLKM,https://www.google.com/maps/place/?q=place_id:ChIJ3Ss9IHQXBjsRkPujNNoDLKM,part_304,2026-09-20 20:50:50
