business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GBC Dr. Water,RO Water Purifier Sales and Service,Water purification company,Water purification company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 94460 54441,http://www.gbcdrwater.in/,4.8,17,"Nandavanam Building, Near Shymas Honda Puthenveettil Padi, SH 1, Chengannur, Keralam 689121",689121,9.325063199999999,76.6093214,ChIJL1yDrUkjBjsR3sRk1E2G3Uc,https://www.google.com/maps/place/?q=place_id:ChIJL1yDrUkjBjsR3sRk1E2G3Uc,part_304,2026-09-20 20:50:39
Water Care,RO Water Purifier Sales and Service,RO Water Purifier Sales and Service,RO Water Purifier Sales and Service,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,4.3,3,"Chengannur, Keralam 689121",689121,9.3249084,76.60935599999999,ChIJA4gHB-UiBjsR6i4kJfUX8yk,https://www.google.com/maps/place/?q=place_id:ChIJA4gHB-UiBjsR6i4kJfUX8yk,part_304,2026-09-20 20:50:39
VG ASSOCIATES,RO Water Purifier Sales and Service,Water purification company,Water purification company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 95620 60200,N/A,5.0,42,"THENJITHUKAVU, Ayyanthole, Thrissur, Keralam 680003","THENJITHUKAVU, Ayyanthole",10.531704,76.1848047,ChIJFxWjzGvvpzsR9MQN7fyPcuo,https://www.google.com/maps/place/?q=place_id:ChIJFxWjzGvvpzsR9MQN7fyPcuo,part_304,2026-09-20 20:50:39
RS Water Solutions,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 94971 60271,N/A,5.0,21,"School Padi Maruthingal, near PTB Auditorium, Karuvarakundu, Keralam 676523",689121,11.1223473,76.3367264,ChIJHd5ojzkvpjsRJ2Hwig2LR_I,https://www.google.com/maps/place/?q=place_id:ChIJHd5ojzkvpjsRJ2Hwig2LR_I,part_304,2026-09-20 20:50:39
SHIELD WATER TECH,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 90617 11616,http://www.shieldwatertech.in/,5.0,85,"Gurupuram Road, Thalavady, Thiruvilak, Aaryad, Alappuzha, Keralam 688006","Thalavady, Thiruvilak, Aaryad",9.5327697,76.3416329,ChIJobcrqaqFCDsRsAu3lyai8KQ,https://www.google.com/maps/place/?q=place_id:ChIJobcrqaqFCDsRsAu3lyai8KQ,part_304,2026-09-20 20:50:39
Water Purifier dealers,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 92498 27472,N/A,4.8,59,"G89Q+QV5, Kommady, Kaichoondi, Alappuzha, Keralam 688013","Kommady, Kaichoondi",9.5193751,76.3397241,ChIJIZ8x7z-ECDsRhkD2Rs-YUh0,https://www.google.com/maps/place/?q=place_id:ChIJIZ8x7z-ECDsRhkD2Rs-YUh0,part_304,2026-09-20 20:50:39
PURIFIER SERVICE AND SALES IN MUMBAI,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 79773 63488,N/A,4.9,348,"606/8, Vikhroli Link Road, opp. Milind Nagar, near L & T Gate, Mmrda Colony, Jogeswari, Powai, Mumbai, Maharashtra 400072","Mmrda Colony, Jogeswari, Powai",19.124657199999998,72.8925393,ChIJf7PsZAbJ5zsRlcsWKkSOLgE,https://www.google.com/maps/place/?q=place_id:ChIJf7PsZAbJ5zsRlcsWKkSOLgE,part_304,2026-09-20 20:50:39
Dream Light Water Technologies Pvt Ltd,RO Water Purifier Sales and Service,Water purification company,Water purification company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 62826 02584,https://wawawaterpurifiers.com/,4.8,383,"39/404, Temple 404-1, Vilyannur Ring Road opposite Trichur Surgucals, Temple Rd, near to Veliyannur, opposite Trichur, Surgucals, Thrissur, Keralam 680021","Surgucals, Veliyannur",10.5160193,76.2113206,ChIJ4eYgYTfupzsRFFMfQ7SkN_4,https://www.google.com/maps/place/?q=place_id:ChIJ4eYgYTfupzsRFFMfQ7SkN_4,part_304,2026-09-20 20:50:39
Crystal Home Solutions (KENT RO SYSTEMS),RO Water Purifier Sales and Service,Water purification company,Water purification company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 85940 54441,https://crystal-home-solutions.business.site/?utm_source=gmb&utm_medium=referral,4.2,25,"N.H. Kandoth, Payyanur, Keralam 670307",689121,12.1219641,75.21733979999999,ChIJj0sIZzhtpDsRndsz2Wp59r8,https://www.google.com/maps/place/?q=place_id:ChIJj0sIZzhtpDsRndsz2Wp59r8,part_304,2026-09-20 20:50:39
Wasser Solutions,RO Water Purifier Sales and Service,Water purification company,Water purification company,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 96565 60999,https://instagram.com/wasser_solutions?igshid=YmMyMTA2M2Y=,4.7,65,"Konchery Rd, M G Kavu, Thrissur, Killannur, Keralam 680581",M G Kavu,10.591648099999999,76.2131682,ChIJZfvR25_ppzsR5nlpOR2I9C8,https://www.google.com/maps/place/?q=place_id:ChIJZfvR25_ppzsR5nlpOR2I9C8,part_304,2026-09-20 20:50:39
Index India - Water Purifier,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 97441 25000,N/A,2.8,12,"7CMR+R44, Haripad, Keralam 690548",689121,9.2845128,76.44033329999999,ChIJCWLBF_afCDsRDae1gdCD4TM,https://www.google.com/maps/place/?q=place_id:ChIJCWLBF_afCDsRDae1gdCD4TM,part_304,2026-09-20 20:50:40
