business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
K2web Solutions,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Market researcher, Marketing agency",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 99472 42702,https://k2web.in/,4.8,,"NH Bypass, Chakkalakkal, Palarivattom, Ernakulam, Keralam 682025","Chakkalakkal, Palarivattom",9.995766399999999,76.31409699999999,ChIJX1zWU9ENCDsRUqMf5xyn4_Y,https://www.google.com/maps/place/?q=place_id:ChIJX1zWU9ENCDsRUqMf5xyn4_Y,part_304,2026-09-20 20:51:30
Monday Graph- Digital Marketing Agency | SEO Agency | Online Marketing Agency | Search Engine Optimization,Local SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 95600 79891,https://mondaygraph.com/,5.0,,"Monday Graph- Digital Marketing Agency | SEO Agency | Online Marketing Agency | Search Engine Optimization, 689122, India",689122,28.422601099999998,76.9900807,ChIJ1WOHQYe-hWsRN23yEyfo2zE,https://www.google.com/maps/place/?q=place_id:ChIJ1WOHQYe-hWsRN23yEyfo2zE,part_304,2026-09-20 20:51:31
Kerala Digital Park LLP,Local SEO Agencies,Website designer,"Website designer, Business development service, Computer support and services, E-commerce service, Marketing consultant, Process server, Web hosting company",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 80783 59662,https://keraladigitalpark.com/,4.9,,"1st Floor, Pookuzhi Building, Kothamangalam, Nellikuzhi, Keralam 686691",Kothamangalam,10.0746145,76.591096,ChIJQ0j0RsxGkw4RAe71yCxnEBs,https://www.google.com/maps/place/?q=place_id:ChIJQ0j0RsxGkw4RAe71yCxnEBs,part_304,2026-09-20 20:51:31
The SEO Fly - Digital Marketing Agency,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Computer support and services, Service establishment, Internet marketing service, Marketing consultant, Software company, Web hosting company, Website designer",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 78300 60725,https://theseofly.com/,5.0,,"The SEO Fly - Digital Marketing Agency, 689122, India",689122,9.374110199999999,-74.9524576,ChIJv-4UsyRnUYsR-jIxRLMNQtI,https://www.google.com/maps/place/?q=place_id:ChIJv-4UsyRnUYsR-jIxRLMNQtI,part_304,2026-09-20 20:51:31
Ranking By SEO India,Local SEO Agencies,Internet marketing service,"Internet marketing service, Branding agency, Marketing agency, Marketing consultant, Public relations firm",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 99535 32683,https://www.rankingbyseo.com/,5.0,,"KLJ TOWER-B, Noida One, 615 B-8, Rasoolpur Nawada, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309","Rasoolpur Nawada, Industrial Area, Sector 62",28.6228764,77.36626849999999,ChIJg8SuzfLvDDkR9aVpgkgAS3A,https://www.google.com/maps/place/?q=place_id:ChIJg8SuzfLvDDkR9aVpgkgAS3A,part_304,2026-09-20 20:51:31
Mikano IT Solutions,Local SEO Agencies,Internet marketing service,Internet marketing service,689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 70123 66912,https://www.mikano.in/,4.9,,"Ground Floor, Zamorins Commune Space LLP, Malabar Gate Building, Ram Mohan, Rd, Kozhikode, Keralam 673004","Chindhavalappu, Palayam",11.2525949,75.7869966,ChIJG-EAkztZpjsRFnALJgZtk6U,https://www.google.com/maps/place/?q=place_id:ChIJG-EAkztZpjsRFnALJgZtk6U,part_304,2026-09-20 20:51:31
Freelance Website Designer Trivandrum,Local SEO Agencies,Marketing agency,"Marketing agency, E-commerce service, Graphic designer, Website designer, Software company, Web hosting company",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 96561 80219,https://www.arunvs.in/,4.9,,"Sree Devi,TC 18/1897,SRWA 14, JRA 325, Sreehills Colony, Thirumala, Thiruvananthapuram, Keralam 695006","Sreehills Colony, Thirumala",8.4989211,76.9946428,ChIJE4JVlW66BTsRXEwfcmc3LW0,https://www.google.com/maps/place/?q=place_id:ChIJE4JVlW66BTsRXEwfcmc3LW0,part_304,2026-09-20 20:51:31
MyTrafficBuzz,Local SEO Agencies,Internet marketing service,Internet marketing service,689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 62915 62131,https://www.mytrafficbuzz.com/,4.8,,"17/18, Central Road, Garifa, Naihati, Kolkata, West Bengal 743166","Garifa, Naihati",22.9059195,88.41419549999999,ChIJiRP2KpKV-DkRa8A-yKzP2yM,https://www.google.com/maps/place/?q=place_id:ChIJiRP2KpKV-DkRa8A-yKzP2yM,part_304,2026-09-20 20:51:31
SEO Company Asia,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Service establishment, Marketing agency, Website designer",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",N/A,https://www.seocompany.asia/,5.0,,"SEO Company Asia, 689122, India",689122,45.050399899999995,-47.802320699999996,ChIJearmoK37DDkRdi5RfiP4B-k,https://www.google.com/maps/place/?q=place_id:ChIJearmoK37DDkRdi5RfiP4B-k,part_304,2026-09-20 20:51:31
CREATIVE SPARKS,Local SEO Agencies,Internet marketing service,"Internet marketing service, Website designer, Marketing agency, Web hosting company",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 94001 17204,https://creativesparks.in/,5.0,,"Carithas Jn, Thellakom PO, Kottayam, Keralam 686630",Thellakom,9.6456781,76.5466273,ChIJ6WWAeqjUBzsRIN6vLFBra4Q,https://www.google.com/maps/place/?q=place_id:ChIJ6WWAeqjUBzsRIN6vLFBra4Q,part_304,2026-09-20 20:51:31
