business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ala Grama Panchayat Govt. Veterinary Hospital,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.7,19.0,"7JQ6+8MP, Ala Panippurappadi Sreerangam Rd, Panippurapadi, Ala, Keralam 689520",Panippurapadi,9.2883285,76.6117098,ChIJRynLuREZBjsRKk73aOFU3TI,https://www.google.com/maps/place/?q=place_id:ChIJRynLuREZBjsRKk73aOFU3TI,part_304,2026-09-20 20:52:57
Dr S Jayasree Veterinarian,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",+91 94468 86973,N/A,4.9,29.0,"PK Junction Bus Stop, SH40, Kavunkal, Ward 2, Mannanchery, Keralam 688538","Kavunkal, Ward 2",9.589713,76.354275,ChIJrx8NscSHCDsRyMmSw78-4ec,https://www.google.com/maps/place/?q=place_id:ChIJrx8NscSHCDsRyMmSw78-4ec,part_304,2026-09-20 20:52:57
"Govt. Veterinary Hospital, Ambalappuzha",Veterinary Clinic and Pet Hospital,Hospital,Hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.5,4.0,"99J9+VWH, Ambalapuzha, Keralam 688561",689126,9.3821943,76.3698539,ChIJ0YNvt-CdCDsRjjRIu_LY_EM,https://www.google.com/maps/place/?q=place_id:ChIJ0YNvt-CdCDsRjjRIu_LY_EM,part_304,2026-09-20 20:52:57
"Veterinary Hospital Arattupuzha, Alappuzha dist",Veterinary Clinic and Pet Hospital,Veterinary pharmacy,Veterinary pharmacy,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.7,6.0,"5CXM+QVC, Trikkunnapuzha - Valeezhazhikal Rd, Arattupuzha, Keralam 690535",689126,9.1994259,76.43464279999999,ChIJGY_wWtGhCDsRr5nIAbafXCw,https://www.google.com/maps/place/?q=place_id:ChIJGY_wWtGhCDsRr5nIAbafXCw,part_304,2026-09-20 20:52:57
"Veterinary Dispensary, Mararikulam South",Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",+91 477 224 9125,N/A,4.1,57.0,"H839+W5R, Kattoor, Aryad South, Alappuzha, Keralam 688522",Kattoor,9.5548729,76.31788279999999,ChIJEZU2-4mGCDsRqFrCE3Twd64,https://www.google.com/maps/place/?q=place_id:ChIJEZU2-4mGCDsRqFrCE3Twd64,part_304,2026-09-20 20:52:57
Govt. Veterinary Hospital Cherthala,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.1,145.0,"near x-ray junction, 688524,, Cherthala, Keralam 688524",Chakkarakulam,9.6756815,76.3414833,ChIJM5Z95DV8CDsRGf6eyC8pjxQ,https://www.google.com/maps/place/?q=place_id:ChIJM5Z95DV8CDsRGf6eyC8pjxQ,part_304,2026-09-20 20:52:57
Veterinary Hospital,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,3.7,27.0,"8F95+8RV, Haripad - Veeyapuram Rd, Karuvatta, Payipad, Keralam 690514",689126,9.3183662,76.4595394,ChIJU2kEtnkgBjsRrAGQ0N9t6Tg,https://www.google.com/maps/place/?q=place_id:ChIJU2kEtnkgBjsRrAGQ0N9t6Tg,part_304,2026-09-20 20:52:57
Thekekkara Veterinary Hospital,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.0,36.0,"6G3X+X94, Olaketti-Chunakkara Rd, Thekkekara, Kerala 690107",689126,9.2048968,76.5484579,ChIJd0GzMKseBjsRyxP0tcB3SvU,https://www.google.com/maps/place/?q=place_id:ChIJd0GzMKseBjsRyxP0tcB3SvU,part_304,2026-09-20 20:52:57
Veterinary Clinic Thuruthy,Veterinary Clinic and Pet Hospital,Veterinary pharmacy,Veterinary pharmacy,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.0,,"FGH9+JJQ, Thuruthy - Narakathara Rd, Cheruthuruthy, Thuruthy, Keralam 686535",Cheruthuruthy,9.479086299999999,76.51911419999999,ChIJU8M-DQQpBjsRmF_8xoLpxtU,https://www.google.com/maps/place/?q=place_id:ChIJU8M-DQQpBjsRmF_8xoLpxtU,part_304,2026-09-20 20:52:58
Punnapra North Veterinary Dispensary,Veterinary Clinic and Pet Hospital,Pharmacy,Pharmacy,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.0,,"F83V+FWF, Kalarcode, Thookkukulam, Paravur, Kerala 688014","Kalarcode, Thookkukulam",9.4536775,76.3448061,ChIJLRpcyrSECDsRNkHX7KT8c4E,https://www.google.com/maps/place/?q=place_id:ChIJLRpcyrSECDsRNkHX7KT8c4E,part_304,2026-09-20 20:52:59
Veterinary Hospital Ayaparampu,Veterinary Clinic and Pet Hospital,Veterinary pharmacy,Veterinary pharmacy,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,3.5,,"8CFR+PWP, Cheruthana, Kuttanad Taluk, Keralam 690517",689126,9.3243432,76.4423415,ChIJb-fkqc2fCDsRx3MY4__RWjo,https://www.google.com/maps/place/?q=place_id:ChIJb-fkqc2fCDsRx3MY4__RWjo,part_304,2026-09-20 20:52:59
Veterinary Dispensary Vaduthala,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",N/A,N/A,4.2,,"V86G+WCP, Arookutty, Keralam 688535",Arookutty,9.862326999999999,76.326075,ChIJyY6xTAxxCDsRRkRREKyKn0w,https://www.google.com/maps/place/?q=place_id:ChIJyY6xTAxxCDsRRkRREKyKn0w,part_304,2026-09-20 20:52:59
