business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Signature paperbags,Businesses,Manufacturer,Manufacturer,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,26.0,"7J5Q+6J, Mulakuzha, Keralam 689521",689521,9.2580625,76.6390625,ChIJedoGfeYZBjsROHkR2UFhGpI,https://www.google.com/maps/place/?q=place_id:ChIJedoGfeYZBjsROHkR2UFhGpI,part_304,2026-09-20 21:04:21
Kozhuvalloor,Businesses,Housing development,Housing development,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,4.0,1.0,"7J6P+9M2, Kozhuvalloor, Ala, Mulakuzha, Keralam 689521",Kozhuvalloor,9.2608835,76.6366343,ChIJG4pdNQAZBjsRh8TKUpIGkf8,https://www.google.com/maps/place/?q=place_id:ChIJG4pdNQAZBjsRh8TKUpIGkf8,part_304,2026-09-20 21:04:21
HARIKUMAR. DEEPAM,Businesses,Housing complex,Housing complex,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,3.0,"7J5R+925, Kozhuvalloor, Ala, Mulakuzha, Keralam 689521",Kozhuvalloor,9.258379999999999,76.6401241,ChIJddpTXQAZBjsRygI0PlYRMjA,https://www.google.com/maps/place/?q=place_id:ChIJddpTXQAZBjsRygI0PlYRMjA,part_304,2026-09-20 21:04:21
നന്ദാവനം,Businesses,Housing complex,Housing complex,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,1.0,"7J6Q+QF, Mulakuzha, Keralam 689521",689521,9.262007299999999,76.6387168,ChIJ5YXUBQAZBjsR9EthbwTiBfI,https://www.google.com/maps/place/?q=place_id:ChIJ5YXUBQAZBjsR9EthbwTiBfI,part_304,2026-09-20 21:04:21
Mulavelil Devathrayam,Businesses,Apartment building,Apartment building,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,1.0,"7J3R+GQ2, Aranthakad, Venmony, Mulakuzha, Keralam 689521",Aranthakad,9.2537669,76.64189809999999,ChIJr_jk8dcXBjsRAy3sp_AlkfQ,https://www.google.com/maps/place/?q=place_id:ChIJr_jk8dcXBjsRAy3sp_AlkfQ,part_304,2026-09-20 21:04:21
P. A. Bhavanam parappuram,Businesses,Housing complex,Housing complex,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,4.0,2.0,"7J7Q+VVX, Mulakuzha, Keralam 689521",689521,9.2647333,76.63974619999999,ChIJ5SmsFgAZBjsRKkqOe993mSc,https://www.google.com/maps/place/?q=place_id:ChIJ5SmsFgAZBjsRKkqOe993mSc,part_304,2026-09-20 21:04:21
Elavumtharayil House,Businesses,Housing complex,Housing complex,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,1.0,"State Bank of India ATM, Punthala, Venmony, Keralam 689509",Punthala,9.241831699999999,76.6514593,ChIJ-QQtQQAXBjsR-eTNRTo06FY,https://www.google.com/maps/place/?q=place_id:ChIJ-QQtQQAXBjsR-eTNRTo06FY,part_304,2026-09-20 21:04:21
Kaleekkal House,Businesses,Housing development,Housing development,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,,,"Kaleekkal House, Kozhuvalloor PO, Aranthakad, Chengannur, Mulakuzha, Keralam 689521",Aranthakad,9.2561362,76.6406927,ChIJgZbeHAAZBjsRIwzFln9yVTQ,https://www.google.com/maps/place/?q=place_id:ChIJgZbeHAAZBjsRIwzFln9yVTQ,part_304,2026-09-20 21:04:21
Biju varghese Puthen peedikayil Bethel,Businesses,Apartment building,Apartment building,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,4.5,2.0,"7J6P+MW5, Kozhuvalloor - Areekkara - Karakkad Rd, Venmony, Mulakuzha, Keralam 689521",689521,9.261785,76.6360954,ChIJDzmeXRYZBjsRnT--OtmTgV0,https://www.google.com/maps/place/?q=place_id:ChIJDzmeXRYZBjsRnT--OtmTgV0,part_304,2026-09-20 21:04:21
Tapasya,Businesses,Apartment building,Apartment building,689521,Kerala Circle,Kochi Region,Mavelikara Division,Kozhuvallur SO,N/A,N/A,5.0,2.0,"7J7V+7P7, Kozhuvalloor, Ala, Mulakuzha, Keralam 689521",Kozhuvalloor,9.263168199999999,76.64428319999999,ChIJy3z3k1cXBjsRX8pmT-q0NLQ,https://www.google.com/maps/place/?q=place_id:ChIJy3z3k1cXBjsRX8pmT-q0NLQ,part_304,2026-09-20 21:04:21
