business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MPower Energy Solutions,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Electronics manufacturer, Energy equipment and solutions",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 94978 45293,N/A,4.5,,"6QMR+V3W, Vazhamuttom East, Pathanamthitta, Keralam 689646",Vazhamuttom East,9.234812999999999,76.7902466,ChIJDTl0i94VBjsRxqLIYYcoZ-4,https://www.google.com/maps/place/?q=place_id:ChIJDTl0i94VBjsRxqLIYYcoZ-4,part_305,2026-09-20 20:19:03
RK technologies/ RK Solar,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 85939 76701,N/A,4.9,,"College Jct, Makkamkunnu, Mannaramala, Pathanamthitta, Keralam 689645","Makkamkunnu, Mannaramala",9.2586099,76.7760814,ChIJtwNXRI9BBjsRAW5w7HMQ4nQ,https://www.google.com/maps/place/?q=place_id:ChIJtwNXRI9BBjsRAW5w7HMQ4nQ,part_305,2026-09-20 20:19:03
SINE WAVE Solar Panel-Inverter-Battery-WaterHeater-Streetlight Shop/Dealer Alappuzha/Pathanamthitta/Chengannur/Thiruvalla,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Battery Store, Battery Wholesaler, Closed circuit television, Electronics manufacturer, Solar energy system service, Solar energy equipment supplier, Solar hot water system supplier, Solar photovoltaic power plant",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 89211 88921,N/A,5.0,,"ITI jn, opp. Indane gas agency, Chengannur, Keralam 689122",689589,9.310219,76.6224125,ChIJSQGqVRAjBjsRqp25Y74HRKY,https://www.google.com/maps/place/?q=place_id:ChIJSQGqVRAjBjsRqp25Y74HRKY,part_305,2026-09-20 20:19:03
solar inverter batteries panels (Smart Tech Power Solution),Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar energy system service, Solar hot water system supplier, Solar photovoltaic power plant",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",N/A,https://smarttecpowersolutionpathanamthitta.com/,4.4,,"Anickanattu Bldg, North, Kumbazha, Mylapra, Pathanamthitta, Keralam 689671","Kumbazha, Mylapra",9.2787183,76.80038789999999,ChIJ_0MVsnQVBjsRUcMyb96ysPA,https://www.google.com/maps/place/?q=place_id:ChIJ_0MVsnQVBjsRUcMyb96ysPA,part_305,2026-09-20 20:19:03
KALSONS ENERGIES,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Computer service, Electronics repair shop",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 86068 87319,N/A,5.0,,"hospital jn, Kalleli Mukku, Kadammanitta, Keralam 689649",Kalleli Mukku,9.3139184,76.7745228,ChIJtSAtGr4_BjsRt_DmApenRoo,https://www.google.com/maps/place/?q=place_id:ChIJtSAtGr4_BjsRt_DmApenRoo,part_305,2026-09-20 20:19:03
SR TECH SOLUTIONS UTL SOLAR SHOPPE,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Home automation company, Solar energy equipment supplier, Solar hot water system supplier",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 95268 60001,N/A,5.0,,"opposite MYLAPPARA PANCHAYATH OFFICE, MYLAPPARA, Pathanamthitta, Mylapra part, Keralam 689678",MYLAPPARA,9.2908039,76.7980982,ChIJ0Sq6SBwVBjsRhdHNEO6tkVI,https://www.google.com/maps/place/?q=place_id:ChIJ0Sq6SBwVBjsRhdHNEO6tkVI,part_305,2026-09-20 20:19:03
"SOLARBASE (Thiruvalla) (സോളാർ ബേസ്, തിരുവല്ല)",Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar Energy Company, Solar energy system service, Solar hot water system supplier, Solar panel maintenance service, Solar photovoltaic power plant",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 90207 67673,https://solarbaseindia.com/,4.9,,"P.O, Kunnirickal Building, TK Road Kattode, Manjadi, Thiruvalla, Keralam 689105",Panthalam,9.3848267,76.59903,ChIJ5znXXIgjBjsR8Wt881MiEA0,https://www.google.com/maps/place/?q=place_id:ChIJ5znXXIgjBjsR8Wt881MiEA0,part_305,2026-09-20 20:19:03
Plankalayil Agencies,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Battery Wholesaler, Electronics manufacturer, Solar Energy Company, Solar hot water system supplier, Solar photovoltaic power plant",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",N/A,N/A,5.0,,"XXII, 604, Plankalayil Agencies, near, College Jct, Makkamkunnu, Azhoor, Pathanamthitta, Kerala 689645","Makkamkunnu, Azhoor",9.2593535,76.7767313,ChIJ8_yYFH4VBjsRGN8Rz_R-cGI,https://www.google.com/maps/place/?q=place_id:ChIJ8_yYFH4VBjsRGN8Rz_R-cGI,part_305,2026-09-20 20:19:03
Luminaire Energy Solutions,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 89214 09990,N/A,5.0,,"Kaipattoor, Keralam 689648",689589,9.2250944,76.7508678,ChIJWX-C5D0UBjsRkDsz0TFeH3k,https://www.google.com/maps/place/?q=place_id:ChIJWX-C5D0UBjsRkDsz0TFeH3k,part_305,2026-09-20 20:19:03
MILAN SOLAR #v-guard #havells Distributor,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Battery Wholesaler, Electronics manufacturer, Solar energy equipment supplier, Solar hot water system supplier",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 85909 52513,http://www.vguard.in/,4.9,,"T. B. Rd, Changanassery, Keralam 686101",689589,9.4437626,76.5393394,ChIJXyehyjslBjsRxcAor1kDQGg,https://www.google.com/maps/place/?q=place_id:ChIJXyehyjslBjsRxcAor1kDQGg,part_305,2026-09-20 20:19:03
