business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Platino Motors,Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 97449 58913,N/A,4.3,12.0,"F85R+P78, Thukkulam Rd, Kalarcode, Thookkukulam, Paravur, Kerala 688003","Kalarcode, Thookkukulam",9.4598847,76.3405851,ChIJo5MtagCFCDsRqyosVzmrUoQ,https://www.google.com/maps/place/?q=place_id:ChIJo5MtagCFCDsRqyosVzmrUoQ,part_305,2026-09-20 20:19:39
"Maruti Suzuki True Value (Indus Motors, Alappuzha, Cherthala)",Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 484 712 2642,N/A,3.9,160.0,"Kanjikuzhy, Ward 1, Mararikulam, Kanjikkuzhi, Keralam 688582","Kanjikuzhy, Ward 1",9.621090599999999,76.3318997,ChIJzYsFgGSHCDsRnPO78wLDWhQ,https://www.google.com/maps/place/?q=place_id:ChIJzYsFgGSHCDsRnPO78wLDWhQ,part_305,2026-09-20 20:19:39
TRUST N' DRIVE Pre-owned cars,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 77366 13828,N/A,4.9,501.0,"Thiruvananthapuram, Chanthavila, Keralam 695584",689590,8.5957496,76.8886246,ChIJz9vThmS_BTsRs_7rnTrAgUk,https://www.google.com/maps/place/?q=place_id:ChIJz9vThmS_BTsRs_7rnTrAgUk,part_305,2026-09-20 20:19:39
Renault Alappuzha,Car Showroom and Used Car Dealer,Renault dealer,"Renault dealer, Car dealer",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 85272 37941,https://www.renault.co.in/,4.9,2770.0,"Kalarcode, Punnapra, Alappuzha, Paravur, Keralam 688014","Kalarcode, Punnapra",9.4489933,76.3425929,ChIJDdNKO0qbCDsRh-o_Jw33LUY,https://www.google.com/maps/place/?q=place_id:ChIJDdNKO0qbCDsRh-o_Jw33LUY,part_305,2026-09-20 20:19:39
Incheon Kia,Car Showroom and Used Car Dealer,Kia dealer,Kia dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 81118 79111,https://www.incheonkia.com/,4.9,2616.0,"NH 66, near NTPC Road, Cheppad, Haripad, Keralam 690507",689590,9.241490299999999,76.4693626,ChIJq44nfHsfBjsRJOPgl15d1Tg,https://www.google.com/maps/place/?q=place_id:ChIJq44nfHsfBjsRJOPgl15d1Tg,part_305,2026-09-20 20:19:39
Maruti Suzuki True Value - Kayamkulam,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 484 712 2641,N/A,4.0,71.0,"Indus Motors Used Cars ,KPAC Junction, Kallummoodu, Kayamkulam, Keralam 690502",Kallummoodu,9.160352399999999,76.5072081,ChIJU2WKE54dBjsR0H1QvL1xpJs,https://www.google.com/maps/place/?q=place_id:ChIJU2WKE54dBjsR0H1QvL1xpJs,part_305,2026-09-20 20:19:39
Rans Motors,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 97470 30030,N/A,4.8,152.0,"Nadakkave Manoor Edappal kuttippuram highway, road, Edappal, Keralam 679582",689590,10.8231099,76.017254,ChIJj-ECuyS5pzsRK2M4sE_3xjI,https://www.google.com/maps/place/?q=place_id:ChIJj-ECuyS5pzsRK2M4sE_3xjI,part_305,2026-09-20 20:19:39
EVM MG Coastline Garages Mavelikara,Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 73063 35395,https://evmmgcoastline.com/,4.9,59.0,"Carathedathu, Puthiyakavu, opposite to Federal Bank, Mavelikara, Keralam 690101",Old Mavelikkara,9.255928599999999,76.5451466,ChIJccB_t0sfBjsRGXJ7UZxIcpk,https://www.google.com/maps/place/?q=place_id:ChIJccB_t0sfBjsRGXJ7UZxIcpk,part_305,2026-09-20 20:19:39
Focuz Automobiles Service LTD,Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 98460 42481,N/A,3.8,277.0,"Thukkulam Rd, Kalarcode, Thookkukulam, Paravur, Keralam 688003","Kalarcode, Thookkukulam",9.457457999999999,76.3408446,ChIJK3-d9LWECDsRxKtZTGvk1tk,https://www.google.com/maps/place/?q=place_id:ChIJK3-d9LWECDsRxKtZTGvk1tk,part_305,2026-09-20 20:19:39
Car Glance,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 94464 84600,N/A,,,"Kanjikuzhy, Kanichukulangara, Cherthala, Kanjikkuzhi, Keralam 688582","Kanjikuzhy, Kanichukulangara",9.629786,76.3334101,ChIJ4weIBjt9CDsRfN_DSy5ifUs,https://www.google.com/maps/place/?q=place_id:ChIJ4weIBjt9CDsRfN_DSy5ifUs,part_305,2026-09-20 20:19:39
Maruti Suzuki Haripad(Nexa&Arena),Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 94956 65807,http://www.marutisuzuki.com/,4.6,14.0,"near sky sports, Haripad, Keralam 690514",689590,9.2810613,76.4480447,ChIJQV_Q3hqhCDsReY2yeYY_gKs,https://www.google.com/maps/place/?q=place_id:ChIJQV_Q3hqhCDsReY2yeYY_gKs,part_305,2026-09-20 20:19:39
Renault Mavelikkara,Car Showroom and Used Car Dealer,Renault dealer,"Renault dealer, Car dealer",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 93118 32966,https://www.renault.co.in/,4.9,542.0,"Sakthi Building, Alappuzha, Thazhakara, Keralam 690102",689590,9.255765799999999,76.5594668,ChIJ04mLG9AYBjsRVv3_dydVjYg,https://www.google.com/maps/place/?q=place_id:ChIJ04mLG9AYBjsRVv3_dydVjYg,part_305,2026-09-20 20:19:39
Palal Toyota,Car Showroom and Used Car Dealer,Toyota dealer,"Toyota dealer, Car dealer",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 75590 12121,https://palaltoyota.com/,5.0,301.0,"2/282 ABC, NH 66, near SBI KOMMADI, Kommady, Thumpoly, Alappuzha, Keralam 688008","Kommady, Thumpoly",9.520196499999999,76.32747379999999,ChIJC_Amq3zoNgQR3aHnyqxAMEY,https://www.google.com/maps/place/?q=place_id:ChIJC_Amq3zoNgQR3aHnyqxAMEY,part_305,2026-09-20 20:19:39
Royal Drive SMART Malappuram,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 73569 06060,https://royaldrivesmart.in/,4.8,791.0,"Calicut road, PO, Machingal, Melmuri, Malappuram, Keralam 676509","Machingal, Melmuri",11.0590099,76.08240599999999,ChIJB6F8W_xLpjsRBE7ddvpMNq0,https://www.google.com/maps/place/?q=place_id:ChIJB6F8W_xLpjsRBE7ddvpMNq0,part_305,2026-09-20 20:19:39
"NEXA (Sai Service, Kayamkulam, K P Road)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 80 6251 1411,https://www.nexaofkayamkulamcentral.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.8,2216.0,"5GG6+5PX West of Railway Over bridge, State Highway 5, Peringala, Kayamkulam, Keralam 690502",Peringala,9.1758186,76.5077913,ChIJbRv2JG0dBjsRWEg8pBCsGcc,https://www.google.com/maps/place/?q=place_id:ChIJbRv2JG0dBjsRWEg8pBCsGcc,part_305,2026-09-20 20:19:39
Nippon Toyota Kayamkulam,Car Showroom and Used Car Dealer,Toyota dealer,"Toyota dealer, Chauffeur service",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 484 717 0000,https://www.nippon-toyota.com/?utm_source=GmbKayamkulam&utm_medium=GMB-Kayamkulam-Website-Link&utm_campaign=GMB,4.2,852.0,"P.O, NH 47, Ramapuram, Pathiyoor, Keerikkadu, Kayamkulam, Keralam 690531",689590,9.216579399999999,76.47870859999999,ChIJE2YWzhQeBjsRv828aZFJbCU,https://www.google.com/maps/place/?q=place_id:ChIJE2YWzhQeBjsRv828aZFJbCU,part_305,2026-09-20 20:19:39
"NEXA (Popular Vehicles & Services, Alappuzha, Punnapra)",Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 80 6251 2023,https://www.nexaofalappuzhasouth.com/?utm_source=gmb&utm_medium=google,4.4,,"Kalarcode, Punnapra, Alappuzha, Keralam 688003","Kalarcode, Punnapra",9.4548379,76.3407738,ChIJQZ0AYbWECDsRTavuMlDOCzE,https://www.google.com/maps/place/?q=place_id:ChIJQZ0AYbWECDsRTavuMlDOCzE,part_305,2026-09-20 20:19:40
Cars Heaven Single Owner,Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 70124 94955,N/A,4.5,2.0,"Pallipuram, Keralam 688541",689590,9.753486599999999,76.3635803,ChIJdb_boHl7CDsRWTgWYo7KwZA,https://www.google.com/maps/place/?q=place_id:ChIJdb_boHl7CDsRWTgWYo7KwZA,part_305,2026-09-20 20:19:41
Car galaxy,Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 99474 61700,N/A,4.0,24.0,"Vadakke Kapyanath House, 144, Nedumprakkad Rd, Ward 5, Keralam 688524",Ward 5,9.701231,76.3474659,ChIJBQjYzvl9CDsRyDLOH_9Tj-k,https://www.google.com/maps/place/?q=place_id:ChIJBQjYzvl9CDsRyDLOH_9Tj-k,part_305,2026-09-20 20:19:41
Super7Motrz,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 80866 66737,http://www.super7motrz.com/,5.0,18.0,"Super7motrz Vellakinar, Junction, Thalavady, Kuttanad Taluk, Keralam 689572",689590,9.3677321,76.4993655,ChIJtZ2gSHwhBjsRZ4QAfb8ZbUI,https://www.google.com/maps/place/?q=place_id:ChIJtZ2gSHwhBjsRZ4QAfb8ZbUI,part_305,2026-09-20 20:19:41
Popular Maruti True Value Chingavanam,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 80860 78634,N/A,4.8,18.0,"GGGF+7HP, Chingavanam, Kerala 686531",689590,9.525716,76.5239507,ChIJn4I4JAApBjsRs_Dx9tXmYUQ,https://www.google.com/maps/place/?q=place_id:ChIJn4I4JAApBjsRs_Dx9tXmYUQ,part_305,2026-09-20 20:19:41
Maruti suzuki(Maijo Moto),Car Showroom and Used Car Dealer,Car dealer,Car dealer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 87142 23252,N/A,4.5,60.0,"Murikumoodu, Kayamkulam, Keralam 690502",689590,9.1759586,76.5137434,ChIJRRCgplsdBjsRhVfQtnfxP3Y,https://www.google.com/maps/place/?q=place_id:ChIJRRCgplsdBjsRhVfQtnfxP3Y,part_305,2026-09-20 20:19:41
