business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hindlabs MRI Scan Centre,Diagnostic Center,Diagnostic center,Diagnostic center,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 477 228 2319,http://hindlabs.in/,4.4,,"At TD Medical College Hospital, Hospital West Road, Vandanam, Keralam 688005",689590,9.4078544,76.348337,ChIJlc0Kyp2bCDsRSo_8BYZjU-M,https://www.google.com/maps/place/?q=place_id:ChIJlc0Kyp2bCDsRSo_8BYZjU-M,part_305,2026-09-20 20:19:37
Metrix Scans & Laboratories,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,4.7,,"F8RP+P6V, Kodiveedu, Alappuzha, Keralam 688001",Kodiveedu,9.491861499999999,76.3355462,ChIJo9FrXgCFCDsRgj07vh46_b4,https://www.google.com/maps/place/?q=place_id:ChIJo9FrXgCFCDsRgj07vh46_b4,part_305,2026-09-20 20:19:37
"Metropolis Labs | Blood Test, ECG, Radiology & Diagnostic Centre in Puram, Alappuzha",Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory, Pathologist, Wellness center",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 495 425 1016,https://www.metropolisindia.com/lab/diagnostic-centre-in-an-puram-opposite-general-hospital-alappuzha,4.9,,"Ground Floor, AN Puram, opposite General Hospital, Mullakkal, Alappuzha, Keralam 688011",Mullakkal,9.490421,76.3391018,ChIJEwP0QvOECDsRUseQ4szsf-Q,https://www.google.com/maps/place/?q=place_id:ChIJEwP0QvOECDsRUseQ4szsf-Q,part_305,2026-09-20 20:19:37
Chethana Janakeeya Lab,Diagnostic Center,Laboratory,Laboratory,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 477 228 2277,N/A,4.1,,"Neerkunnam, Vandanam, Keralam 688005",Neerkunnam,9.409667299999999,76.3485157,ChIJLfhiGZ2bCDsRqZrC2ExF-aE,https://www.google.com/maps/place/?q=place_id:ChIJLfhiGZ2bCDsRqZrC2ExF-aE,part_305,2026-09-20 20:19:37
"Care Labs & Diagnostic Centre - Poochakkal (Laboratory, X-ray & ECG)",Diagnostic Center,Diagnostic center,"Diagnostic center, Laboratory, Medical diagnostic imaging center, Medical laboratory, X-ray lab",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95445 87774,https://carelabsdiagnostics.com/,5.0,,"Poochakkal, Lycium Junction, Poochakkal, Keralam 688526",Poochakkal,9.8005193,76.35382059999999,ChIJ_6amlQd6CDsRNXflTs18sx4,https://www.google.com/maps/place/?q=place_id:ChIJ_6amlQd6CDsRNXflTs18sx4,part_305,2026-09-20 20:19:37
MIDAS SCANS & LABS,Diagnostic Center,Diagnostic center,"Diagnostic center, Laboratory",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 62387 89769,https://www.midasscans.com/,3.6,,"Kodiveedu, Alappuzha, Keralam 688001",Kodiveedu,9.4915706,76.33819489999999,ChIJX_RvhPSECDsRUgudYRlstLI,https://www.google.com/maps/place/?q=place_id:ChIJX_RvhPSECDsRUgudYRlstLI,part_305,2026-09-20 20:19:37
Welcare Diagnostic Centre,Diagnostic Center,Laboratory,Laboratory,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 86068 84881,N/A,4.9,,"5GG4+4RC, near Federal Bank, Kayamkulam, Keralam 690502",689590,9.1753814,76.5070183,ChIJI-VjNEocBjsRS5eVmNE4UJI,https://www.google.com/maps/place/?q=place_id:ChIJI-VjNEocBjsRS5eVmNE4UJI,part_305,2026-09-20 20:19:37
Care Labs & Diagnostic Centre - Thrichattukulam,Diagnostic Center,Diagnostic center,"Diagnostic center, Medical laboratory, Laboratory",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95445 87772,https://carelabsdiagnostics.com/,5.0,,"near Federal Bank, Thrichattukulam, Panavally, Keralam 688526",Thrichattukulam,9.8341286,76.3357078,ChIJXxWNG-ZwCDsRQjnn1jRaNAM,https://www.google.com/maps/place/?q=place_id:ChIJXxWNG-ZwCDsRQjnn1jRaNAM,part_305,2026-09-20 20:19:37
DOCTORS Diagnostic Clinic,Diagnostic Center,Diagnostic center,Diagnostic center,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 479 241 5313,https://www.doctorsdiagnosticclinic.com/,3.4,,"7FH6+32C, Haripad, Keralam 690514",689590,9.277695699999999,76.4600292,ChIJj5OLLPwfBjsR3qkMibo-dw0,https://www.google.com/maps/place/?q=place_id:ChIJj5OLLPwfBjsR3qkMibo-dw0,part_305,2026-09-20 20:19:37
Velakkalam Medicals,Diagnostic Center,Medical Center,Medical Center,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,4.5,,"CFF7+JV3, SH11, Ramankary, Kuttanad Taluk, Keralam 689595",689590,9.4240016,76.4646609,ChIJs7w1oYUnBjsRnXmYbFCXcyA,https://www.google.com/maps/place/?q=place_id:ChIJs7w1oYUnBjsRnXmYbFCXcyA,part_305,2026-09-20 20:19:37
Kappil Koippallil Ayurveda Medical Center,Diagnostic Center,Hospital,Hospital,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95442 45551,N/A,3.0,,"CCQW+GG5, Road, Punnakunnam, Kuttanad Taluk, Keralam 688504",689590,9.4387642,76.446358,ChIJzWfW4FydCDsRXhqEQwvn4_Y,https://www.google.com/maps/place/?q=place_id:ChIJzWfW4FydCDsRXhqEQwvn4_Y,part_305,2026-09-20 20:19:37
