business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ICE LOFT,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95395 31994,https://www.iceloft.in/,4.8,,"opp. ST JOSEPH WOMEN'S COLLEGE, Convent Square, Sea View Ward, Alappuzha, Keralam 688012","Convent Square, Sea View Ward",9.4981561,76.32851339999999,ChIJrzapJACFCDsRvfuRz0E7St8,https://www.google.com/maps/place/?q=place_id:ChIJrzapJACFCDsRvfuRz0E7St8,part_305,2026-09-20 20:19:30
Icespot Pulinkunnu,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 90489 28627,https://icespot.co/,5.0,,"Kidangara Mankombu Rd, opposite Cusat engineering college, Pullinkunnu, Keralam 688504",689590,9.460434,76.4390251,ChIJeTDnEACDCDsRi3m0uc_n5xQ,https://www.google.com/maps/place/?q=place_id:ChIJeTDnEACDCDsRi3m0uc_n5xQ,part_305,2026-09-20 20:19:30
Lilpops Ice & Ice Cream Café Haripad,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,5.0,,"Lilpops Ice & Ice Cream Cafè, East of Townhall (on Nagari, Temple Rd, Haripad, Keralam 690514",689590,9.2837154,76.4551863,ChIJNeASZQChCDsRhXh0Adt6DVg,https://www.google.com/maps/place/?q=place_id:ChIJNeASZQChCDsRhXh0Adt6DVg,part_305,2026-09-20 20:19:30
Italian Diary,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,2.5,,"CFF7+P9V, Ramankary, Kuttanad Taluk, Kerala 689595",689590,9.424394999999999,76.4632488,ChIJ8xJnSQAnBjsRGJufyLDt84Y,https://www.google.com/maps/place/?q=place_id:ChIJ8xJnSQAnBjsRGJufyLDt84Y,part_305,2026-09-20 20:19:30
"Leo Food products, Alappuzha (Olive Ice Creams, Dairy Delite)",Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 82899 72013,N/A,4.2,,"Manalady, Kuttanad Taluk, Keralam 689595",Manalady,9.434685199999999,76.4516383,ChIJL_hl47mdCDsR6hYGdwSG9mc,https://www.google.com/maps/place/?q=place_id:ChIJL_hl47mdCDsR6hYGdwSG9mc,part_305,2026-09-20 20:19:30
Milky Way - Milma Parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 90376 76707,N/A,4.9,,"01, School, Near, Chakkarakkulam Rd, Chakkarakulam, Alappuzha, Cherthala, Kerala 688539",Chakkarakulam,9.678481999999999,76.3481123,ChIJ--Kk6rB9CDsRGHB3_q0IhH0,https://www.google.com/maps/place/?q=place_id:ChIJ--Kk6rB9CDsRGHB3_q0IhH0,part_305,2026-09-20 20:19:30
Falcon Ice Creams,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 70259 91170,https://falconicecream.com/,4.5,,"NJARAYILKONAM P.O, MADAVOOR, THIRUVANANTHAPURAM, Keralam 695602",689590,8.8006733,76.80982379999999,ChIJS4glTJPnBTsRV9Sgn4V1-Hg,https://www.google.com/maps/place/?q=place_id:ChIJS4glTJPnBTsRV9Sgn4V1-Hg,part_305,2026-09-20 20:19:30
Bake Mart,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95392 84570,N/A,5.0,,"CFCF+P75, mampuzhakkary, Edathua Mampuzhakari Rd, Mithrakari, Keralam 689595",689590,9.4217551,76.4732247,ChIJFwza5psnBjsRMaVGN7Yw0l8,https://www.google.com/maps/place/?q=place_id:ChIJFwza5psnBjsRMaVGN7Yw0l8,part_305,2026-09-20 20:19:30
Creamery agencies,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95449 99080,N/A,4.0,,"H88X+M4R, Adivaram, Ward 6, Mannanchery, Keralam 688538","Adivaram, Ward 6",9.5667312,76.34777369999999,ChIJI7y3BgCHCDsRwlXKnZCs7Yo,https://www.google.com/maps/place/?q=place_id:ChIJI7y3BgCHCDsRwlXKnZCs7Yo,part_305,2026-09-20 20:19:32
Milky White Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 94956 75131,https://milkywhiteicecreams.com/,4.5,,"Njarukkutty-Vandamattom Rd, P.O, Vandamattom, Kodikulam, Keralam 685582",P.O,9.9291282,76.7542568,ChIJv0L2-WrBBzsR1wkZfPyO30I,https://www.google.com/maps/place/?q=place_id:ChIJv0L2-WrBBzsR1wkZfPyO30I,part_305,2026-09-20 20:19:32
