business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
INTWAY INTERIORS,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 96054 81294,http://www.intway.in/,4.8,,"Alummud Jn, 689622, Eramathoor, Mannar, Keralam 689622",Eramathoor,9.3082976,76.5328935,ChIJRTP2t-whBjsRECObSxuHuIk,https://www.google.com/maps/place/?q=place_id:ChIJRTP2t-whBjsRECObSxuHuIk,part_305,2026-09-20 20:19:45
Unique Home Interior & Furnishing,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95393 50297,https://unique-interior.in/,5.0,,"Poomkavu, Aryad South, Alappuzha, Keralam 688008",Poomkavu,9.5250776,76.3216587,ChIJZZjyuDOECDsRvfVPFoPnVrM,https://www.google.com/maps/place/?q=place_id:ChIJZZjyuDOECDsRvfVPFoPnVrM,part_305,2026-09-20 20:19:45
skylark iNside,Interior Designers,Interior designer,"Interior designer, Civil engineer, Real Estate Builders & Construction Company, Architecture firm",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 90617 37733,http://skylarkinside.com/,4.9,,"South P.O, Vettathumukku-Kanakakkunnu, Muthukulam, Keralam 690535",689590,9.2059108,76.46219669999999,ChIJ-Yq-fgQeBjsRClIlOAcvcQc,https://www.google.com/maps/place/?q=place_id:ChIJ-Yq-fgQeBjsRClIlOAcvcQc,part_305,2026-09-20 20:19:45
SKYWOOD INTERIORS Thiruvalla/Chenganacherry/Adoor,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 89215 96939,N/A,4.6,,"first floor, 736 room no,Kallisserry, P.O, Kochukottarathil building, Keralam 689124",689590,9.3361252,76.6036663,ChIJW_I0s0cjBjsRnr6oCOZ2-nk,https://www.google.com/maps/place/?q=place_id:ChIJW_I0s0cjBjsRnr6oCOZ2-nk,part_305,2026-09-20 20:19:45
FABDIGS INTERIO,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,,,"Fabdigs Interio, Pallikuttumma Bridge, Kuttanad Taluk, Keralam 688503",689590,9.4297997,76.4431041,ChIJdd6vl92dCDsRrHIypNG5ujY,https://www.google.com/maps/place/?q=place_id:ChIJdd6vl92dCDsRrHIypNG5ujY,part_305,2026-09-20 20:19:45
EDEN DESIGNS,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,4.5,,"FFF6+RW7, Kavalam, Kerala 688506",689590,9.4745255,76.46228789999999,ChIJ_bMNwW8pBjsRxWf8CV6r7bY,https://www.google.com/maps/place/?q=place_id:ChIJ_bMNwW8pBjsRxWf8CV6r7bY,part_305,2026-09-20 20:19:45
Dhiya Interior desigs,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,5.0,,"near Post Office, Vezhapra, Kuttanad Taluk, Keralam 689595",689590,9.4208581,76.4624462,ChIJPw9Fz6WdCDsRjQjwbwtOx00,https://www.google.com/maps/place/?q=place_id:ChIJPw9Fz6WdCDsRjQjwbwtOx00,part_305,2026-09-20 20:19:45
appan's Interior works,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",N/A,N/A,5.0,,"Haripad Town Rd, Haripad, Keralam 690514",689590,9.276593,76.4502941,ChIJRcvsTlifCDsRvRu92PYKYFE,https://www.google.com/maps/place/?q=place_id:ChIJRcvsTlifCDsRvRu92PYKYFE,part_305,2026-09-20 20:19:45
AM De Decor,Interior Designers,Interior designer,Interior designer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 95443 96085,http://www.amdedecor.com/,4.9,36.0,"3rd Floor, Aryankala Arcade, Kottayam, Ettumanoor, Keralam 686631",689590,9.6761223,76.55819079999999,ChIJkRBXKx3TBzsRUWEjXKvTdfA,https://www.google.com/maps/place/?q=place_id:ChIJkRBXKx3TBzsRUWEjXKvTdfA,part_305,2026-09-20 20:19:46
INTERIOR DESIGNING COMPANY (iDC'pvt),Interior Designers,Furniture Manufacturer,Furniture Manufacturer,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 70341 11300,https://www.facebook.com/profile.php?id=100067567302339&mibextid=ZbWKwL,5.0,23.0,"Pazhayakadu, udhaya Rani road, near Railway Cross Road, Pathirappally, Pattukalam, Alappuzha, Keralam 688521","Pathirappally, Pattukalam",9.5482719,76.31977739999999,ChIJxWDSvASHCDsRXe--pDrjQ4g,https://www.google.com/maps/place/?q=place_id:ChIJxWDSvASHCDsRXe--pDrjQ4g,part_305,2026-09-20 20:19:47
