business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Molootty Travels,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",N/A,N/A,5.0,2,"Kamparameppurathu house, p.o, Prakkanam, Pathanamthitta, Keralam 689643","p.o, Prakkanam",9.2697854,76.74218479999999,ChIJicPXtvgVBjsRQfc61S9g9U8,https://www.google.com/maps/place/?q=place_id:ChIJicPXtvgVBjsRQfc61S9g9U8,part_305,2026-09-20 20:34:50
Kuttoos Autos,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 62385 84414,N/A,2.0,1,"Kuttoos Auto, Kozhencherry Poyanil, Kozhencherry, Keralam 689641",689641,9.3366565,76.7083986,ChIJgWOTSvE9BjsRlCHMBcfHUx8,https://www.google.com/maps/place/?q=place_id:ChIJgWOTSvE9BjsRlCHMBcfHUx8,part_305,2026-09-20 20:34:50
Poozhikalayil Tours & Travels,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 94467 55493,N/A,4.3,21,"9M55+58G, Kumbanad-Pullad Rd, Kumbanad, Keralam 689547",689641,9.3579325,76.6583199,ChIJyyXmA-09BjsRpBY0W8cGOmQ,https://www.google.com/maps/place/?q=place_id:ChIJyyXmA-09BjsRpBY0W8cGOmQ,part_305,2026-09-20 20:34:50
Airwings holidays,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",N/A,N/A,4.8,9,"Kadammanitta, Kerala 689649",689641,9.3199052,76.76860099999999,ChIJ_Q4LifE_BjsRPx6z77SaEPM,https://www.google.com/maps/place/?q=place_id:ChIJ_Q4LifE_BjsRPx6z77SaEPM,part_305,2026-09-20 20:34:51
Cochin Car Rental,Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Car leasing service, Chauffeur service, Limousine service, Sightseeing Tour Operator, Tour operator",689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 79942 58889,https://cochincarrental.com/,4.8,273,"52/3168A, Sreevalsam NH 47 Bypass Road P.O, Vyttila, Kochi, Keralam 682019",Vyttila,9.9655791,76.3179268,ChIJ_cZF6xgGCDsRpUMrYy_wrxk,https://www.google.com/maps/place/?q=place_id:ChIJ_cZF6xgGCDsRpUMrYy_wrxk,part_305,2026-09-20 20:34:52
Hai Cabs Cochin,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 70126 50870,http://www.haicabs.com/,5.0,598,"2nd floor, poovelilil building 2nd cross road, Manappatti Parambu Rd, Kaloor, Kochi, Keralam 682017","Ernakulam North, Kaloor",9.9929771,76.28833,ChIJVd_fxBYNCDsRNRS8ohN5ock,https://www.google.com/maps/place/?q=place_id:ChIJVd_fxBYNCDsRNRS8ohN5ock,part_305,2026-09-20 20:34:52
Calicut Holidays,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 97476 06607,https://calicutholidays.com/,5.0,741,"Annie Hall Rd, Palayam, Kozhikode, Keralam 673002",Palayam,11.2453329,75.7832866,ChIJgZwwdhxZpjsRleQC5TkHsyc,https://www.google.com/maps/place/?q=place_id:ChIJgZwwdhxZpjsRleQC5TkHsyc,part_305,2026-09-20 20:34:52
Dream seven TRAVEL Hub,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 99955 50218,https://dreamseventravels.com/,5.0,36,"New, MRS Building, Tc28/594, sangeeth Nagar 3RD Cross, P. O, Thycaud, Thiruvananthapuram, Keralam 695014","P. O, Thycaud",8.4909208,76.9551197,ChIJy3HPVa67BTsR-9LDapC7wdo,https://www.google.com/maps/place/?q=place_id:ChIJy3HPVa67BTsR-9LDapC7wdo,part_305,2026-09-20 20:34:52
Kerala Taxi Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Sightseeing Tour Operator",689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 484 401 1052,http://www.keralataxicab.com/,4.3,11,"near, KP Vallon Rd, Indira Nagar, Kadavanthra, Kochi, Ernakulam, Keralam 682020","Indira Nagar, Kadavanthra",9.9609234,76.3022537,ChIJl8cwEM9yCDsRz634kSiINK0,https://www.google.com/maps/place/?q=place_id:ChIJl8cwEM9yCDsRz634kSiINK0,part_305,2026-09-20 20:34:52
Kumar Taxis,Taxi Service and Car Rental,Taxi service,Taxi service,689641,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kozhencherry SO, Kozhencherry East BO, Kozhencherry College SO",+91 484 222 5558,N/A,3.9,51,"X755+35V, Palace Rd, Anavathil, Kappalandimukku, Mattancherry, Kochi, Keralam 682002","Anavathil, Kappalandimukku, Mattancherry",9.957734,76.2579305,ChIJQQQt70RtCDsRd9P9sBsBh94,https://www.google.com/maps/place/?q=place_id:ChIJQQQt70RtCDsRd9P9sBsBh94,part_305,2026-09-20 20:34:52
