business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Coconest - Coconut Oil Mill and Spice Shop in Pathanamthitta,Organic Food Store,Organic shop,"Organic shop, Food manufacturer, Mill, Spice store",689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",N/A,N/A,5.0,13.0,"Charivukalayil building, Mannarakulanji P. O, near market junction, Pathanamthitta, Mylapra part, Keralam 689678",689678,9.307964499999999,76.8040211,ChIJTW2yIZ0_BjsRUn4xeAY74_w,https://www.google.com/maps/place/?q=place_id:ChIJTW2yIZ0_BjsRUn4xeAY74_w,part_306,2026-09-20 20:18:56
"DXN Authorised Stockist, Harsha Wellness center",Organic Food Store,Health food store,Health food store,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 94959 26208,N/A,4.2,5.0,"Behind mini civil station, Pathanamthitta, Keralam 689645",689678,9.2638841,76.7877254,ChIJTfR383oVBjsRgzVmeTez0ok,https://www.google.com/maps/place/?q=place_id:ChIJTfR383oVBjsRgzVmeTez0ok,part_306,2026-09-20 20:18:56
Dxn Distributor,Organic Food Store,Natural goods store,Natural goods store,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 70259 67874,https://www.dxn2uasia.com/pws/990894700,4.6,5.0,"s, Muttukudukkayil, prakkanam, P O, Sujeesh kumar.m, Pathanamthitta, Keralam 689643",Karimarathinal,9.2812553,76.7896769,ChIJYcricqQVBjsRWVN8X0A_ofs,https://www.google.com/maps/place/?q=place_id:ChIJYcricqQVBjsRWVN8X0A_ofs,part_306,2026-09-20 20:18:56
ProteinU,Organic Food Store,Vitamin & supplements store,Vitamin & supplements store,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 79073 59609,N/A,5.0,27.0,"GROUND FLOOR, Landmark - between SP OFFICE junction, traffic and NEW private bus stand, Pathanamthitta Ring Rd, near Delfrez Chicken& meat shop, ProteinU, Thazhevettipram, Pathanamthitta, Keralam 689645","ProteinU, Thazhevettipram",9.272381099999999,76.7916798,ChIJW0EDCxUVBjsRKg0r8esCp8w,https://www.google.com/maps/place/?q=place_id:ChIJW0EDCxUVBjsRKg0r8esCp8w,part_306,2026-09-20 20:18:56
Protein Mart Pathanamthitta,Organic Food Store,Sports nutrition store,Sports nutrition store,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",N/A,N/A,4.9,15.0,"PROTEIN mart pathanamthitta,opposite to police station.market road.R3 complex.2nd floor, Keralam 689645",689678,9.2646179,76.7865199,ChIJtx4gqK0VBjsRHwqu1u2K5so,https://www.google.com/maps/place/?q=place_id:ChIJtx4gqK0VBjsRHwqu1u2K5so,part_306,2026-09-20 20:18:56
Nature’s Choice Oil and Flour Mill,Organic Food Store,Grocery store,Grocery store,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",N/A,N/A,4.7,3.0,"7R84+8PQ, Kumbazha, Mylapra, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.2658534,76.80688909999999,ChIJOWSEhiYVBjsRcnsYanplCxo,https://www.google.com/maps/place/?q=place_id:ChIJOWSEhiYVBjsRcnsYanplCxo,part_306,2026-09-20 20:18:56
"Purplle - TK Road, Pathanamthitta",Organic Food Store,Cosmetics store,"Cosmetics store, Beautician, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Beauty supply store, Hair extensions supplier, Hair removal service, Health and beauty shop",689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 468 232 3213,https://www.purplle.com/,4.8,817.0,"Ground floor, Andicheril Building, 30/571, TK Rd, Pathanamthitta, Keralam 689645",689678,9.2662029,76.78347889999999,ChIJr-l6yzYVBjsR4w8xFnKHdao,https://www.google.com/maps/place/?q=place_id:ChIJr-l6yzYVBjsR4w8xFnKHdao,part_306,2026-09-20 20:18:56
Ars Veg And Chicken,Organic Food Store,Supermarket,Supermarket,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",N/A,N/A,4.4,,"7Q7R+VFC, SH7, Chuttipara, Valanchuzhy, Pathanamthitta, Keralam 689645","Chuttipara, Valanchuzhy",9.2646794,76.7911318,ChIJ4039_g8VBjsReDjFlHlEaoY,https://www.google.com/maps/place/?q=place_id:ChIJ4039_g8VBjsReDjFlHlEaoY,part_306,2026-09-20 20:18:57
Charivukalayil Bakery,Organic Food Store,Bakery and Cake Shop,"Bakery and Cake Shop, Hospital equipment and supplies, Juice shop, Snack bar, Stationery store, Supermarket, Tea store",689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 94474 55865,N/A,3.8,,"Chittoor, Pathanamthitta, Kerala 689645",Chittoor,9.2665583,76.7818036,ChIJl8jUTQgVBjsRrli3uvS4Rsw,https://www.google.com/maps/place/?q=place_id:ChIJl8jUTQgVBjsRrli3uvS4Rsw,part_306,2026-09-20 20:18:58
Hitos By Soja Resin Art And Crafts,Organic Food Store,Gift shop,Gift shop,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 96565 08202,N/A,4.9,,"St Marys HS Rd, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2665917,76.78089039999999,ChIJJ9OvcwAVBjsRvo7I0GiNSpg,https://www.google.com/maps/place/?q=place_id:ChIJJ9OvcwAVBjsRvo7I0GiNSpg,part_306,2026-09-20 20:18:58
