business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Robin Hardwares Vakayar,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 94464 02275,https://www.instagram.com/robinhardwaresvakayar/,5.0,34.0,"Vakayar Main Road Kottayam Mukku Vakayar, Po, Pathanamthitta, Keralam 689698",689691,9.196002499999999,76.85098459999999,ChIJSenh3nFtBjsRx1QyBhbTbzk,https://www.google.com/maps/place/?q=place_id:ChIJSenh3nFtBjsRx1QyBhbTbzk,part_306,2026-09-20 20:20:02
Konni Hardwares,Hardware Store,Hardware store,"Hardware store, Building materials store",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",N/A,N/A,4.2,6.0,"6RHX+4CR, Main Road, opposite HP Petrol Pump, Konni, Keralam 689691",689691,9.2278517,76.8485237,ChIJg9xDxOprBjsRcgZORJgRp0Q,https://www.google.com/maps/place/?q=place_id:ChIJg9xDxOprBjsRcgZORJgRp0Q,part_306,2026-09-20 20:20:02
Meloot Agencies,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 94952 42710,N/A,4.9,9.0,"mulanthara, Konni Kummannur Road, Ayravon, Keralam 689691",689691,9.2194413,76.8766808,ChIJTbHnnAdrBjsRltsytVqa890,https://www.google.com/maps/place/?q=place_id:ChIJTbHnnAdrBjsRltsytVqa890,part_306,2026-09-20 20:20:02
THANDASSERIL AGENCIES,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",N/A,N/A,4.5,2.0,"Athirumkal, Konni, Keralam 689693",689691,9.162403099999999,76.87396799999999,ChIJ31F9EWltBjsRpoy6mJwLrk0,https://www.google.com/maps/place/?q=place_id:ChIJ31F9EWltBjsRpoy6mJwLrk0,part_306,2026-09-20 20:20:02
Mozhutharayil Hardwares,Hardware Store,Building materials supplier,"Building materials supplier, Hardware store",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 99463 49546,N/A,3.3,3.0,"Vkottayam, 07, JN KONNI RD, near AMMA HOSPITAL, Vallicode Kottayam, Keralam 689656",689691,9.208135799999999,76.81840849999999,ChIJRZ3PMQoTBjsRFrV8Wl5-p6Q,https://www.google.com/maps/place/?q=place_id:ChIJRZ3PMQoTBjsRFrV8Wl5-p6Q,part_306,2026-09-20 20:20:02
ALPHA HARDWARE,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 85477 16823,N/A,,,"Kollanpady City, Keralam 689698",689691,9.186732899999999,76.8584896,ChIJtYJgkk5tBjsRBbE7CQIyRlw,https://www.google.com/maps/place/?q=place_id:ChIJtYJgkk5tBjsRBbE7CQIyRlw,part_306,2026-09-20 20:20:02
Arivannoor Hardware,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",N/A,N/A,,,"5R7P+F22, Nedumenkav, Kurushumood, Murinjakal, Keralam 689693",Kurushumood,9.1632639,76.83528439999999,ChIJV7YpEABtBjsRu83wGvoeO7o,https://www.google.com/maps/place/?q=place_id:ChIJV7YpEABtBjsRu83wGvoeO7o,part_306,2026-09-20 20:20:02
Puthenveettil stores Mancode,Hardware Store,Hardware store,Hardware store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 475 237 9047,N/A,4.0,1.0,"Mancode - Poonkulanji Rd, Mancode, Pathanapuram, Keralam 689694",689691,9.1227691,76.8987112,ChIJeT_i75hzBjsRv1HD1JnMh-4,https://www.google.com/maps/place/?q=place_id:ChIJeT_i75hzBjsRv1HD1JnMh-4,part_306,2026-09-20 20:20:02
Gospa Power Solution,Hardware Store,Hardware store,"Hardware store, Tool store",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 85476 83604,N/A,5.0,3.0,"SH8, Mylapra, Punalur - Muvattupuzha Hwy, Malleswari, Punalur, Pathanamthitta, Kerala 689646",Malleswari,9.2557992,76.8137885,ChIJ_ztL6xEVBjsR5g3guxLzSrM,https://www.google.com/maps/place/?q=place_id:ChIJ_ztL6xEVBjsR5g3guxLzSrM,part_306,2026-09-20 20:20:02
EMMANUAL ENTERPRISES MALLASSERY,Hardware Store,Hardware store,"Hardware store, Marketing consultant",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 94967 31610,N/A,5.0,7.0,"No.15,Emmanuel Enterprises Poomkavu, Pramadam, Vallicode, Vkottayam, Poomkavu - Pathanamthitta Rd, Mallasery, Mallassery, Pathanamthitta, Kerala 689646",Mallasery,9.2429379,76.802965,ChIJ48BFCdwVBjsRD04arVrAu4c,https://www.google.com/maps/place/?q=place_id:ChIJ48BFCdwVBjsRD04arVrAu4c,part_306,2026-09-20 20:20:02
REGAL INFRAWORLD,Hardware Store,Hardware store,"Hardware store, Building materials supplier, Cement Supplier, Construction Material Wholesaler, Electrical products wholesaler, Paint store, Roofing supply store",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 85475 39064,https://www.regalinfraworld.com/,4.6,,"Nedumparambu Junction St Marys, School Road, Pathanapuram, Keralam 689695",689691,9.0930672,76.8607997,ChIJDTxuEq5zBjsRpbmcGOb8zMQ,https://www.google.com/maps/place/?q=place_id:ChIJDTxuEq5zBjsRpbmcGOb8zMQ,part_306,2026-09-20 20:20:03
Kannan Paint & Radhas Hardware,Hardware Store,Hardware store,"Hardware store, Paint store",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 97454 67041,http://www.kannanpaints.com/,4.7,,"Kayamkulam - Pathanapuram Rd, Pathanapuram, Pattazhy Vadakkekara, Keralam 689695",689691,9.0963959,76.8490727,ChIJ-bDv0U5zBjsRQrgiVkkYPKs,https://www.google.com/maps/place/?q=place_id:ChIJ-bDv0U5zBjsRQrgiVkkYPKs,part_306,2026-09-20 20:20:03
"City Traders-Electrical, Plumbing & Paints Store",Hardware Store,Hardware store,"Hardware store, Electrical equipment supplier, Electrical supply store, Bathroom supply store, Lighting store, Paint store, Plumbing supply store, Rainwater tank supplier, Toiletries Store, Wire and cable supplier",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 90726 48484,https://www.citytraders.online/,4.9,,"Kunnicode, nearby Elampal Service Co-operative Bank, Vilakkudy, Keralam 691508",689691,9.029733199999999,76.86569469999999,ChIJn2Rr7oV0BjsRhOyTAyzOWH4,https://www.google.com/maps/place/?q=place_id:ChIJn2Rr7oV0BjsRhOyTAyzOWH4,part_306,2026-09-20 20:20:03
"Mariyam Hardware,Adoor",Hardware Store,Home goods store,Home goods store,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 94951 56930,N/A,4.8,,"5P3P+6VH, Thatta road, near Syndicate Bank, Adoor, Kerala 691523",689691,9.1530563,76.7372371,ChIJ8Xq5W4QTBjsRGBkJQFRAkns,https://www.google.com/maps/place/?q=place_id:ChIJ8Xq5W4QTBjsRGBkJQFRAkns,part_306,2026-09-20 20:20:03
Janatha Hardwares,Hardware Store,Building materials store,"Building materials store, Pump supplier",689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",+91 81130 11251,N/A,4.8,,"near Believers Church Medical Centre Konni, Eliyarackal, Konni, Keralam 689691",Eliyarackal,9.217700599999999,76.85174219999999,ChIJhf__72BrBjsRxa48-wJ4zXQ,https://www.google.com/maps/place/?q=place_id:ChIJhf__72BrBjsRxa48-wJ4zXQ,part_306,2026-09-20 20:20:04
