business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.M LIGHT HOUSE,Electrical Goods and Lighting Store,Electrical Goods and Lighting Store,Electrical Goods and Lighting Store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 86061 39209,N/A,5.0,,"Pathanapuram, Keralam 689695",689695,9.092348,76.859954,ChIJ1eLDN-VyBjsRT-xAxoc3Tbw,https://www.google.com/maps/place/?q=place_id:ChIJ1eLDN-VyBjsRT-xAxoc3Tbw,part_306,2026-09-20 20:22:59
Bismi electrical and plumbing,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 99613 57851,N/A,5.0,,"2VPQ+F8H, PPM Rd, Kariyara, Vilakkudy, Keralam 691332",Kariyara,9.0361941,76.88836839999999,ChIJ5RLVOCJ1BjsRxF1U0qaOafU,https://www.google.com/maps/place/?q=place_id:ChIJ5RLVOCJ1BjsRxF1U0qaOafU,part_306,2026-09-20 20:22:59
Kurumpelil Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 474 265 1173,http://www.kurumpelil.com/,4.1,218.0,"SH 1, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.005905799999999,76.7832945,ChIJC8Df8ggLBjsRjB0Mm55uTyE,https://www.google.com/maps/place/?q=place_id:ChIJC8Df8ggLBjsRjB0Mm55uTyE,part_306,2026-09-20 20:23:00
E mart electricals,Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 95627 02834,N/A,4.8,111.0,"Kappalandi Mukku, Polayathodu, Kollam, Keralam 691021","Kappalandi Mukku, Polayathodu",8.8798804,76.6056218,ChIJ51bfHzn9BTsRohOi6Bq29C8,https://www.google.com/maps/place/?q=place_id:ChIJ51bfHzn9BTsRohOi6Bq29C8,part_306,2026-09-20 20:23:00
KMK LIGHTS & ELECTRICALS,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 94473 32282,N/A,4.1,29.0,"Kunnicode, Keralam 691508",689695,9.024547799999999,76.8476044,ChIJYzQ3vr10BjsR9XRGn4R5-Zw,https://www.google.com/maps/place/?q=place_id:ChIJYzQ3vr10BjsR9XRGn4R5-Zw,part_306,2026-09-20 20:23:00
"Home Light Electricals, Chinnakkada",Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical products wholesaler",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 95261 67388,N/A,4.5,17.0,"Andamukkam, Kollam, Keralam 691001",Andamukkam,8.884217399999999,76.5902018,ChIJr3oX7QP9BTsRGOdTyFvMkGQ,https://www.google.com/maps/place/?q=place_id:ChIJr3oX7QP9BTsRGOdTyFvMkGQ,part_306,2026-09-20 20:23:00
Sastha Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 475 222 4356,N/A,4.7,9.0,"Sastha Business centre, Kayamkulam - Punalur Rd, opposite SBI town Branch, Panamkuttymala, Punalur, Keralam 691305",Panamkuttymala,9.0184216,76.9242257,ChIJsZpu5n13BjsRV0KZ7TocCm0,https://www.google.com/maps/place/?q=place_id:ChIJsZpu5n13BjsRV0KZ7TocCm0,part_306,2026-09-20 20:23:00
Malieakal Electronics (Kollam),Electrical Goods and Lighting Store,Electronics store,"Electronics store, Cell phone store, Countertop store, Fitness Equipment Wholesaler, Furniture store, Home theater store, Refrigerator store, Home audio store, Washer & dryer store",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 474 274 3850,http://www.malieakal.in/,5.0,17076.0,"Malieakal Plaza, Near Iron Bridge Kanyakumari, Panvel Road, Taluk Kachery, Kollam, Keralam 691001",Taluk Kachery,8.8911261,76.58262429999999,ChIJzYHbxU_8BTsRI2OGxcQNSRQ,https://www.google.com/maps/place/?q=place_id:ChIJzYHbxU_8BTsRI2OGxcQNSRQ,part_306,2026-09-20 20:23:00
Schneider Electric - Jose Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 8071 331 195,https://retailpavilion-in.se.com/in/en/store/schneider-electric-jose-electricals-electrical-store-kollam-kerala-691001-100175,3.6,68.0,"MWRA 44, Beach Rd, near ING Vysya Bank, Thamarakulam, Kollam, Keralam 691001",Thamarakulam,8.878903,76.5928572,ChIJk_rw11_8BTsRsxWqBtYUo8g,https://www.google.com/maps/place/?q=place_id:ChIJk_rw11_8BTsRsxWqBtYUo8g,part_306,2026-09-20 20:23:00
Deivullathil Electricals,Electrical Goods and Lighting Store,Electronics store,Electronics store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 98472 25299,N/A,4.6,42.0,"Pallichantha, Sooranad South, Sooranad, Keralam 690522","Pallichantha, Sooranad South",9.08822,76.62427629999999,ChIJ3Vf3V2wFBjsRHCB0QdECu0U,https://www.google.com/maps/place/?q=place_id:ChIJ3Vf3V2wFBjsRHCB0QdECu0U,part_306,2026-09-20 20:23:00
