business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anandam Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 96299 30553,N/A,4.7,16.0,"3VR5+V88, Government Hospital Rd, Pathanapuram, Keralam 689695",689695,9.0925566,76.8585944,ChIJ63ygC6FzBjsRXipImDZh15A,https://www.google.com/maps/place/?q=place_id:ChIJ63ygC6FzBjsRXipImDZh15A,part_306,2026-09-20 20:22:47
S.P.M. & Sons,Textile Wholesaler and Fabric Merchant,Clothing wholesaler,"Clothing wholesaler, Clothes and fabric wholesaler",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 474 274 2920,http://www.spmsons.com/,4.2,216.0,"Main Rd, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.8849584,76.5854744,ChIJWRm2b1v8BTsRa-hSBvFnoEg,https://www.google.com/maps/place/?q=place_id:ChIJWRm2b1v8BTsRa-hSBvFnoEg,part_306,2026-09-20 20:22:47
Sreenivas Fabrics,Textile Wholesaler and Fabric Merchant,Clothes and fabric wholesaler,"Clothes and fabric wholesaler, Clothing store, Clothing wholesaler",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 474 275 1039,N/A,5.0,4.0,"46/4132, Main Rd, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.885366099999999,76.5867193,ChIJixiZtET8BTsRnRCWXCHsnG0,https://www.google.com/maps/place/?q=place_id:ChIJixiZtET8BTsRnRCWXCHsnG0,part_306,2026-09-20 20:22:47
ROOPAM TEXTILES,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 90375 32429,http://roopam.com/,4.6,16.0,"Govt school, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0197136,76.9228796,ChIJ0wxJdXZ3BjsRuSS1AfmgU0w,https://www.google.com/maps/place/?q=place_id:ChIJ0wxJdXZ3BjsRuSS1AfmgU0w,part_306,2026-09-20 20:22:47
AM Silks,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Wedding store",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 80895 62649,https://amsilks.in/,4.7,1799.0,"Ambadi Tower, Junction Lane, Kottarakara - Mannady Rd, near Dhanya Decor, Kottarakkara, Keralam 691506",689695,9.0063614,76.7721108,ChIJORbh_oELBjsRJiste8bq46E,https://www.google.com/maps/place/?q=place_id:ChIJORbh_oELBjsRJiste8bq46E,part_306,2026-09-20 20:22:47
Mahima Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 474 252 8629,N/A,3.5,126.0,"XM5F+8XF, Njarakkal, Mukkada, Kundara, Keralam 691501","Njarakkal, Mukkada",8.9583096,76.6749241,ChIJ70HtuzoIBjsRZD6i1Q4fAsY,https://www.google.com/maps/place/?q=place_id:ChIJ70HtuzoIBjsRZD6i1Q4fAsY,part_306,2026-09-20 20:22:47
JESWIN TEXTILES & THREADS,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 99478 09922,N/A,5.0,7.0,"Karavalur, Punalur, Keralam 691333",689695,8.981215599999999,76.92460489999999,ChIJjVXxdgt3BjsR66PT3FQrSQQ,https://www.google.com/maps/place/?q=place_id:ChIJjVXxdgt3BjsR66PT3FQrSQQ,part_306,2026-09-20 20:22:47
Indian Tex,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",N/A,N/A,3.8,67.0,"NH 744, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.005742999999999,76.78104119999999,ChIJk9WIhxULBjsRqJLYnKr2y5E,https://www.google.com/maps/place/?q=place_id:ChIJk9WIhxULBjsRqJLYnKr2y5E,part_306,2026-09-20 20:22:47
Galaxy textiles,Textile Wholesaler and Fabric Merchant,Fabric store,Fabric store,689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 99951 61806,N/A,,,"Methukummel, Enathu, Pattazhy Vadakkekara, Keralam 691526",Methukummel,9.0879415,76.7720354,ChIJ84TqapcNBjsRGk7qy35JS0s,https://www.google.com/maps/place/?q=place_id:ChIJ84TqapcNBjsRGk7qy35JS0s,part_306,2026-09-20 20:22:47
SRI BALAJI,Textile Wholesaler and Fabric Merchant,Clothing wholesaler,"Clothing wholesaler, Clothing supplier, Uniform store",689695,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Pathanapuram SO, Kundayam BO, Kurumbakara BO",+91 97460 02270,http://sribalajiuniforms.com/,4.3,21.0,"Sri Venkateswara Shopping Complex,, Convent Road, Kollam, Keralam 691001",Chinnakada,8.885368,76.586103,ChIJnb_KClv8BTsRxvS8GS4dNk4,https://www.google.com/maps/place/?q=place_id:ChIJnb_KClv8BTsRxvS8GS4dNk4,part_306,2026-09-20 20:22:47
