business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jos Panchakarma Ayurveda Massage Center,Clinics,Ayurvedic clinic,Ayurvedic clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,,,"Marthoma Church, Elikkattoor, Piravanthur, Keralam 689696",Elikkattoor,9.047873,76.8994781,ChIJibQheRBzBjsRaclPDFGMWkE,https://www.google.com/maps/place/?q=place_id:ChIJibQheRBzBjsRaclPDFGMWkE,part_306,2026-09-20 20:23:37
USHASREE AYURVEDA HOSPITAL,Clinics,Medical clinic,Medical clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,5.0,,"3WJ7+3GW, Punnala, Keralam 689696",689696,9.080235199999999,76.9138214,ChIJf88PAShzBjsRL-nJRYP-2xM,https://www.google.com/maps/place/?q=place_id:ChIJf88PAShzBjsRL-nJRYP-2xM,part_306,2026-09-20 20:23:37
Dr. Joy Gurukkal's Vaidyasramam,Clinics,Ayurvedic clinic,Ayurvedic clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,4.8,,"Vaidyasramam road, Post office junction, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0190901,76.9217843,ChIJjULHMH13BjsRobf1B9Djze4,https://www.google.com/maps/place/?q=place_id:ChIJjULHMH13BjsRobf1B9Djze4,part_306,2026-09-20 20:23:37
Primary Health Centre,Clinics,Community health center,Community health center,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,2.0,,"2X74+2F9, Kollam - Punalur - Tenkasi Rd, Punalur, Kerala 691331",689696,9.0125291,76.95624389999999,ChIJAQWeoJB3BjsRFitGhgYKPfo,https://www.google.com/maps/place/?q=place_id:ChIJAQWeoJB3BjsRFitGhgYKPfo,part_306,2026-09-20 20:23:37
Urban Primary Health Centre,Clinics,Community health center,Community health center,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,3.7,,"2W7V+VW6, NH 744, Kalayanad, Punalur, Keralam 691331",Kalayanad,9.014650699999999,76.94477169999999,ChIJN9BjUcp3BjsRLFCliryjC9Y,https://www.google.com/maps/place/?q=place_id:ChIJN9BjUcp3BjsRLFCliryjC9Y,part_306,2026-09-20 20:23:37
"പ്രണവം ആയുർവേദ പഞ്ചകർമ സെന്റർ, ഇടമൺ 34",Clinics,Medical clinic,Medical clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,5.0,,"XXWR+6XW, Edamon 34 - Anapettakongal Road, Punalur, Edamon, Keralam 691307",Punalur,8.99553,76.99247299999999,ChIJUxfcJAB3BjsRb3NcztrmvE0,https://www.google.com/maps/place/?q=place_id:ChIJUxfcJAB3BjsRb3NcztrmvE0,part_306,2026-09-20 20:23:37
KALARICKAL speciality DENTAL clinic,Clinics,Dental clinic,Dental clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",+91 98464 35344,N/A,5.0,,"Market Rd, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0219101,76.9202864,ChIJeShzRqB2BjsRYho4rc5Gbis,https://www.google.com/maps/place/?q=place_id:ChIJeShzRqB2BjsRYho4rc5Gbis,part_306,2026-09-20 20:23:37
"Kottakkal Arya vaidyasala,Market junction, Punalur",Clinics,Ayurvedic clinic,Ayurvedic clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",+91 73063 60348,N/A,4.9,,"Market jn, near Idimannikkal Jewalary, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0196287,76.9210358,ChIJl2dzzGN3BjsRdFrrXKyShF0,https://www.google.com/maps/place/?q=place_id:ChIJl2dzzGN3BjsRdFrrXKyShF0,part_306,2026-09-20 20:23:37
Kripa mariya Clinic & Diagnostic centre,Clinics,Hospital,Hospital,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,5.0,,"X3F8+G7J, Kollam - Punalur - Tenkasi Rd, Thenmala, Keralam 691308",689696,8.9678927,77.0705627,ChIJT9lrnPt5BjsR5chi6sxkgAs,https://www.google.com/maps/place/?q=place_id:ChIJT9lrnPt5BjsR5chi6sxkgAs,part_306,2026-09-20 20:23:37
Edamon Nursing Home,Clinics,Medical clinic,Medical clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",+91 475 233 5534,N/A,3.8,,"Nursing Home, NH744, Kollam-Tirumangalam Road, Edamon, Keralam 691307",689696,9.0085404,76.974283,ChIJw15PoAV3BjsRKE4JMxnQdAQ,https://www.google.com/maps/place/?q=place_id:ChIJw15PoAV3BjsRKE4JMxnQdAQ,part_306,2026-09-20 20:23:37
Manakkodam Multispeciality Clinic,Clinics,Medical clinic,Medical clinic,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",+91 474 291 5500,N/A,4.3,,"11/879, Karingannoor-Moothala Rd, Post, Cheriyavelinalloor, Velinelloor, Keralam 691516",Post,8.866709199999999,76.79376239999999,ChIJ6dAD5jHhBTsRjUtdiejcfI8,https://www.google.com/maps/place/?q=place_id:ChIJ6dAD5jHhBTsRjUtdiejcfI8,part_306,2026-09-20 20:23:37
Family Health Centre Piravanthoor,Clinics,Hospital,Hospital,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",N/A,N/A,5.0,,"3W3F+443, Achankovil Rd, Piravanthur, Vettithitta, Keralam 689696",689696,9.0527582,76.9227901,ChIJR90CfmlxBjsR_wZWo-5M4PY,https://www.google.com/maps/place/?q=place_id:ChIJR90CfmlxBjsR_wZWo-5M4PY,part_306,2026-09-20 20:23:37
Sri Mahalakshmi Medicals,Clinics,Medical supply store,Medical supply store,689696,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Piravanthur SO, Achencoil BO, Chembanaruvi BO",+91 475 222 4623,N/A,3.7,,"2W9F+FV2, Kollam - Tenkasi Rd, Panamkuttymala, Punalur, Keralam 691305",Panamkuttymala,9.018632799999999,76.9246515,ChIJn85Wz5h2BjsRIREuQ-c4fkg,https://www.google.com/maps/place/?q=place_id:ChIJn85Wz5h2BjsRIREuQ-c4fkg,part_306,2026-09-20 20:23:38
