business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vamani Overseas (169),Importers,Manufacturer,Manufacturer,689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,N/A,N/A,4.1,,"Plot No 169, Sector 24, Faridabad, Haryana 121005",Sector 24,28.3541736,77.31012059999999,ChIJpdKNg_bbDDkRJoPjfXBYUs8,https://www.google.com/maps/place/?q=place_id:ChIJpdKNg_bbDDkRJoPjfXBYUs8,part_306,2026-09-20 20:27:31
Lal Enterprises - Michelin Tyres & Services,Importers,Tire shop,"Tire shop, Tire repair shop, Wheel alignment service, Wheel store",689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 93558 70238,https://www.michelin.in/auto/dealer-locator/chennai/yqrwsvk-michelin-tyres-services-lal-enterprises,4.6,,"262-A, Lloyds Rd, Ganapathy Colony, Gopalapuram, Chennai, Tamil Nadu 600086","Ganapathy Colony, Gopalapuram",13.0484172,80.2613791,ChIJjyH4GzpmUjoRdiUrcuVdYX4,https://www.google.com/maps/place/?q=place_id:ChIJjyH4GzpmUjoRdiUrcuVdYX4,part_306,2026-09-20 20:27:31
SULESHVARI PHARMA,Importers,Pharmaceutical company,Pharmaceutical company,689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 98241 14578,http://suleshvaripharma.net/,4.7,,"No. 6012 1, near Panama Petrochem, G.I.D.C, Industrial Estate, Ankleshwar, Gujarat 393002","G.I.D.C, Industrial Estate",21.625780499999998,73.03810419999999,ChIJZcV_hOsj4DsRXCgIomgemtI,https://www.google.com/maps/place/?q=place_id:ChIJZcV_hOsj4DsRXCgIomgemtI,part_306,2026-09-20 20:27:31
Jesvil Corporation,Importers,Exporter,Exporter,689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 96339 99904,https://jesvil.co.in/,5.0,,"P.O, No:13/17, Cheriyapullingal, Puthankada Neyyattinkara, Thirupuram, Keralam 695133",Puthankada,8.3592706,77.07244469999999,ChIJ9TBhEUyvBTsRFhNsKirIfV0,https://www.google.com/maps/place/?q=place_id:ChIJ9TBhEUyvBTsRFhNsKirIfV0,part_306,2026-09-20 20:27:32
Zaki International Trading LLP,Importers,Packaging company,"Packaging company, Import export company",689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 80757 86858,https://zakiinternationalllp.com/,1.0,,"ZAKI INTERNATIONAL TRADING LLP 3/440 A, paloorkotta Industrial Estate Road Palachode, Po, Paloorkotta, Kolathur, Perinthalmanna, Keralam 679338",Paloorkotta,10.957709099999999,76.1518835,ChIJnaRymfLLpzsRD3rIcPP2O3g,https://www.google.com/maps/place/?q=place_id:ChIJnaRymfLLpzsRD3rIcPP2O3g,part_306,2026-09-20 20:27:32
SM Exports & Imports,Importers,Exporter,Exporter,689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 483 296 4433,http://sm-exports.com/,,,"K.P16/290, MALAPPURAM, Keralam 673638",689713,11.112997199999999,75.9811564,ChIJAQAAALBOpjsRCVluVP2ZDGs,https://www.google.com/maps/place/?q=place_id:ChIJAQAAALBOpjsRCVluVP2ZDGs,part_306,2026-09-20 20:27:32
The Umpire Limited,Importers,Import export company,"Import export company, Service establishment",689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 98955 94333,http://www.neztu.com/,,,"The Umpire Limited, 689713, India",689713,21.0680074,82.7525294,ChIJj6Bl5OG_e2cR_-OXByrF0IQ,https://www.google.com/maps/place/?q=place_id:ChIJj6Bl5OG_e2cR_-OXByrF0IQ,part_306,2026-09-20 20:27:32
J S Enterprises,Importers,Laboratory equipment supplier,Laboratory equipment supplier,689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 98913 23843,http://www.jsenterprisesindia.in/contact-us.html,4.5,11.0,"G.F BACK SIDE, E-47, near SPARK MALL, Block G, Kamla Nagar, Delhi, 110007","Block G, Kamla Nagar",28.681972,77.20335519999999,ChIJgSjq6OD9DDkR1mr3rEl-qp4,https://www.google.com/maps/place/?q=place_id:ChIJgSjq6OD9DDkR1mr3rEl-qp4,part_306,2026-09-20 20:27:32
Hitech Hydraulics Private Limited,Importers,Hydraulic equipment supplier,"Hydraulic equipment supplier, Hydraulic Engineer, Hydraulic repair service, Plastic Injection Molding Workshop",689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 96434 34499,N/A,4.4,26.0,"Phase 1, T-4/35, Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area, Mangolpuri, New Delhi, Delhi, 110083","Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area, Mangolpuri",28.6872704,77.0912695,ChIJVVVVZREEDTkROllMuOj_vFk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVZREEDTkROllMuOj_vFk,part_306,2026-09-20 20:27:32
MET CRAFT,Importers,Manufacturer,"Manufacturer, Supplier, Handicraft, Handicrafts Wholesaler",689713,Kerala Circle,N/A,Pathanamthitta Division,SABARIMALA,+91 90455 13450,https://seller.indiamart.com/companyprofile/manageprofile,5.0,3.0,"near Deputy Sahab Ka Mandir, Katghar, Moradabad, Uttar Pradesh 244001",Katghar,28.826382499999998,78.7860541,ChIJqYnqV837CjkRa_SWYN03O7o,https://www.google.com/maps/place/?q=place_id:ChIJqYnqV837CjkRa_SWYN03O7o,part_306,2026-09-20 20:27:33
