business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Sreeni,Doctors,Medical clinic,Medical clinic,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 490 232 5234,N/A,5.0,,"7G3R+33W, Krishnapuram - Mavelikkara Rd, Pela, Old Mavelikkara, Mavelikara, Keralam 690101","Pela, Old Mavelikkara",9.252735,76.5402002,ChIJJZGNbKEfBjsRj09OjqRJY2U,https://www.google.com/maps/place/?q=place_id:ChIJJZGNbKEfBjsRj09OjqRJY2U,part_306,2026-09-20 20:27:48
Manimangalam clinic Dr.Mahesan. N,Doctors,Doctor,"Doctor, Diabetologist",690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 94472 26250,https://drtop.in/dr/maheshan,5.0,,"P.O, Thattarambalam, Mavelikara, Keralam 690103",Thattarambalam,9.2508876,76.5287743,ChIJjYHTXnYfBjsRMmMW5zFtgjU,https://www.google.com/maps/place/?q=place_id:ChIJjYHTXnYfBjsRMmMW5zFtgjU,part_306,2026-09-20 20:27:48
Dr. Sarath,Doctors,Orthopedic surgeon,Orthopedic surgeon,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",N/A,N/A,4.7,,"7H44+9QQ, Thazhakara Bus Stop, Mavelikkara-Kozhencherry Road, SH10, Karayamvattom, Mavelikara, Keralam 690102",Karayamvattom,9.2559604,76.5569841,ChIJTYsoRlgZBjsRVmo6r8PDTP8,https://www.google.com/maps/place/?q=place_id:ChIJTYsoRlgZBjsRVmo6r8PDTP8,part_306,2026-09-20 20:27:48
DR. Ayappan's ortho clinic,Doctors,Doctor,Doctor,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",N/A,N/A,4.0,,"Pullelil House, West Fort, Kandiyoor, Old Mavelikkara, Mavelikara, Keralam 690101","Kandiyoor, Old Mavelikkara",9.247255,76.53303249999999,ChIJHRQLI1MfBjsRxc97zLCi9D4,https://www.google.com/maps/place/?q=place_id:ChIJHRQLI1MfBjsRxc97zLCi9D4,part_306,2026-09-20 20:27:48
Dr. Ananthu's Dental Studio,Doctors,Dental clinic,"Dental clinic, Dentist, Orthodontist",690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 83002 62396,https://drananthusdentalstudio.com/,4.9,,"Private Bus Stand, North Mitchel Junction, opposite Travancore Regency, near Mavelikara, Old Mavelikkara, Mavelikara, Keralam 690101",Old Mavelikkara,9.25349,76.5403256,ChIJBbZ4_aQfBjsRLrPTm_QVTdc,https://www.google.com/maps/place/?q=place_id:ChIJBbZ4_aQfBjsRLrPTm_QVTdc,part_306,2026-09-20 20:27:48
Dr. Shammy,Doctors,Hospital,Hospital,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 94470 18871,N/A,5.0,,"Punnamoodu, 136, Punnamoodu, Mavelikara, Keralam 690101",Punnamoodu,9.232954,76.5376043,ChIJu-b3-88eBjsRVS4wYbgRgOI,https://www.google.com/maps/place/?q=place_id:ChIJu-b3-88eBjsRVS4wYbgRgOI,part_306,2026-09-20 20:27:48
Dr koshy idicula,Doctors,Doctor,Doctor,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",N/A,N/A,,,"7G3X+RVX Mavelikara, Thazhakara, Keralam 690102",690101,9.254591,76.5495985,ChIJhVgMGX4ZBjsRFl-do81vyZE,https://www.google.com/maps/place/?q=place_id:ChIJhVgMGX4ZBjsRFl-do81vyZE,part_306,2026-09-20 20:27:48
Dr. Ancil's Neurology Clinic,Doctors,Neurologist,Neurologist,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 73069 19431,N/A,4.9,,"Government Hospital, Near, near Microlab, Mavelikara, Thazhakara, Keralam 690102",690101,9.254800099999999,76.5503921,ChIJtTIruz0fBjsRddcZZHSL27g,https://www.google.com/maps/place/?q=place_id:ChIJtTIruz0fBjsRddcZZHSL27g,part_306,2026-09-20 20:27:48
Dr SHABEER Nephrologist,Doctors,Consultant,Consultant,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 89211 39338,N/A,4.8,,"Karayamvattam, Mavelikara, Keralam 690102",690101,9.2564569,76.5541683,ChIJGyt4OIcZBjsRE-CbO6RGISQ,https://www.google.com/maps/place/?q=place_id:ChIJGyt4OIcZBjsRE-CbO6RGISQ,part_306,2026-09-20 20:27:48
Dr.(Capt) Vijaykumar Clinic,Doctors,Medical clinic,Medical clinic,690101,Kerala Circle,Kochi Region,Mavelikara Division,"Mavelikara HO, Mavelikara Court SO, Mavelikara Cutcherry SO",+91 479 230 4102,N/A,5.0,,"7H43+FCF, Mavelikara, Keralam 690102",690101,9.2561834,76.5535585,ChIJYYvx8c0YBjsRkpasyU4524w,https://www.google.com/maps/place/?q=place_id:ChIJYYvx8c0YBjsRkpasyU4524w,part_306,2026-09-20 20:27:48
