business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Oxxo mens wear,Mens Wear Showroom,Clothing store,Clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 98954 40057,N/A,5.0,11.0,"F8XQ+6J4, Pichu Iyer Junction, Erezha, Mullakkal, Alappuzha, Keralam 688011","Erezha, Mullakkal",9.4980172,76.33908869999999,ChIJ59TuOAWFCDsRQ2sJyvkFzqs,https://www.google.com/maps/place/?q=place_id:ChIJ59TuOAWFCDsRQ2sJyvkFzqs,part_306,2026-09-20 20:28:27
Destination Men's wear,Mens Wear Showroom,Clothing store,Clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 79023 23715,N/A,5.0,4.0,"Municipal Stadium Ward, Vellakkinar, Alappuzha, Keralam 688001","Municipal Stadium Ward, Vellakkinar",9.4876214,76.338083,ChIJoYiRiZSFCDsR5cN6scecxxA,https://www.google.com/maps/place/?q=place_id:ChIJoYiRiZSFCDsR5cN6scecxxA,part_306,2026-09-20 20:28:27
The Man Mens Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 70120 24440,N/A,3.8,24.0,"Mullakkal, Alappuzha, Keralam 688011",Mullakkal,9.4978409,76.3427023,ChIJzZD6OWCECDsRZ2CKipZX6iw,https://www.google.com/maps/place/?q=place_id:ChIJzZD6OWCECDsRZ2CKipZX6iw,part_306,2026-09-20 20:28:27
Mens Wear,Mens Wear Showroom,Clothing store,Clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 95675 22552,N/A,5.0,1.0,"Regal kids wear, temple, opposite thondankulangara, Thondankulangara, Palakkulam, Alappuzha, Keralam 688013","Thondankulangara, Palakkulam",9.5062195,76.3403471,ChIJccr33WGFCDsRAV9Z7vogww0,https://www.google.com/maps/place/?q=place_id:ChIJccr33WGFCDsRAV9Z7vogww0,part_306,2026-09-20 20:28:27
Kally Bally,Mens Wear Showroom,Men's clothing store,Men's clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 80894 29945,N/A,4.7,32.0,"Kally Bally Multi Brand Clothing, Junction, Kampi Valappil Ward, Valanjavazhy, Ambalapuzha, Keralam 688005","Kampi Valappil Ward, Valanjavazhy",9.3983245,76.352353,ChIJ35gArAmbCDsROl7q9SzRvqM,https://www.google.com/maps/place/?q=place_id:ChIJ35gArAmbCDsROl7q9SzRvqM,part_306,2026-09-20 20:28:27
Coz Naked,Mens Wear Showroom,Men's clothing store,Men's clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",N/A,N/A,4.5,47.0,"CCNB Rd, Erezha, Mullakkal, Alappuzha, Keralam 688011","Erezha, Mullakkal",9.495535799999999,76.34130689999999,ChIJjRdeCwCFCDsR0tc_8mA48-Y,https://www.google.com/maps/place/?q=place_id:ChIJjRdeCwCFCDsR0tc_8mA48-Y,part_306,2026-09-20 20:28:27
City Boys Menz Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 98474 02390,N/A,4.8,8.0,"Chungam, Alappuzha, Kerala 688011",Chungam,9.4945946,76.3437682,ChIJTaLbVoqECDsRyh9Kyu4jHc0,https://www.google.com/maps/place/?q=place_id:ChIJTaLbVoqECDsRyh9Kyu4jHc0,part_306,2026-09-20 20:28:27
Mens Like Alappuzha,Mens Wear Showroom,Clothing store,Clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",N/A,N/A,4.6,,"F8GP+WX7, chudukadu Junction, valiya, Alappuzha, Keralam 688002",valiya,9.4772813,76.3374073,ChIJnf6oPQCFCDsRzxKtihr6QFA,https://www.google.com/maps/place/?q=place_id:ChIJnf6oPQCFCDsRzxKtihr6QFA,part_306,2026-09-20 20:28:28
Peach Vault Clothing,Mens Wear Showroom,Western apparel store,Western apparel store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 92079 70127,https://instagram.com/peachvault.co?igshid=NTc4MTIwNjQ2YQ==,4.5,,"Karthikapally Buildings, Bypass Road, Anandasramam, Changanassery, Keralam 686103",Anandasramam,9.4565223,76.5399604,ChIJY7EXpBwnBjsR2VMLkHjskOk,https://www.google.com/maps/place/?q=place_id:ChIJY7EXpBwnBjsR2VMLkHjskOk,part_306,2026-09-20 20:28:28
F-lounge,Mens Wear Showroom,Clothing store,Clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 70344 81317,N/A,4.1,86.0,"Erezha, Mullakkal, Alappuzha, Keralam 688011","Erezha, Mullakkal",9.495538,76.342688,ChIJ3TymkoqECDsR1MDCvmlcdoM,https://www.google.com/maps/place/?q=place_id:ChIJ3TymkoqECDsR1MDCvmlcdoM,part_306,2026-09-20 20:28:29
Camber For Men,Mens Wear Showroom,Men's clothing store,Men's clothing store,690102,Kerala Circle,Kochi Region,Mavelikara Division,"Thazhakara SO, Puthiyacavu BO",+91 98956 30880,N/A,4.5,12.0,"Indira Juction, Kaichoondi, Alappuzha, Keralam 688013",Kaichoondi,9.5099559,76.3391804,ChIJUTZP-TuFCDsRiGoqSJT4Uag,https://www.google.com/maps/place/?q=place_id:ChIJUTZP-TuFCDsRiGoqSJT4Uag,part_306,2026-09-20 20:28:29
