business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Star Machine House,Industrial Equipment Suppliers,Sewing machine store,Sewing machine store,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 93879 42164,N/A,4.8,15.0,"Market Rd, Karunagappalli, Kerala 690518",690518,9.0559852,76.5385192,ChIJ2Zm6Go4DBjsR01xe3vHOqas,https://www.google.com/maps/place/?q=place_id:ChIJ2Zm6Go4DBjsR01xe3vHOqas,part_306,2026-09-20 20:47:16
Micro Weigh Equipments,Industrial Equipment Suppliers,Weighing Scale Supplier,Weighing Scale Supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 94974 13944,N/A,4.6,5.0,"nr. KSRTC, Karunagappalli, Keralam 690518",690518,9.051571299999999,76.5372605,ChIJpfOhzwkDBjsRcT1OX-LegLw,https://www.google.com/maps/place/?q=place_id:ChIJpfOhzwkDBjsRcT1OX-LegLw,part_306,2026-09-20 20:47:16
Apple wood industries,Industrial Equipment Suppliers,Woodworking supply store,Woodworking supply store,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,4.0,2.0,"south, kattilkadavu. P. O, Apple wood industries, Adinad, Karunagappalli, Keralam 690542",690518,9.0713315,76.5141474,ChIJZ5La3YsDBjsRDWwjkRcCMHg,https://www.google.com/maps/place/?q=place_id:ChIJZ5La3YsDBjsRDWwjkRcCMHg,part_306,2026-09-20 20:47:16
APK ENGINEERING WORKS,Industrial Equipment Suppliers,Welding supply store,Welding supply store,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,5.0,4.0,"Kuttivattom Rd, Karunagappalli, Kuttivattom, Kerala 690536",690518,9.0302623,76.5436648,ChIJsbQeDLgDBjsRrgTp1GFMnnU,https://www.google.com/maps/place/?q=place_id:ChIJsbQeDLgDBjsRrgTp1GFMnnU,part_306,2026-09-20 20:47:16
Marc Weighing Systems,Industrial Equipment Suppliers,Weighing Scale Supplier,Weighing Scale Supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,https://www.weighmarc.com/,3.5,33.0,"Sidco Industrial Estate, Road, inside Sidco Industrial Estate, Edakulangara, Karunagappalli, Keralam 690523",690518,9.0672514,76.5449198,ChIJ3R2JLoEDBjsR4Kk12ZwGSTI,https://www.google.com/maps/place/?q=place_id:ChIJ3R2JLoEDBjsR4Kk12ZwGSTI,part_306,2026-09-20 20:47:16
BISMI ICE CUBES,Industrial Equipment Suppliers,Ice supplier,Ice supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 94461 84884,N/A,5.0,40.0,"S.V.Market, P O, Ayanivelikulangara, Keralam 690573",690518,9.0438031,76.524434,ChIJT7qafNEDBjsRVrhAstPYOzA,https://www.google.com/maps/place/?q=place_id:ChIJT7qafNEDBjsRVrhAstPYOzA,part_306,2026-09-20 20:47:16
Rinta Refrigeration Service And Spares,Industrial Equipment Suppliers,Appliance parts supplier,Appliance parts supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 94470 23847,N/A,3.0,2.0,"Advocate Ln, Karunagappalli, Keralam 690518",690518,9.0553679,76.5363948,ChIJH7ut8ZEDBjsRCyHhpZAuOw0,https://www.google.com/maps/place/?q=place_id:ChIJH7ut8ZEDBjsRCyHhpZAuOw0,part_306,2026-09-20 20:47:16
Buhin Industries,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,4.0,2.0,"3G8W+94G, Idakkulangara Rd, Karunagappalli, Kallelibhagom, Kerala 690523",690518,9.0659464,76.54532069999999,ChIJN-1V04YDBjsRdL02I5M1g3c,https://www.google.com/maps/place/?q=place_id:ChIJN-1V04YDBjsRdL02I5M1g3c,part_306,2026-09-20 20:47:16
KANNANKOTTU TRADING,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,,,"KANNANKOTTU TRADING, Railway Station Rd, PULLIMAN, JUNCTION, Karunagappalli, Kerala 690518","PULLIMAN, JUNCTION",9.0670095,76.5348613,ChIJU-ChuiQDBjsRsHvkz18WoUI,https://www.google.com/maps/place/?q=place_id:ChIJU-ChuiQDBjsRsHvkz18WoUI,part_306,2026-09-20 20:47:16
AK CONSTRUCTION EQUIPMENTS RENTAL GROUP,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,,,"3G7X+4PH, Edakkulangara, Railway Station Rd, Karunagappalli, Kallelibhagom, Keralam 690523",690518,9.0628169,76.5493484,ChIJH6WjA4sFBjsRo95f2123sPU,https://www.google.com/maps/place/?q=place_id:ChIJH6WjA4sFBjsRo95f2123sPU,part_306,2026-09-20 20:47:16
Jos Birds Safety Nets in Kerala,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 95158 54564,https://kerala.josbirdsafetynets.com/,5.0,3.0,"Panmana, Chavara, Panmana, Kerala 691583",Panmana,9.0078815,76.5411718,ChIJ31hIMHkBBjsRXSGIU8Xb-hI,https://www.google.com/maps/place/?q=place_id:ChIJ31hIMHkBBjsRXSGIU8Xb-hI,part_306,2026-09-20 20:47:17
Eastman Dealer,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 97457 55504,https://eastman-dealers.eaplworld.com/near-me/kollam/Karunagappally/eastman-dealer-power-store-solar-in-Karunagappally-kollam--37w2AR/home,,,"Power Store Solar, Ajith Building Pada, North, Pulliman - Hospital Rd, Puthiyakavu, Karunagappalli, Keralam 690518",Puthiyakavu,9.072510099999999,76.53371729999999,ChIJCUJqwQgDBjsR9Dv-2AKqQmY,https://www.google.com/maps/place/?q=place_id:ChIJCUJqwQgDBjsR9Dv-2AKqQmY,part_306,2026-09-20 20:47:18
Peruvelil Agencies,Industrial Equipment Suppliers,Solar Energy Company,"Solar Energy Company, Battery Store, Battery Wholesaler, Electrical supply store, Solar energy system service, Solar energy equipment supplier",690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 94473 34070,N/A,4.7,,"Peruvelil Building, Chittumoola - Kanjirappally Jct Rd, Puthiyakavu, Karunagappalli, Thazhava, Keralam 690523",Puthiyakavu,9.0781987,76.5366082,ChIJjwitB5UDBjsRIeenvidh3-c,https://www.google.com/maps/place/?q=place_id:ChIJjwitB5UDBjsRIeenvidh3-c,part_306,2026-09-20 20:47:18
