business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
G7 Studio,Photographers,Photography studio,"Photography studio, Photography service",690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 70258 96057,N/A,4.9,253.0,"Ushus Complex, Tharayil - Co Operative Road, near College of English, Karunagappalli, Keralam 690518",690518,9.0525006,76.5344073,ChIJW1hsX0MDBjsRoaaWaR0wadM,https://www.google.com/maps/place/?q=place_id:ChIJW1hsX0MDBjsRoaaWaR0wadM,part_306,2026-09-20 20:47:05
New Ullas Wedding Studio,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,N/A,N/A,4.1,14.0,"S.R Tower, Lalaji Jn, Karunagappalli, Ayanivelikulangara, Keralam 690518",Lalaji Jn,9.0487213,76.5352688,ChIJ42PqbUwDBjsRbX66yrFdpV4,https://www.google.com/maps/place/?q=place_id:ChIJ42PqbUwDBjsRbX66yrFdpV4,part_306,2026-09-20 20:47:05
Kaize's Fotographs,Photographers,Photographer,Photographer,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 99471 95273,https://www.instagram.com/fotographerkaize?igsh=MTM1NXhrdWF1aDM3aw==,5.0,14.0,"Kaizes Fotographs, Karunagappalli, Keralam 690518",690518,9.0597994,76.53559039999999,ChIJ70yWYZ4DBjsRfmoi7hWQWFo,https://www.google.com/maps/place/?q=place_id:ChIJ70yWYZ4DBjsRfmoi7hWQWFo,part_306,2026-09-20 20:47:05
Rajadhani foto world,Photographers,Photo lab,"Photo lab, Photography",690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 81569 16777,http://www.rfotoworld.com/,3.8,108.0,"Market Rd, Karunagappalli, Keralam 690518",690518,9.0522073,76.5382317,ChIJFVyJnY0DBjsRI5r848vMjEE,https://www.google.com/maps/place/?q=place_id:ChIJFVyJnY0DBjsRI5r848vMjEE,part_306,2026-09-20 20:47:05
Photo Park,Photographers,Photo lab,Photo lab,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 94002 69728,N/A,3.7,29.0,"3G4P+R7V, NH 66, Karunagappalli, Keralam 690518",690518,9.0571159,76.5356789,ChIJq7PgyZEDBjsRON-PcC-G1Rk,https://www.google.com/maps/place/?q=place_id:ChIJq7PgyZEDBjsRON-PcC-G1Rk,part_306,2026-09-20 20:47:05
Rose Blooms Events,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 95263 02527,N/A,4.8,50.0,"Ayanivelikulangara, Keralam 690573",690518,9.0410598,76.5093842,ChIJU-O9r8EDBjsRKlvnIPsHyAU,https://www.google.com/maps/place/?q=place_id:ChIJU-O9r8EDBjsRKlvnIPsHyAU,part_306,2026-09-20 20:47:05
Chithrasala,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 98466 65860,https://www.instagram.com/premjith_photography,4.8,30.0,"Sanghapura Mukku, Karunagappalli, Adinad, Keralam 690542",Sanghapura Mukku,9.074153299999999,76.51092919999999,ChIJ6XzPigYDBjsRX_OEeJQfF14,https://www.google.com/maps/place/?q=place_id:ChIJ6XzPigYDBjsRX_OEeJQfF14,part_306,2026-09-20 20:47:05
A ONE Digital Studio,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 98463 43818,N/A,4.1,14.0,"Karunagappalli, Keralam 690518",690518,9.0512164,76.53560139999999,ChIJsyv97JIDBjsR84_WKtcvDQ0,https://www.google.com/maps/place/?q=place_id:ChIJsyv97JIDBjsR84_WKtcvDQ0,part_306,2026-09-20 20:47:05
HAARI STUDIO,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 99466 60236,N/A,5.0,1.0,"3H64+236 Driver Junction (കരുനാഗപ്പള്ളി ), Engineering College Rd, Karunagappalli, Kallelibhagom, Keralam 690523",690518,9.0600305,76.5551323,ChIJ98YL7CkFBjsRxLVSSGtKrdg,https://www.google.com/maps/place/?q=place_id:ChIJ98YL7CkFBjsRxLVSSGtKrdg,part_306,2026-09-20 20:47:05
Creative Studio,Photographers,Photography studio,Photography studio,690518,Kerala Circle,Trivandrum HQ Region,Quilon Division,Karunagappally HO,+91 98954 81084,http://www.creativekply.com/,4.8,6.0,"Creative Baby Studio, Lalaji Junction, Karunagappalli, Ayanivelikulangara, Keralam 690523",Lalaji Junction,9.0470214,76.53622589999999,ChIJVTp5AQYBBjsRtD-M9SM0wD0,https://www.google.com/maps/place/?q=place_id:ChIJVTp5AQYBBjsRtD-M9SM0wD0,part_306,2026-09-20 20:47:05
