business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Assort Bay,Unisex Salon,Beauty Parlour,"Beauty Parlour, Charter school, Coffee shop, Make-up artist, Wellness center",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96333 45333,N/A,4.6,638.0,"near NH66, Chirakkadavam, Chirakadavom Road, Kayamkulam, Keralam 690502","Chirakkadavam, Chirakadavom Road",9.168002999999999,76.499083,ChIJi-dvZrIdBjsRDhxApXjq7Ao,https://www.google.com/maps/place/?q=place_id:ChIJi-dvZrIdBjsRDhxApXjq7Ao,part_307,2026-09-20 20:16:52
KOLKATA HAIR STYLE AND BEAUTICIAN,Unisex Salon,Hair salon,Hair salon,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 91492 46393,N/A,5.0,3.0,"No 59, SN BUILDING, CHOONAD ROAD, Njakkanal, Oachira, Keralam 690533",Njakkanal,9.1325009,76.52760669999999,ChIJN9BuUH8dBjsR4S3s72e1zPg,https://www.google.com/maps/place/?q=place_id:ChIJN9BuUH8dBjsR4S3s72e1zPg,part_307,2026-09-20 20:16:52
Xtreme Extend Your Beauty,Unisex Salon,Beauty Parlour,Beauty Parlour,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 85472 93458,https://xtreme.dialndial.com/,4.9,448.0,"Udaya Royal Tower, Bharanikavu Kadapuzha Rd, Bharanikavu, Keralam 690521",690526,9.0588283,76.6386948,ChIJ1wmttCgFBjsRsL3LeN5HVus,https://www.google.com/maps/place/?q=place_id:ChIJ1wmttCgFBjsRsL3LeN5HVus,part_307,2026-09-20 20:16:52
Parvanam Hair&Flair,Unisex Salon,Beauty Parlour,Beauty Parlour,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97470 88330,N/A,4.9,78.0,"5GGF+RW5, Murukkummood S Rd, Peringala, Oachira, Kuttitheruvu, Keralam 690503",Peringala,9.1770832,76.5250034,ChIJp3WIOZAdBjsRua5ewvY7CkA,https://www.google.com/maps/place/?q=place_id:ChIJp3WIOZAdBjsRua5ewvY7CkA,part_307,2026-09-20 20:16:52
Jajis Innovation Unisex Beauty salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 88933 88090,http://www.jajisinnovation.com/,4.6,2794.0,"2nd floor,KC Center, Opp Boys Higher Secondary School, Near KSRTC Bus Stand, Karunagappalli, Keralam 690518",690526,9.0592921,76.5358352,ChIJlaYFE5ADBjsRPqWN4zMyUB4,https://www.google.com/maps/place/?q=place_id:ChIJlaYFE5ADBjsRPqWN4zMyUB4,part_307,2026-09-20 20:16:52
STYLX MEN SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Make-up artist, Facial spa, Massage spa, Hairdresser",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96330 05033,N/A,4.9,,"opp. juma masjid, Kadapakkada, Kollam, Keralam 691001",Kadapakkada,8.891425,76.6013427,ChIJAcOK9vD9BTsRfmKF7VgnKLc,https://www.google.com/maps/place/?q=place_id:ChIJAcOK9vD9BTsRfmKF7VgnKLc,part_307,2026-09-20 20:16:53
GLAM UP MAKEOVER STUDIO,Unisex Salon,Beauty Parlour,Beauty Parlour,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 81370 05637,https://nfc.dgtechsoln.com/glam-up/,4.9,,"NO 12, GLAM BUILDING, Elampallor, Mukkada, Kundara, Keralam 691501","Elampallor, Mukkada",8.9571913,76.6726446,ChIJmZBPdRcJBjsRUxmpumgAki0,https://www.google.com/maps/place/?q=place_id:ChIJmZBPdRcJBjsRUxmpumgAki0,part_307,2026-09-20 20:16:53
Allure unisex salon and make up studio,Unisex Salon,Beauty Parlour,Beauty Parlour,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 62829 14805,https://www.instagram.com/allure_family_makeup_salon/?hl=en,4.7,,"opposite Elemecs Wedding Castle, Kayamkulam, Kerala 690502",690526,9.172911299999999,76.5000458,ChIJv3y9KgAdBjsR8FWLQRicqo0,https://www.google.com/maps/place/?q=place_id:ChIJv3y9KgAdBjsR8FWLQRicqo0,part_307,2026-09-20 20:16:53
Naturals Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Spa",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96339 35717,https://salons.naturals.in/naturals-salon-beauty-salons-karunagappally-kollam-307105/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"Chempakasseril Properties, Lalaji Jn Ayanivelikulangara, near Excise Office, Karunagappalli, Kerala 690518",690526,9.0478056,76.53690879999999,ChIJZ8xq5DMDBjsRnx--syYjvLU,https://www.google.com/maps/place/?q=place_id:ChIJZ8xq5DMDBjsRnx--syYjvLU,part_307,2026-09-20 20:16:53
Le Beaute salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beauty product supplier, Facial spa, Make-up artist, Massage spa, Nail salon, Hairdresser, Waxing hair removal service, Wedding service",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 90370 70063,https://www.lebeaute.in/,4.7,,"Kappalandimukku-Kadappakkada Road, Jawahar Junction, Pattathanam, Kollam, Keralam 691021","Jawahar Nagar, Chammamukku",8.8817876,76.6049979,ChIJIwDxlPL8BTsRmNmeZBsCt9A,https://www.google.com/maps/place/?q=place_id:ChIJIwDxlPL8BTsRmNmeZBsCt9A,part_307,2026-09-20 20:16:53
Ashtamudi Unisex Beauty Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Facial spa, Make-up artist, Nail salon, Spa, Hairdresser, Waxing hair removal service",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 91362 22444,http://www.ashtamudi.org/,4.7,,"S6, Residency Rd, opp. QRS, Chamkkada, Chinnakada, Kollam, Keralam 691001","Chamkkada, Chinnakada",8.890347499999999,76.5903919,ChIJ6atVXFf8BTsRU878soH9U5c,https://www.google.com/maps/place/?q=place_id:ChIJ6atVXFf8BTsRU878soH9U5c,part_307,2026-09-20 20:16:53
