business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sahaya’s Therapeutic Counselling Centre,Therapy Center,Psychotherapist,Psychotherapist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 97460 53451,https://www.onlinesahaya.org/,5.0,2.0,"Madathil Clinic, Municipal Complex, Kayamkulam, Keralam 690502",690527,9.1725428,76.5004531,ChIJX4AFRnkdBjsRAyTOuz5nh8k,https://www.google.com/maps/place/?q=place_id:ChIJX4AFRnkdBjsRAyTOuz5nh8k,part_307,2026-09-20 20:17:29
Madathil SPEECH HEARING COUNSELLING & CHILD GUIDANCE CENTRE,Therapy Center,Hospital department,Hospital department,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 62384 45452,N/A,3.0,,"Govt. Hospital Rd, Kayamkulam, Kerala 690502",690527,9.1725683,76.50036829999999,ChIJzwEPOdAdBjsRTBZiK8agsCw,https://www.google.com/maps/place/?q=place_id:ChIJzwEPOdAdBjsRTBZiK8agsCw,part_307,2026-09-20 20:17:29
Nediyathu Speech And Hearing Aid Center,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Hearing aid store, Speech & Hearing Specialist, Psychologist",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94464 79259,http://www.nediyathu.com/,4.8,50.0,"Private Bus stand, road, Kayamkulam, Keralam 690502",690527,9.173592,76.5003622,ChIJ5UeTvzgdBjsR3BFIZwERqEU,https://www.google.com/maps/place/?q=place_id:ChIJ5UeTvzgdBjsR3BFIZwERqEU,part_307,2026-09-20 20:17:29
Asraya physiotherapy & rehabilitation centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 98474 55771,N/A,,,"West of GDM Auditorium, Kayamkulam, Keralam 690502",690527,9.1697963,76.4973258,ChIJ8-H8vxIdBjsRnxPkdGSOt_Y,https://www.google.com/maps/place/?q=place_id:ChIJ8-H8vxIdBjsRnxPkdGSOt_Y,part_307,2026-09-20 20:17:29
Pranamrutham Ayurvedic healing center,Therapy Center,Ayurvedic clinic,Ayurvedic clinic,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 63695 99804,N/A,5.0,,"south, Pullimukku junction, Pulimukku, Keerikkad, Kayamkulam, Keralam 690502",Pulimukku,9.1766261,76.4814438,ChIJXTrg1usdBjsRaAkFLHo6P3E,https://www.google.com/maps/place/?q=place_id:ChIJXTrg1usdBjsRaAkFLHo6P3E,part_307,2026-09-20 20:17:29
Rahamath's Care &Counselling Center,Therapy Center,Psychologist,Psychologist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 70255 57405,N/A,5.0,173.0,"Choolatheruve, Muthukulam, Vannikappally, Keralam 690506",Choolatheruve,9.2351095,76.4542815,ChIJhVM7VQChCDsR3mCr27Lwl5g,https://www.google.com/maps/place/?q=place_id:ChIJhVM7VQChCDsR3mCr27Lwl5g,part_307,2026-09-20 20:17:29
Punarjanmam Rehabilitation & Wellness Center,Therapy Center,Rehabilitation center,"Rehabilitation center, Addiction treatment center, Family counselor, Psychologist",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 79079 81469,N/A,4.8,190.0,"near KSRTC, behind Bank of baroda, Haripad, Keralam 690514",690527,9.2762814,76.4587145,ChIJX120ATifCDsR8hGXUhn3EOU,https://www.google.com/maps/place/?q=place_id:ChIJX120ATifCDsR8hGXUhn3EOU,part_307,2026-09-20 20:17:29
"Dr R K RAJNESH, PHYSIOTHERAPIST",Therapy Center,Physiotherapy Center,Physiotherapy Center,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,,,"RADHIKA, KPAC JUNCTION, KALLUMMOODU, Kayamkulam, Keralam 690502",KALLUMMOODU,9.1628115,76.5076855,ChIJZxUWAiUdBjsRH71lFIF81PM,https://www.google.com/maps/place/?q=place_id:ChIJZxUWAiUdBjsRH71lFIF81PM,part_307,2026-09-20 20:17:29
"Mind Space Wellness Clinic (Psychotherapy ,Individual and Family Counselling, Behaviour Modification Therapies etc .)",Therapy Center,Psychologist,Psychologist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 73069 58185,https://mindspacewellnessclinic.com/,5.0,809.0,"Shivam, Puthukundam, po, Karthikapally, Keralam 690516",690527,9.2598603,76.44413229999999,ChIJW9aQkQihCDsR5BhvwVwKWOg,https://www.google.com/maps/place/?q=place_id:ChIJW9aQkQihCDsR5BhvwVwKWOg,part_307,2026-09-20 20:17:29
Nediyathu Physiotherapy & Speech - Hearing Centre,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Hearing aid repair service, Hearing aid store, Speech & Hearing Specialist",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94474 63257,N/A,4.6,94.0,"near Sree Karayamvattam Hanuman Temple, Mavelikara, Keralam 690102",690527,9.2563388,76.5527129,ChIJSxzBkc0YBjsRgmtJxW5Dlgg,https://www.google.com/maps/place/?q=place_id:ChIJSxzBkc0YBjsRgmtJxW5Dlgg,part_307,2026-09-20 20:17:29
WE CARE Physiotherapy Centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,5.0,12.0,"6FQ4+XV, Vannikappally, Keralam 690532",690527,9.240007199999999,76.4571483,ChIJmf1f8DkfBjsR5LvMvB4B_RI,https://www.google.com/maps/place/?q=place_id:ChIJmf1f8DkfBjsR5LvMvB4B_RI,part_307,2026-09-20 20:17:29
HEALING PARADISE Physiotherapy Clinic❤️‍🩹❤️‍🩹,Therapy Center,Physiotherapy Center,Physiotherapy Center,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 82812 51753,N/A,5.0,13.0,"9G92+PV3 Vazhayil building, Shappupadi Junction, Thalavady, Kuttanad Taluk, Keralam 689572",690527,9.3693125,76.50218749999999,ChIJwccrUQAhBjsRVaL0opsGyk0,https://www.google.com/maps/place/?q=place_id:ChIJwccrUQAhBjsRVaL0opsGyk0,part_307,2026-09-20 20:17:29
Shabdha Hearing Aid Center LLP,Therapy Center,Hearing aid store,Hearing aid store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 95449 95558,https://www.shabdha.in/,4.8,369.0,"Room no 15, Kottuvallil Arcade, Road, opp. Govt Girls Higher Sec school, Puthiyidom, Kayamkulam, Keralam 690502",Puthiyidom,9.1713986,76.50068739999999,ChIJa_Y0ivYdBjsRsq4erpZ6klU,https://www.google.com/maps/place/?q=place_id:ChIJa_Y0ivYdBjsRsq4erpZ6klU,part_307,2026-09-20 20:17:30
