business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Marknexamarketing(opc)pvtltd,Advertisement Agency,Marketing agency,Marketing agency,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 88797 07677,N/A,5.0,1.0,"VJ BUILDING, 10, TH MILE, near CBM Higher Secondary School, Nooranad, Keralam 690504",690529,9.172364,76.6503395,ChIJbUU3LakRBjsRzFVIdv3F20I,https://www.google.com/maps/place/?q=place_id:ChIJbUU3LakRBjsRzFVIdv3F20I,part_307,2026-09-20 20:18:56
Blue Leaf Design Studio,Advertisement Agency,Advertising agency,"Advertising agency, Graphic designer",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 90746 96608,N/A,4.9,27.0,"Vettiyar, Keralam 690558",690529,9.2236713,76.5986222,ChIJg2GKWhkZBjsRdD5T4PDtAB0,https://www.google.com/maps/place/?q=place_id:ChIJg2GKWhkZBjsRdD5T4PDtAB0,part_307,2026-09-20 20:18:56
Leadron Media,Advertisement Agency,Internet marketing service,Internet marketing service,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",N/A,N/A,3.0,2.0,"Kavinte Vadakkethil, P O, Mavelikara, Vettiyar, Mavelikara, Keralam 690558","P O, Mavelikara",9.227221499999999,76.611042,ChIJP4DVHTkZBjsRh4BZrTn0fN8,https://www.google.com/maps/place/?q=place_id:ChIJP4DVHTkZBjsRh4BZrTn0fN8,part_307,2026-09-20 20:18:56
Mobile Shop,Advertisement Agency,Marketing consultant,Marketing consultant,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 98462 71457,N/A,,,"5JXP+J5X, Pazhanjikkonam, Padanilam, Kerala 690529",Pazhanjikkonam,9.1991088,76.6354944,ChIJf-H__wMaBjsRAAAAMDqU2mo,https://www.google.com/maps/place/?q=place_id:ChIJf-H__wMaBjsRAAAAMDqU2mo,part_307,2026-09-20 20:18:56
Imperial Kerala | Digital Marketing | SEO | Website | Online Advertisement,Advertisement Agency,Advertising agency,"Advertising agency, Internet marketing service, Business school, Career guidance service, Education center, Marketing agency, Software Training Institute, Training center",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 96334 45221,http://www.imperialkerala.com/,5.0,,"West of, Kommady Bypass, Kommady, Alappuzha, Keralam 688008",Kommady,9.5151607,76.32733859999999,ChIJM-FspuCFCDsRJFY4vniaqog,https://www.google.com/maps/place/?q=place_id:ChIJM-FspuCFCDsRJFY4vniaqog,part_307,2026-09-20 20:18:57
OREXIS Digital Marketing Company,Advertisement Agency,Advertising agency,"Advertising agency, Internet marketing service, Advertising service, Website designer",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 95628 98339,https://www.orexis.in/,5.0,,"Orexis. Armishas Apartment, UK Sankunni Road, Near, Jaffer Khan Colony Rd, Kozhikode, Keralam 673001",690529,11.2620538,75.7843132,ChIJgR1Ew0lZpjsR-MMPmBhyHLc,https://www.google.com/maps/place/?q=place_id:ChIJgR1Ew0lZpjsR-MMPmBhyHLc,part_307,2026-09-20 20:18:57
Ads2Publish - Newspaper Ad Agency,Advertisement Agency,Advertising agency,"Advertising agency, Classified ads newspaper publisher, Service establishment",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 81210 03003,https://www.ads2publish.com/editions/bangalore,4.5,139.0,"Ads2Publish - Newspaper Ad Agency, 690529, India",690529,12.987976999999999,77.6219718,ChIJ5ZcHOxQTrjsR8mBQoBbQr1s,https://www.google.com/maps/place/?q=place_id:ChIJ5ZcHOxQTrjsR8mBQoBbQr1s,part_307,2026-09-20 20:18:57
Valappila Communications,Advertisement Agency,Advertising agency,Advertising agency,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 487 242 1738,http://www.valappila.com/,4.6,91.0,"Valappila Tower, Mission Quarters Rd, Fathima Nagar, Uday Nagar, Nellikunnu, Thrissur, Keralam 680005","Fathima Nagar, Uday Nagar, Nellikunnu",10.517591999999999,76.22585389999999,ChIJQ5vsfEnupzsRDfJuNXGmRBs,https://www.google.com/maps/place/?q=place_id:ChIJQ5vsfEnupzsRDfJuNXGmRBs,part_307,2026-09-20 20:18:57
Vision Ads,Advertisement Agency,Advertising agency,"Advertising agency, Advertising Photographer, Marketing agency, Marketing consultant, Outdoor activity organiser, Road cycling",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 98099 90005,http://www.visionads.co.in/,4.9,669.0,"Arunughan Gardens, Chandranagar Colony, Palakkad, Keralam 678007",Chandranagar Colony,10.7717786,76.6805779,ChIJ6bi9f-RtqDsRiApEtLb15kY,https://www.google.com/maps/place/?q=place_id:ChIJ6bi9f-RtqDsRiApEtLb15kY,part_307,2026-09-20 20:18:57
Magical Ads Advertising Agency,Advertisement Agency,Advertising agency,"Advertising agency, Sign shop",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 87540 22484,https://www.magicalads.in/,4.8,246.0,"K.R.S Building, 1224, Mettupalayam Main Rd, near Saibaba temple, Kuppakonam Pudur, Coimbatore, Tamil Nadu 641043",Kuppakonam Pudur,11.0274761,76.9511352,ChIJo6O09sxhvU0RAJyTG3AT-gc,https://www.google.com/maps/place/?q=place_id:ChIJo6O09sxhvU0RAJyTG3AT-gc,part_307,2026-09-20 20:18:57
Qix Ads Digital Marketing Agency,Advertisement Agency,Advertising agency,"Advertising agency, Marketing agency, Branding agency, Graphic designer, Internet marketing service, Marketing consultant, Video editing service, Video production service, Website designer",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 99473 81381,http://qixads.com/,5.0,71.0,"2nd floor City Center Complex, Pattambi Rd, near Supplyco Store, Perinthalmanna, Keralam 679322",Shanti Nagar,10.9720145,76.2273381,ChIJvcPYqJLNpzsR4cmOHYgjHvA,https://www.google.com/maps/place/?q=place_id:ChIJvcPYqJLNpzsR4cmOHYgjHvA,part_307,2026-09-20 20:18:57
Chams Branding Solutions India Pvt. Ltd.,Advertisement Agency,Advertising agency,Advertising agency,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 484 400 0800,https://www.chamsglobal.com/?utm_source=GMBlisting&utm_medium=organic,4.0,59.0,"Chams House, Sahodaran Ayyappan Rd, Junction, Vyttila, Kochi, Ernakulam, Keralam 682019","Junction, Vyttila",9.969233,76.3162384,ChIJ41Y6CtZyCDsRzkDtzjuD7dk,https://www.google.com/maps/place/?q=place_id:ChIJ41Y6CtZyCDsRzkDtzjuD7dk,part_307,2026-09-20 20:18:57
KPB Advertising Private Limited,Advertisement Agency,Advertising agency,Advertising agency,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 484 239 5667,http://www.kpb.co.in/,4.5,17.0,"2nd Floor, Carmel Building, Banerji Rd, Kacheripady, Ernakulam, Keralam 682018",Kacheripady,9.985624999999999,76.279946,ChIJyd5saVoNCDsRv9EjhVKrmOY,https://www.google.com/maps/place/?q=place_id:ChIJyd5saVoNCDsRv9EjhVKrmOY,part_307,2026-09-20 20:18:57
Valappila Communications Pvt Ltd .,Advertisement Agency,Advertising agency,Advertising agency,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 484 238 9861,http://www.valappila.com/,4.4,54.0,"Ambelipadam Road, Panchavati Colony, Vyttila, Kochi, Ernakulam, Keralam 682019","Panchavati Colony, Vyttila",9.9712816,76.3104397,ChIJpSXUm9NyCDsRmr9Br5DZiSE,https://www.google.com/maps/place/?q=place_id:ChIJpSXUm9NyCDsRmr9Br5DZiSE,part_307,2026-09-20 20:18:57
Donoben,Advertisement Agency,Advertising agency,"Advertising agency, Marketing agency, Branding agency, Internet marketing service, Web hosting company, Website designer",690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 81380 09701,https://www.donoben.com/,4.9,38.0,"1st Floor, Kadeeja Tower, Perinthalmanna Jubilee Bypass, Perinthalmanna, Keralam 679322",690529,10.9719991,76.2199009,ChIJJciDL7PNpzsRCfcH-sjDVmM,https://www.google.com/maps/place/?q=place_id:ChIJJciDL7PNpzsRCfcH-sjDVmM,part_307,2026-09-20 20:18:57
