business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
N S Sanitary,Plumber,Building materials store,Building materials store,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 94473 33065,N/A,4.4,,"Karunagappalli, Keralam 690518",690536,9.0571129,76.5412446,ChIJ6xNz5o4DBjsRmw1aPUsE95U,https://www.google.com/maps/place/?q=place_id:ChIJ6xNz5o4DBjsRmw1aPUsE95U,part_307,2026-09-20 20:22:55
Neeluveettil Traders,Plumber,Building materials market,Building materials market,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 95445 15144,N/A,4.2,,"NH 66, Kuttivattom, Keralam 690536",690536,9.0294168,76.54284179999999,ChIJqdMG8k0DBjsRDpgZmlk6QKc,https://www.google.com/maps/place/?q=place_id:ChIJqdMG8k0DBjsRDpgZmlk6QKc,part_307,2026-09-20 20:22:55
BR Electricals and plumbing materials,Plumber,Electronics store,Electronics store,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",N/A,N/A,,,"Pipe Junction Phone Care Mobile Shopes, Thevalakkara, Keralam 690524",690536,9.0189256,76.5641713,ChIJIRMr0pEHBjsR6U4ETt8Zqng,https://www.google.com/maps/place/?q=place_id:ChIJIRMr0pEHBjsR6U4ETt8Zqng,part_307,2026-09-20 20:22:55
Anas,Plumber,Plumber,Plumber,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",N/A,N/A,2.0,,"3G5P+W68, Karunagappalli, Keralam 690518",690536,9.0597934,76.5355902,ChIJM8CMSAADBjsR5mD8wG4dv1E,https://www.google.com/maps/place/?q=place_id:ChIJM8CMSAADBjsR5mD8wG4dv1E,part_307,2026-09-20 20:22:55
KS ELECTRICALS AND PLUMBING,Plumber,Electrician,Electrician,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 97782 33028,N/A,,,"Nedumpalayil, kallelibhagom, near Koombillakkavu Temple, Karunagappalli, Kallelibhagom, Kerala 690519",690536,9.0522076,76.5515374,ChIJw0dTa-wFBjsRchQSxui3GlI,https://www.google.com/maps/place/?q=place_id:ChIJw0dTa-wFBjsRchQSxui3GlI,part_307,2026-09-20 20:22:55
Power Point Electrical and Plumbing Works,Plumber,Plumber,"Plumber, Electrician, Electrical installation service",690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 94472 51271,N/A,4.9,,"CHELATTU BUILDING, opposite KSRTC Bus stand, Kothamangalam, Keralam 686691",690536,10.062620599999999,76.6304007,ChIJ_TsRmBrmBzsRuwKqZ2pPmDQ,https://www.google.com/maps/place/?q=place_id:ChIJ_TsRmBrmBzsRuwKqZ2pPmDQ,part_307,2026-09-20 20:22:55
BROTHERS Plumbing And Sanitaryware,Plumber,Plumber,"Plumber, Bathroom supply store, Building materials supplier, Plumbing supply store, Pump supplier",690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 98464 08336,N/A,4.8,,"Peroorkada Junction, Peroorkada, Thiruvananthapuram, Keralam 695005","Peroorkada Junction, Peroorkada",8.5373755,76.96637009999999,ChIJ-yUuMJ25BTsRLziFMQ_lwGw,https://www.google.com/maps/place/?q=place_id:ChIJ-yUuMJ25BTsRLziFMQ_lwGw,part_307,2026-09-20 20:22:56
SHARAN PIPE CORPORATION,Plumber,Plumbing supply store,"Plumbing supply store, Hardware store, Pipe supplier, Pipes Wholesaler",690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 98422 09396,N/A,4.6,,"69, NGR St, Siddhapudur, Lakshmi Mills Colony, Pappanaickenpalayam, Coimbatore, Tamil Nadu 641037","Siddhapudur, Lakshmi Mills Colony",11.017044499999999,76.9777694,ChIJkXe_5zFYqDsRg10rcFf_N_M,https://www.google.com/maps/place/?q=place_id:ChIJkXe_5zFYqDsRg10rcFf_N_M,part_307,2026-09-20 20:22:56
Inchakkal Traders,Plumber,Trade school,Trade school,690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 471 326 0742,N/A,4.7,,"FWHP+F5V, Attakulangara Killippalam Byepass, Road, Thiruvananthapuram, Keralam 695008",690536,8.4787255,76.935416,ChIJ2RremKa7BTsRc8NBgUnL-14,https://www.google.com/maps/place/?q=place_id:ChIJ2RremKa7BTsRc8NBgUnL-14,part_307,2026-09-20 20:22:56
Aneesh plumbing service,Plumber,Plumber,"Plumber, Water Pump Supplier",690536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vadakkumthala East SO, Kollaka BO",+91 97462 99277,N/A,4.3,,"Killy, Kattakkada, Keralam 695572",Killy,8.501797999999999,77.0712456,ChIJd4lvuQSxBTsR53H0ZnkmDGI,https://www.google.com/maps/place/?q=place_id:ChIJd4lvuQSxBTsR53H0ZnkmDGI,part_307,2026-09-20 20:22:56
