business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Janani physiotherapy and sports rehabilitation centre,Orthopedic and Physiotherapy Clinic,Hospital,Hospital,690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",N/A,N/A,5.0,,"RQ74+GX5, NH47, Parippally, Kerala 691574",690574,8.813767799999999,76.7574973,ChIJzdO3yMvnBTsRMOV4kRLcOTo,https://www.google.com/maps/place/?q=place_id:ChIJzdO3yMvnBTsRMOV4kRLcOTo,part_307,2026-09-20 20:32:24
BETHEL PHYSIOTHERAPY,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physical rehabilitation center, Rehabilitation center",690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 89432 99999,https://www.bethelphysiotherapy.com/?utm_source=GMBlisting&utm_medium=organic,4.8,23.0,"Ayur Bethaniya Ayurveda Hospital, BRD Meadows, Ambalapuram - Thiruthiparambu Rd, Peringandoor, Keralam 680581",690574,10.623933,76.2092606,ChIJ1ThfutfppzsRvLN_0EY0ZMw,https://www.google.com/maps/place/?q=place_id:ChIJ1ThfutfppzsRvLN_0EY0ZMw,part_307,2026-09-20 20:32:24
Proactive Clinic,Orthopedic and Physiotherapy Clinic,Orthopedic surgeon,"Orthopedic surgeon, Pain management physician",690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 95673 15615,N/A,4.8,93.0,"Kochar Rd, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.509456799999999,76.973913,ChIJqfiKy3e7BTsRyuCnbiypbsk,https://www.google.com/maps/place/?q=place_id:ChIJqfiKy3e7BTsRyuCnbiypbsk,part_307,2026-09-20 20:32:24
Chitra Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 88482 96250,http://www.chitraphysiotherapy.com/,4.8,52.0,"Azhoor, Pathanamthitta, Keralam 689645",Azhoor,9.2529939,76.783621,ChIJBz3YJf4UBjsRz9tMbTx2iWM,https://www.google.com/maps/place/?q=place_id:ChIJBz3YJf4UBjsRz9tMbTx2iWM,part_307,2026-09-20 20:32:24
"Maana Spine, Joint & Wellness Clinic at Perinthalmanna",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical Center, Medical clinic, Nutritionist, Physiotherapist, Weight loss service",690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 96452 94777,https://maanahealth.com/,4.7,95.0,"Ground Floor, AV Tower, Jubilee Hills, Jubilee Rd, Chathalloor, Perinthalmanna, Keralam 679322",Chathalloor,10.9682604,76.2242911,ChIJz0u4NBzNpzsRuZkVrlXOcuw,https://www.google.com/maps/place/?q=place_id:ChIJz0u4NBzNpzsRuZkVrlXOcuw,part_307,2026-09-20 20:32:24
Wohl Physio - Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Home health care service, Rehabilitation center",690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 98958 84415,https://wohlphysio.com/,4.9,1124.0,"14th Cross Road, Parambithara Rd, opposite Gokul Oottupura Restaurant, Panampilly Nagar, Kochi, Keralam 682036",Panampilly Nagar,9.9575584,76.29555189999999,ChIJ4WLQSsdyCDsRD3nVVKvFeRU,https://www.google.com/maps/place/?q=place_id:ChIJ4WLQSsdyCDsRD3nVVKvFeRU,part_307,2026-09-20 20:32:24
"Maana Spine, Joint & Wellness Clinic at Kozhikode by Maana Health",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Medical Center, Nutritionist, Physiotherapist, Weight loss service",690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 99950 89400,https://maanahealth.com/maana-spine-joint-wellness-clinic-premier-care-in-calicut/,4.8,143.0,"Ground Floor, D Square Commercial Complex, near Civil Station, Eranhipaalam, Kozhikode, Keralam 673020","Eranhipaalam, Eranhippalam",11.281779799999999,75.7885095,ChIJNX2NwrRfpjsRxXwinfQSiGI,https://www.google.com/maps/place/?q=place_id:ChIJNX2NwrRfpjsRxXwinfQSiGI,part_307,2026-09-20 20:32:24
M A J Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 98470 94429,https://www.majhospital.com/index.php/servicedetail/Physical%20Therapy%20And%20Rehabilitation,5.0,452.0,"Market Rd, Edappally, Kochi, Ernakulam, Keralam 682024",Edappally,10.0216733,76.3078018,ChIJ51hP3PENCDsR_JT9fZHaaPY,https://www.google.com/maps/place/?q=place_id:ChIJ51hP3PENCDsR_JT9fZHaaPY,part_307,2026-09-20 20:32:24
Doctor's Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 78296 59686,N/A,5.0,11.0,"near to Canara Bank [Formerly Syndicate Bank, Cherlai, Mattancherry, Kochi, Keralam 682002","Cherlai, Mattancherry",9.9585115,76.2497623,ChIJf2tFMjltCDsRyO6kxG4RQk0,https://www.google.com/maps/place/?q=place_id:ChIJf2tFMjltCDsRyO6kxG4RQk0,part_307,2026-09-20 20:32:24
Essence Physio; Ortho and Sports Rehab,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,690574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Manappally North SO, Pavumba BO",+91 90206 77800,N/A,5.0,43.0,"Door No. 2288/4, Krishna Complex, Vellayani Junction, Nemom, Thiruvananthapuram, Keralam 695020",Vellayani Junction,8.4565196,77.0014298,ChIJE5AHmKu7BTsRtdTdh_VTRd4,https://www.google.com/maps/place/?q=place_id:ChIJE5AHmKu7BTsRtdTdh_VTRd4,part_307,2026-09-20 20:32:25
