business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Signal Electronics,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Air conditioning repair service, Electronics repair shop, Microwave oven repair service, Refrigerator repair service, Television repair service, Washer & dryer repair service",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 1800 889 1044,https://www.resqservices.in/,4.2,,"Signal Electronics, 12/773, Signal Electronics, Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.8932711,76.6084231,ChIJEVGOxPv8BTsR2RZOcGrzfVs,https://www.google.com/maps/place/?q=place_id:ChIJEVGOxPv8BTsR2RZOcGrzfVs,part_307,2026-09-20 20:33:07
C-TECH REFRIGERATIONS & AIR CONDITIONS,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Air compressor repair service, Electrical repair shop, Electrician, Solar panel maintenance service, Washer & dryer repair service",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 82818 69873,https://wa.me/+918281869873,4.9,,"WV97+4MC, Nellimudu - Appanmukku Rd, Vayakal, Edamulackal, Keralam 691532",691001,8.919154299999999,76.8624045,ChIJsdbocgDfBTsRJ9n5JyemPgo,https://www.google.com/maps/place/?q=place_id:ChIJsdbocgDfBTsRJ9n5JyemPgo,part_307,2026-09-20 20:33:07
MERCURE COOLING SOLUTIONS,AC Fridge and Washing Machine Repair,Air conditioning repair service,Air conditioning repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 97457 59771,N/A,5.0,,"Perumon, Anchalummood, Panayam, Keralam 691601",Perumon,8.9687658,76.6122073,ChIJyZGuFXMHBjsR8hkmBEW-x7U,https://www.google.com/maps/place/?q=place_id:ChIJyZGuFXMHBjsR8hkmBEW-x7U,part_307,2026-09-20 20:33:07
Galaxy A C refrigeration technical solutions,AC Fridge and Washing Machine Repair,Air conditioning repair service,Air conditioning repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 95007 24375,N/A,4.8,,"Swamimukku Bus Stop, Swamimukku, Pulippara, Kadakkal, Keralam 691536","Swamimukku, Pulippara",8.8241196,76.9380351,ChIJi94tipjbBTsRUWMXFKdkdRs,https://www.google.com/maps/place/?q=place_id:ChIJi94tipjbBTsRUWMXFKdkdRs,part_307,2026-09-20 20:33:07
Authorised Samsung CE Service Center - S.S.Refrigeration,AC Fridge and Washing Machine Repair,Repair service,Repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 1800 5726 7864,https://servicecenter.samsungdigitalservicecenter.com/ce/authorised-samsung-ce-service-center-s-s-refrigeration-repair-service-mathethara-nagar-kollam-291858/Home,3.2,,"No 121A, Mc No 35, 1487/240B, Mathethara Rd, Ramankulangara, Nagar, Kollam, Keralam 691003","Ramankulangara, Nagar",8.9056147,76.56136839999999,ChIJmYv5Fs79BTsRPUuuBl4HI98,https://www.google.com/maps/place/?q=place_id:ChIJmYv5Fs79BTsRPUuuBl4HI98,part_307,2026-09-20 20:33:07
AMPIYIL COOL - TEC Refrigeration,AC Fridge and Washing Machine Repair,Appliance parts supplier,"Appliance parts supplier, Air conditioning repair service, Electronic parts supplier, Industrial Spares & Products Wholesaler, Microwave oven repair service, Refrigerator repair service, Repair service, Stereo repair service, Washer & dryer repair service",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 96050 72889,N/A,4.8,,"Fire Station Rd, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.0048827,76.7842908,ChIJETYhoAgLBjsRwnGKn45vAEw,https://www.google.com/maps/place/?q=place_id:ChIJETYhoAgLBjsRwnGKn45vAEw,part_307,2026-09-20 20:33:07
BROTHERS AIR-CONDITIONING & REFRIGERATION,AC Fridge and Washing Machine Repair,Air conditioning repair service,Air conditioning repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 85900 72815,N/A,4.8,,"Air Conditioning and Refrigeration, Valakom, Keralam 691532",691001,8.953544899999999,76.84271439999999,ChIJCb2ltW91BjsRwsSMCb7GPvs,https://www.google.com/maps/place/?q=place_id:ChIJCb2ltW91BjsRwsSMCb7GPvs,part_307,2026-09-20 20:33:07
PAWAN'S REFRIGERATIONS,AC Fridge and Washing Machine Repair,Refrigerator repair service,Refrigerator repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,5.0,,"1ST FLOOR, RAMANKULANGARA SHOPPING COMPLEX, Ramankulangara, Kollam, Keralam 691003","Ramankulangara, Kannimel East",8.9057365,76.5612697,ChIJyfHgFs79BTsR72uJSwHP1uo,https://www.google.com/maps/place/?q=place_id:ChIJyfHgFs79BTsR72uJSwHP1uo,part_307,2026-09-20 20:33:07
smart Cooling Solution kollam,AC Fridge and Washing Machine Repair,Air conditioning repair service,Air conditioning repair service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 81118 34563,N/A,4.9,,"Universal Nagar 54 A, Kilikolloor, Karicode, Peroor, Kollam, Keralam 691004","Karicode, Peroor",8.9098654,76.62750659999999,ChIJ9eCELwD9BTsR-USO8mZEEv8,https://www.google.com/maps/place/?q=place_id:ChIJ9eCELwD9BTsR-USO8mZEEv8,part_307,2026-09-20 20:33:07
Vfix technical services,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Electrician, Microwave oven repair service, Refrigerator repair service, Washer & dryer repair service",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 89074 33045,N/A,5.0,,"Nandhanam nager, Thekkevila po, Keralam 691016",Mundakkal Village,8.8640743,76.6104763,ChIJp_GjD_b9BTsR8EcyqGKre1I,https://www.google.com/maps/place/?q=place_id:ChIJp_GjD_b9BTsR8EcyqGKre1I,part_307,2026-09-20 20:33:07
